Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.36747E-7,0.000023675,0.000959896,1,0,0
2.48968E-7,0.000048571,0.001009424,0.999886105,0,0
2.65695E-7,0.000075141,0.001077205,0.99977221,0,0
2.69581E-7,0.000102099,0.001092952,0.999658314,0,0
3.18702E-7,0.000275255,0.00129197,0.998974943,0,0
3.57162E-7,0.000514566,0.001447772,0.998177677,0,0
4.27706E-7,0.001021994,0.001733476,0.996697039,0,0
6.39697E-7,0.00250712,0.002591552,0.993507973,0,0
8.46812E-7,0.005078096,0.003429178,0.989749431,0,0
1.05136E-6,0.010036919,0.004255717,0.983826879,0,0
1.4166E-6,0.025047267,0.005729937,0.969931663,0,0
1.7444E-6,0.050148582,0.007051133,0.952050114,0,0
2.27739E-6,0.100161251,0.009195637,0.92357631,0,0
4.34457E-6,0.200344762,0.017469248,0.886446469,0,0
6.07404E-6,0.300048283,0.02433815,0.865034169,0,0
6.86592E-6,0.400585245,0.027467157,0.84738041,0.001639344,0
7.35553E-6,0.500726846,0.029396788,0.831321185,0.002459016,0
7.68041E-6,0.600266711,0.030675061,0.816287016,0.003278689,0
7.95079E-6,0.700499133,0.031737649,0.801708428,0.003278689,0
8.08185E-6,0.750184445,0.032252262,0.794646925,0.003278689,0
8.20339E-6,0.800694257,0.032729294,0.787585421,0.003278689,0
8.41154E-6,0.900448814,0.033545655,0.773917995,0.003278689,0
8.58789E-6,1.000635074,0.034236766,0.76047836,0.005737705,0
8.8241E-6,1.100676782,0.035161703,0.74738041,0.006557377,0
9.06465E-6,1.200078512,0.03610273,0.734738041,0.008196721,0
9.25552E-6,1.300760886,0.036848735,0.722209567,0.008196721,0
9.53407E-6,1.400354484,0.037936395,0.710136674,0.008196721,0
9.77198E-6,1.500728726,0.038864442,0.698291572,0.009836066,0
1.04498E-5,1.750367815,0.041503426,0.670159453,0.009836066,0
1.13289E-5,2.000132504,0.044915607,0.643963554,0.012295082,0
1.23315E-5,2.250672396,0.048791968,0.619817768,0.012295082,0
1.34631E-5,2.500665552,0.053148144,0.5976082,0.01557377,0
1.47451E-5,2.750264961,0.058059376,0.577448747,0.016393443,0
1.63751E-5,3.000629396,0.064267175,0.559111617,0.016393443,0
1.84885E-5,3.251752244,0.072254849,0.542710706,0.017213115,0
2.06164E-5,3.501692911,0.080228481,0.528132118,0.017213115,0
2.33296E-5,3.751137861,0.090296153,0.515148064,0.018032787,0
2.62488E-5,4.000514033,0.101004963,0.503644647,0.018032787,0
3.00972E-5,4.250561858,0.114929868,0.493507973,0.018032787,0
3.40215E-5,4.502668058,0.12890785,0.484510251,0.018852459,0
3.78208E-5,4.751656132,0.142229967,0.476651481,0.019672131,0
4.18967E-5,5.000222991,0.156295582,0.469589977,0.019672131,0
4.46793E-5,5.250644767,0.165765465,0.462984055,0.019672131,0
4.71001E-5,5.503677297,0.17391724,0.456719818,0.019672131,0
4.97524E-5,5.75142195,0.182757647,0.450911162,0.020491803,0
5.20533E-5,6.000586922,0.190349654,0.445330296,0.020491803,0
5.53683E-5,6.252735111,0.201164384,0.439977221,0.020491803,0
5.83767E-5,6.503643435,0.210853809,0.434965831,0.021311475,0
6.11646E-5,6.754535809,0.219728153,0.430182232,0.022131148,0
6.31742E-5,7.002910708,0.226062899,0.425626424,0.022131148,0
6.57927E-5,7.255103144,0.234240054,0.42118451,0.022131148,0
6.78723E-5,7.502697299,0.240672635,0.416970387,0.02295082,0
7.03209E-5,7.751784196,0.248177586,0.412870159,0.02295082,0
7.2336E-5,8.001802754,0.254298017,0.408883827,0.025409836,0
7.42161E-5,8.250973553,0.259963686,0.40501139,0.027868852,0
7.65851E-5,8.507533871,0.267040996,0.401138952,0.028688525,0
7.77381E-5,8.754156045,0.270461179,0.397494305,0.028688525,0
7.93067E-5,9.005647984,0.275088584,0.393849658,0.028688525,0
8.10172E-5,9.254104146,0.280101089,0.390318907,0.028688525,0
8.33134E-5,9.501149565,0.286775354,0.38690205,0.028688525,0
8.53265E-5,9.754452852,0.292575808,0.383485194,0.028688525,0
8.79994E-5,10.006056495,0.30020477,0.380182232,0.028688525,0
8.97376E-5,10.263941694,0.30512151,0.376765376,0.029508197,0
9.11928E-5,10.508388928,0.309211344,0.3738041,0.031967213,0
9.28572E-5,10.756452882,0.313859603,0.370728929,0.031967213,0
9.44967E-5,11.009334036,0.318407667,0.367653759,0.032786885,0
9.63145E-5,11.257244107,0.323415307,0.364692483,0.035245902,0
9.90021E-5,11.501695741,0.330751503,0.361845103,0.035245902,0
1.01229E-4,11.752287061,0.336770201,0.358997722,0.036065574,0
1.02909E-4,12.007655606,0.341274566,0.356150342,0.037704918,0
1.04492E-4,12.256739411,0.345489746,0.353416856,0.03852459,0
1.06149E-4,12.509536908,0.349875927,0.350683371,0.03852459,0
1.0708E-4,12.755139822,0.352324976,0.348063781,0.041803279,0
1.08831E-4,13.003430658,0.356910616,0.345444191,0.041803279,0
1.10322E-4,13.255432227,0.360788877,0.342824601,0.041803279,0
1.12359E-4,13.500370304,0.366048412,0.340318907,0.045081967,0
1.14617E-4,13.772776423,0.371828261,0.337585421,0.048360656,0
1.16145E-4,14.003506054,0.375708509,0.335307517,0.048360656,0
1.18366E-4,14.261706864,0.381309342,0.332801822,0.048360656,0
1.20114E-4,14.500498253,0.385680469,0.330523918,0.05,0
1.23396E-4,14.755700179,0.39380572,0.328132118,0.050819672,0
1.2486E-4,15.003684475,0.397393766,0.325854214,0.051639344,0
1.27357E-4,15.25559957,0.403467959,0.32357631,0.053278689,0
1.29402E-4,15.512361866,0.408395414,0.321298405,0.054918033,0
1.31029E-4,15.760304815,0.412287665,0.319134396,0.054918033,0
1.34352E-4,16.01235239,0.420155317,0.316970387,0.056557377,0
1.36429E-4,16.256271216,0.425020335,0.314920273,0.058196721,0
1.38133E-4,16.503734478,0.428982017,0.312870159,0.06147541,0
1.39802E-4,16.753974161,0.432833574,0.310820046,0.064754098,0
1.41085E-4,17.006861617,0.43577942,0.308769932,0.070491803,0
1.42719E-4,17.262385968,0.43950525,0.306719818,0.071311475,0
1.43839E-4,17.50596686,0.442045534,0.304783599,0.073770492,0
1.45226E-4,17.751976193,0.445177831,0.30284738,0.07704918,0
1.46539E-4,18.000280195,0.448124846,0.300911162,0.078688525,0
1.48267E-4,18.250988538,0.45197873,0.298974943,0.079508197,0
1.49673E-4,18.504419805,0.455095663,0.297038724,0.079508197,0
1.50943E-4,18.759858283,0.457894839,0.295102506,0.081967213,0
1.52735E-4,19.002617325,0.461822431,0.293280182,0.083606557,0
