Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.3464E-8,0.000008346,0.000264888,1,0,0
8.85609E-8,0.000017202,0.000281062,0.999878964,0,0
8.94676E-8,0.000026149,0.000283939,0.999757928,0,0
1.01903E-7,0.000054986,0.0003234,0.99939482,0,0
2.32248E-7,0.000111185,0.000736909,0.999031711,0,0
2.54227E-7,0.000257303,0.000806617,0.998305495,0,0
2.73293E-7,0.000523003,0.000867084,0.997095134,0,0
2.87307E-7,0.001002198,0.000911527,0.995037521,0,0
3.23585E-7,0.002529889,0.001026564,0.988985718,0,0
6.02912E-7,0.005025238,0.001911877,0.98184459,0,0
9.3885E-7,0.010051019,0.002975574,0.973977245,0,0
2.08332E-6,0.025134107,0.006590868,0.962841927,0,0
2.36681E-6,0.050075832,0.007484347,0.949527959,0,0
2.50003E-6,0.100067373,0.007903961,0.924715565,0,0
2.72626E-6,0.200056733,0.008616111,0.878358751,0.00140056,0
3.07369E-6,0.300070246,0.009708789,0.836238199,0.00140056,0
3.44239E-6,0.400132559,0.010867023,0.79895909,0.00140056,0
4.6446E-6,0.500232713,0.014634305,0.767489712,0.00140056,0
6.1549E-6,0.600487042,0.019346698,0.745582183,0.00140056,0
6.68937E-6,0.700011164,0.02100893,0.726821593,0.00140056,0
6.90415E-6,0.75026218,0.021676126,0.717864924,0.00140056,0
7.13232E-6,0.800203057,0.022384409,0.709271363,0.00140056,0
7.62981E-6,0.900393058,0.023926923,0.692810458,0.00140056,0
8.13328E-6,1.000597135,0.025485508,0.677438877,0.00140056,0
8.6207E-6,1.100135345,0.026992046,0.663035585,0.00140056,0
9.10283E-6,1.200346838,0.028479916,0.649358509,0.00140056,0
9.43846E-6,1.300657213,0.029514359,0.636286613,0.00140056,0
9.67555E-6,1.400191053,0.030244425,0.623698862,0.00280112,0
9.95504E-6,1.50013344,0.031104343,0.611353183,0.00280112,0
1.13917E-5,1.751081555,0.035512532,0.582667635,0.00280112,0
1.43281E-5,2.000861699,0.044460105,0.559186638,0.00280112,0
1.75868E-5,2.250833546,0.054292791,0.540062939,0.00280112,0
2.0677E-5,2.500373348,0.063523571,0.52432825,0.007002801,0
2.34905E-5,2.750668275,0.071849311,0.510651174,0.014005602,0
2.48249E-5,3.002201657,0.075772228,0.498063423,0.014005602,0
2.58261E-5,3.250426469,0.078704721,0.486201888,0.014005602,0
2.66312E-5,3.502296932,0.081056176,0.474582426,0.014005602,0
2.74162E-5,3.75092663,0.083342916,0.463447107,0.014005602,0
2.83428E-5,4.001612086,0.08603493,0.452553861,0.014005602,0
2.93783E-5,4.252701896,0.089034253,0.442023723,0.014005602,0
3.02449E-5,4.502895212,0.091536557,0.431856693,0.014005602,0
3.12993E-5,4.752133874,0.094571668,0.422052772,0.014005602,0
3.24337E-5,5.000903886,0.097826203,0.412611958,0.016806723,0
3.5408E-5,5.250992777,0.106303273,0.403655289,0.019607843,0
4.04756E-5,5.500500458,0.120563369,0.395666909,0.025210084,0
4.64196E-5,5.75031138,0.137000029,0.388646817,0.025210084,0
5.08241E-5,6.003595277,0.148981124,0.382352941,0.026610644,0
5.41656E-5,6.250324031,0.157959519,0.376664246,0.026610644,0
5.94564E-5,6.504989782,0.171982322,0.371217623,0.026610644,0
6.44366E-5,6.753705286,0.184968616,0.36637618,0.030812325,0
7.01994E-5,7.003454647,0.199741303,0.361897846,0.030812325,0
7.49342E-5,7.251131325,0.211678436,0.357782619,0.030812325,0
7.7955E-5,7.503555883,0.219200842,0.353788429,0.030812325,0
8.02243E-5,7.756942447,0.224804705,0.349915275,0.030812325,0
8.28389E-5,8.002129225,0.231211627,0.346284193,0.030812325,0
8.4848E-5,8.253743965,0.236098478,0.342653111,0.030812325,0
8.90552E-5,8.50455245,0.246231868,0.339143065,0.030812325,0
9.41776E-5,8.752195743,0.258388323,0.335875091,0.030812325,0
1.00062E-4,9.0053172,0.272112431,0.332728153,0.032212885,0
1.03902E-4,9.250809011,0.280929569,0.329823287,0.032212885,0
1.07444E-4,9.504269156,0.288968821,0.326918422,0.032212885,0
1.11004E-4,9.755633616,0.29695818,0.324134592,0.036414566,0
1.1331E-4,10.002430695,0.302084966,0.321471799,0.036414566,0
1.16545E-4,10.256048677,0.309215507,0.318809005,0.037815126,0
1.19811E-4,10.504511829,0.31633984,0.316267248,0.037815126,0
1.23149E-4,10.759997997,0.323543602,0.31372549,0.037815126,0
1.25151E-4,11.008584405,0.327829505,0.311304769,0.037815126,0
1.28183E-4,11.261902447,0.334265857,0.308884047,0.039215686,0
1.323E-4,11.509464581,0.342909223,0.306584362,0.046218487,0
1.34882E-4,11.750222542,0.348273436,0.304405713,0.049019608,0
1.37283E-4,12.008872059,0.353221777,0.302106028,0.053221289,0
1.40994E-4,12.260370999,0.360793919,0.299927378,0.053221289,0
1.43615E-4,12.502354946,0.366090412,0.297869765,0.054621849,0
1.47093E-4,12.764010529,0.373049878,0.295691116,0.054621849,0
1.49214E-4,13.001016961,0.377257045,0.293754539,0.056022409,0
1.50648E-4,13.255781272,0.380085288,0.291696926,0.06442577,0
1.52802E-4,13.513640664,0.384308401,0.289639313,0.067226891,0
1.55189E-4,13.760064918,0.388955192,0.287702735,0.068627451,0
1.56706E-4,14.009741761,0.391890738,0.285766158,0.070028011,0
1.57854E-4,14.261390984,0.394102581,0.283829581,0.070028011,0
