Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.65752E-7,0.000046575,0.002193898,1,0,0
4.86893E-7,0.000095265,0.002293369,0.99988044,0,0
4.87052E-7,0.00014397,0.002294117,0.99976088,0,0
5.44988E-7,0.000303516,0.002566654,0.9994022,0,0
6.54265E-7,0.000558575,0.003080508,0.99892396,0,0
7.14114E-7,0.001042022,0.003361827,0.99808704,0,0
9.21098E-7,0.002546137,0.004334129,0.995934959,0,0
1.08635E-6,0.005055676,0.005109696,0.992945959,0,0
1.40737E-6,0.010031276,0.006614646,0.988043998,0,0
2.31311E-6,0.025059836,0.010848484,0.978240077,0.00117096,0
3.3291E-6,0.050267097,0.015576163,0.967599235,0.003512881,0
4.38863E-6,0.100129368,0.020482436,0.952295552,0.003512881,0
5.88824E-6,0.200464583,0.027384748,0.928981349,0.003512881,0
6.88554E-6,0.300300714,0.031948122,0.910329986,0.003512881,0
7.96607E-6,0.400066537,0.036868117,0.894189383,0.004683841,0
9.14028E-6,0.500825371,0.042186383,0.880081301,0.005854801,0
1.014E-5,0.600544554,0.046691256,0.867766619,0.007025761,0
1.08609E-5,0.70101279,0.049926342,0.856288857,0.007025761,0
1.12476E-5,0.75075216,0.051657529,0.850908656,0.007025761,0
1.15669E-5,0.800921743,0.053084183,0.845648015,0.008196721,0
1.2276E-5,0.901010588,0.056245126,0.835604974,0.008196721,0
1.30888E-5,1.000902233,0.059855665,0.826159732,0.008196721,0
1.38797E-5,1.100688219,0.063355265,0.817312291,0.009367681,0
1.44211E-5,1.201035726,0.065743734,0.808823529,0.009367681,0
1.49077E-5,1.301023721,0.067885105,0.800693448,0.010538642,0
1.54812E-5,1.401177573,0.070402531,0.792802487,0.010538642,0
1.60597E-5,1.500358333,0.07293499,0.785270206,0.010538642,0
1.76345E-5,1.750009403,0.079793842,0.767575323,0.010538642,0
1.91361E-5,2.001389994,0.086286944,0.7511956,0.010538642,0
2.12189E-5,2.251084767,0.095217153,0.736370158,0.010538642,0
2.32835E-5,2.501313759,0.103983236,0.722979436,0.010538642,0
2.49296E-5,2.751495691,0.110911633,0.710545194,0.010538642,0
2.65808E-5,3.00140455,0.117807455,0.698947872,0.010538642,0
2.79839E-5,3.252215803,0.123625163,0.68794835,0.010538642,0
2.96938E-5,3.500632657,0.130663009,0.677666188,0.012880562,0
3.0662E-5,3.750969942,0.134623064,0.667742707,0.015222482,0
3.15529E-5,4.003120656,0.138251341,0.658058345,0.015222482,0
