Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.67891E-8,0.000001679,0.000028017,1,0,0
3.55813E-8,0.000005237,0.000059376,0.999871283,0,0
4.97702E-8,0.000014296,0.000083052,0.99961385,0,0
7.28707E-8,0.000028728,0.000121598,0.999356417,0,0
1.06234E-7,0.000058903,0.000177265,0.998970266,0,0
1.35413E-7,0.000111271,0.000225949,0.9984554,0,0
2.02998E-7,0.000251581,0.000338703,0.997425666,0,0
2.41968E-7,0.000522108,0.00040371,0.995881066,0,0
2.9409E-7,0.001002718,0.000490652,0.993564165,0,0
3.80403E-7,0.002523596,0.000634609,0.987900631,0,0
4.31054E-7,0.00504077,0.000719077,0.980048912,0,0
4.81139E-7,0.010014623,0.000802595,0.966018793,0,0
7.23426E-7,0.025005153,0.001206512,0.932938602,0,0
1.15486E-6,0.050035348,0.001925361,0.898699961,0,0
1.56955E-6,0.100078349,0.002615803,0.851332218,0,0
2.22767E-6,0.200117068,0.003710599,0.783241086,0.002941176,0
2.93422E-6,0.300236902,0.004884604,0.732655425,0.002941176,0
4.01889E-6,0.400066923,0.006684206,0.694941434,0.005882353,0
5.28349E-6,0.500394588,0.008778245,0.666881194,0.005882353,0
6.30418E-6,0.600469568,0.010465158,0.644741923,0.008823529,0
7.26187E-6,0.700319147,0.012045343,0.625691852,0.008823529,0
7.71854E-6,0.750462001,0.012797965,0.617067834,0.008823529,0
8.18007E-6,0.800621047,0.01355801,0.608958682,0.008823529,0
9.01084E-6,0.90009158,0.01492464,0.594027545,0.008823529,0
9.75268E-6,1.00048374,0.016143382,0.580254859,0.008823529,0
1.0446E-5,1.1004563,0.017281049,0.567511906,0.008823529,0
1.10947E-5,1.200275301,0.01834425,0.555541254,0.008823529,0
1.18354E-5,1.30111636,0.019556984,0.544214185,0.011764706,0
1.25233E-5,1.400973272,0.020681753,0.533659416,0.011764706,0
1.32535E-5,1.50016521,0.021874475,0.52374823,0.011764706,0
1.49212E-5,1.750801587,0.024592724,0.500836659,0.011764706,0
1.66098E-5,2.001019491,0.027337502,0.480370704,0.017647059,0
1.83925E-5,2.25015245,0.030226836,0.462092933,0.017647059,0
2.02264E-5,2.50033993,0.033190238,0.445359763,0.020588235,0
2.22131E-5,2.750413625,0.036390139,0.430171193,0.020588235,0
2.45303E-5,3.000517437,0.040109105,0.416398507,0.020588235,0
2.69292E-5,3.252030779,0.043944141,0.403784271,0.029411765,0
2.93641E-5,3.502909369,0.047821112,0.392328485,0.029411765,0
3.09432E-5,3.752916665,0.050326882,0.381644999,0.029411765,0
3.31672E-5,4.000618128,0.053845024,0.371733814,0.029411765,0
3.52028E-5,4.253116647,0.057053552,0.362208778,0.029411765,0
3.75256E-5,4.500463703,0.060701593,0.353456043,0.029411765,0
4.01437E-5,4.753044438,0.064796408,0.345089458,0.029411765,0
4.23332E-5,5.004026314,0.068207318,0.33723774,0.029411765,0
4.4791E-5,5.252297522,0.072021299,0.329900888,0.029411765,0
4.66458E-5,5.504052538,0.074889096,0.32282147,0.029411765,0
4.92949E-5,5.752797264,0.07896978,0.316128202,0.029411765,0
5.14274E-5,6.004828199,0.082241702,0.309692367,0.029411765,0
5.3393E-5,6.25130781,0.085247106,0.303642682,0.029411765,0
5.60172E-5,6.502687675,0.08924427,0.297721715,0.029411765,0
5.93932E-5,6.751413003,0.094360827,0.292186897,0.029411765,0
6.11839E-5,7.004526559,0.097063051,0.286780795,0.029411765,0
6.44369E-5,7.255827347,0.101951503,0.281632128,0.029411765,0
