Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.62324E-7,0.000046232,0.001818253,1,0,0
6.37788E-7,0.000110011,0.002507463,0.999868921,0,0
1.35681E-6,0.00031025,0.005326743,0.999606764,0,0
1.62989E-6,0.000633234,0.006395409,0.999344606,0,0
1.77877E-6,0.001164315,0.006977558,0.99895137,0,0
2.09429E-6,0.002501117,0.008210134,0.998033818,0,0
2.52076E-6,0.005055823,0.009873745,0.996591952,0,0
3.09038E-6,0.010292048,0.012091367,0.994232534,0,0
4.40577E-6,0.025322924,0.017193478,0.989120461,0,0
5.99499E-6,0.050134657,0.023322613,0.98282868,0,0
7.93867E-6,0.100684326,0.030766823,0.973259929,0,0
1.02992E-5,0.201028949,0.039731434,0.958972342,0,0
1.18937E-5,0.301005166,0.045739813,0.947175252,0,0
1.29782E-5,0.400313035,0.04980484,0.93668895,0,0
1.41527E-5,0.500626767,0.054187756,0.92698912,0,0
1.52166E-5,0.60048497,0.058140599,0.918075764,0,0
1.60445E-5,0.700681846,0.061204993,0.909686722,0,0
1.64598E-5,0.751072586,0.062738488,0.90562328,0,0
1.6868E-5,0.8011514,0.064243395,0.901690916,0,0
1.77986E-5,0.900032107,0.06766483,0.894219426,0,0
1.88556E-5,1.000649811,0.071536012,0.887010093,0,0
2.02156E-5,1.100587263,0.076493466,0.880325075,0,0
2.17927E-5,1.20118402,0.082209025,0.874033294,0,0
2.28642E-5,1.301694194,0.086071813,0.868134749,0,0
2.38907E-5,1.402287727,0.08975752,0.862498362,0,0
2.50202E-5,1.500008765,0.093795502,0.85725521,0,0
2.70492E-5,1.751965964,0.10100479,0.844540569,0,0
2.91763E-5,2.002728665,0.10850065,0.832874558,0,0
3.1237E-5,2.25263616,0.115703008,0.821995019,0,0
3.31652E-5,2.500740065,0.122389715,0.811901953,0,0
3.47282E-5,2.751495026,0.127772739,0.802202123,0,0
3.60264E-5,3.002531948,0.132218653,0.79289553,0,0
3.74633E-5,3.252513806,0.13711322,0.783982173,0,0
3.9017E-5,3.500593874,0.142374566,0.775462053,0,0
4.05023E-5,3.751321891,0.147374375,0.76720409,0,0
4.25102E-5,4.00065628,0.154086799,0.759339363,0,0
4.38199E-5,4.251180473,0.158436855,0.751736794,0,0
4.53118E-5,4.500462233,0.163364456,0.744396382,0,0
4.6762E-5,4.753693284,0.168126881,0.737187049,0,0
4.79208E-5,5.00466347,0.171912951,0.730239874,0.007575758,0
4.91403E-5,5.251934532,0.1758788,0.723554856,0.007575758,0
5.03212E-5,5.500281344,0.179700877,0.717000918,0.007575758,0
5.13482E-5,5.754514059,0.18301025,0.710446979,0.007575758,0
5.28837E-5,6.004299611,0.187933606,0.704155197,0.007575758,0
5.39349E-5,6.25010871,0.191287065,0.698125573,0.007575758,0
5.49828E-5,6.500511465,0.194615951,0.69209595,0.007575758,0
5.60883E-5,6.750644705,0.198113211,0.686197405,0.007575758,0
5.72982E-5,7.000225064,0.201923243,0.680429938,0.007575758,0
5.82059E-5,7.254176448,0.204769956,0.674662472,0.007575758,0
5.92822E-5,7.500404381,0.208132054,0.669157163,0.007575758,0
6.0504E-5,7.752128394,0.211931215,0.663651855,0.007575758,0
6.16769E-5,8.002554905,0.215561376,0.658277625,0.007575758,0
6.26986E-5,8.251394987,0.218710143,0.653034474,0.007575758,0
6.37197E-5,8.504162831,0.22184418,0.647791323,0.007575758,0
6.45441E-5,8.75412451,0.224365245,0.64267925,0.007575758,0
6.51629E-5,9.000483774,0.226252389,0.637698257,0.007575758,0
6.59319E-5,9.256344364,0.2285911,0.632586184,0.007575758,0
6.67156E-5,9.501805433,0.230967006,0.627736269,0.015151515,0
6.73239E-5,9.756460081,0.232806424,0.622755276,0.015151515,0
6.78627E-5,10.006755675,0.234431865,0.617905361,0.015151515,0
6.84866E-5,10.252187234,0.236309777,0.613186525,0.015151515,0
6.91972E-5,10.500281881,0.238442926,0.608467689,0.015151515,0
6.9835E-5,10.750670586,0.240352473,0.603748853,0.015151515,0
7.04392E-5,11.003218795,0.24215714,0.599030017,0.022727273,0
7.08732E-5,11.250461823,0.243450617,0.59444226,0.022727273,0
7.14713E-5,11.5067344,0.245229883,0.589723424,0.022727273,0
7.21955E-5,11.751097849,0.247378576,0.585266745,0.022727273,0
7.29237E-5,12.005010619,0.249532918,0.580678988,0.022727273,0
7.34233E-5,12.253758234,0.251007249,0.57622231,0.022727273,0
7.39851E-5,12.504325827,0.252661764,0.571765631,0.022727273,0
7.46364E-5,12.757186997,0.254575385,0.567308953,0.022727273,0
7.52519E-5,13.004562727,0.256379224,0.562983353,0.022727273,0
7.59614E-5,13.254213475,0.25845333,0.558657753,0.022727273,0
7.64618E-5,13.505817597,0.259912449,0.554332154,0.022727273,0
7.70963E-5,13.751737479,0.261758769,0.550137633,0.022727273,0
7.77889E-5,14.007227421,0.26376853,0.545812033,0.022727273,0
7.82616E-5,14.256982162,0.265137441,0.541617512,0.022727273,0
7.89898E-5,14.500894667,0.267240667,0.53755407,0.022727273,0
7.9535E-5,14.754479116,0.268811824,0.533359549,0.022727273,0
8.00065E-5,15.001586746,0.270167618,0.529296107,0.022727273,0
8.05197E-5,15.250502248,0.271640502,0.525232665,0.022727273,0
8.1147E-5,15.501067856,0.273436859,0.521169223,0.022727273,0
8.18078E-5,15.753854425,0.275324309,0.517105781,0.022727273,0
8.23646E-5,16.000236307,0.276910958,0.513173417,0.022727273,0
8.28597E-5,16.256456668,0.2783188,0.509109975,0.022727273,0
8.33968E-5,16.505966957,0.279842961,0.505177612,0.022727273,0
8.38559E-5,16.756862048,0.281143157,0.501245248,0.022727273,0
8.4275E-5,17.000759778,0.282328191,0.497443964,0.022727273,0
8.47178E-5,17.254284353,0.28357808,0.4935116,0.022727273,0
8.5201E-5,17.50070852,0.284939588,0.489710316,0.022727273,0
8.55925E-5,17.756978648,0.286040533,0.485777953,0.022727273,0
8.60227E-5,18.005908186,0.287248733,0.481976668,0.022727273,0
8.63267E-5,18.255828099,0.288100969,0.478175383,0.03030303,0
8.6739E-5,18.506747053,0.289255578,0.474374099,0.03030303,0
8.70501E-5,18.750032951,0.290125514,0.470703893,0.03030303,0
8.75731E-5,19.0033041,0.291585467,0.466902608,0.03030303,0
8.80198E-5,19.257938048,0.29282981,0.463101324,0.037878788,0
8.83984E-5,19.505064415,0.293883038,0.459431118,0.037878788,0
8.88099E-5,19.753216597,0.295025876,0.455760912,0.037878788,0
8.91449E-5,20.002386656,0.295955005,0.452090707,0.037878788,0
8.94203E-5,20.25245775,0.296717939,0.448420501,0.037878788,0
8.97892E-5,20.503465879,0.297738343,0.444750295,0.053030303,0
9.00465E-5,20.75527802,0.298449266,0.441080089,0.053030303,0
