Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.7783E-7,0.000027783,0.001085516,1,0,0
3.64093E-7,0.000064192,0.001422317,0.999868178,0,0
1.06012E-6,0.000170204,0.0041357,0.999736356,0,0
1.08463E-6,0.000278668,0.004231125,0.999604535,0,0
1.29838E-6,0.000521308,0.005062814,0.999340891,0,0
1.51551E-6,0.001091477,0.005906978,0.998813604,0,0
1.94084E-6,0.00258894,0.007558502,0.997627208,0,0
2.49995E-6,0.005000756,0.009725319,0.996177168,0,0
3.36135E-6,0.010333756,0.013054387,0.993804376,0,0
4.4699E-6,0.025402895,0.017322157,0.988795149,0,0
5.7725E-6,0.050125806,0.022313415,0.982467704,0,0
7.87679E-6,0.100006414,0.030323048,0.972976536,0,0
9.95907E-6,0.200369192,0.038184323,0.958212497,0,0
1.15964E-5,0.300325602,0.044321074,0.945953071,0,0
1.26267E-5,0.400812246,0.04816243,0.935011864,0,0
1.3877E-5,0.500138107,0.05280348,0.925125231,0,0
1.50832E-5,0.600579397,0.057259239,0.916029528,0,0
1.58764E-5,0.700986755,0.060178141,0.907461113,0,0
1.62576E-5,0.750771825,0.061577373,0.903374637,0,0
1.65797E-5,0.800094113,0.062758247,0.899419984,0,0
1.76804E-5,0.90126496,0.066782602,0.891642499,0,0
1.86892E-5,1.00099098,0.070455534,0.884392302,0,0
2.02519E-5,1.100344648,0.076116922,0.877669391,0,0
2.15009E-5,1.201953502,0.080616806,0.871210124,0,0
2.32181E-5,1.300284526,0.086767861,0.865409966,0,0
2.44744E-5,1.400680148,0.091241997,0.859873451,0,0
2.59699E-5,1.501754676,0.09653923,0.85460058,0,0
2.95711E-5,1.752834512,0.109169156,0.84273662,0,0
3.15487E-5,2.000965675,0.11602964,0.832059056,0,0
3.28083E-5,2.251982919,0.120371569,0.821776958,0,0
3.42099E-5,2.503163671,0.12517817,0.811890324,0,0
3.55535E-5,2.751270752,0.12976104,0.802530978,0,0
3.6866E-5,3.00099626,0.134214553,0.793435276,0,0
3.86106E-5,3.25027106,0.140099284,0.784735038,0,0
4.01375E-5,3.502811178,0.145216717,0.776298445,0,0
4.15288E-5,3.751967937,0.149853188,0.768257316,0,0
4.2861E-5,4.001052746,0.154269046,0.760479831,0,0
4.46618E-5,4.250309676,0.160201877,0.75296599,0,0
4.61133E-5,4.504518344,0.164953915,0.74558397,0,0
4.72995E-5,4.752212758,0.168817104,0.738597416,0.007575758,0
4.8708E-5,5.001702722,0.173381192,0.731742684,0.007575758,0
4.99594E-5,5.253588357,0.17741519,0.725019773,0.007575758,0
5.10799E-5,5.501600882,0.181010227,0.718560506,0.007575758,0
5.24783E-5,5.750041952,0.185475445,0.712233061,0.007575758,0
5.38431E-5,6.000021546,0.189809621,0.706037437,0.007575758,0
5.49627E-5,6.250510026,0.193347872,0.699973636,0.007575758,0
5.60138E-5,6.500280661,0.196655423,0.694041656,0.007575758,0
5.71011E-5,6.754875807,0.200062811,0.688109676,0.007575758,0
5.82566E-5,7.002840497,0.203668281,0.682441339,0.007575758,0
5.9235E-5,7.255514903,0.206708058,0.676773003,0.007575758,0
6.00926E-5,7.505986521,0.20936345,0.671236488,0.007575758,0
6.10908E-5,7.754270032,0.212442493,0.665831795,0.007575758,0
6.22431E-5,8.001229248,0.215982072,0.660558924,0.007575758,0
6.36015E-5,8.253073864,0.220134587,0.655286053,0.007575758,0
6.45092E-5,8.503368183,0.222896815,0.650145004,0.007575758,0
6.53711E-5,8.756513066,0.225510932,0.645003955,0.007575758,0
6.61759E-5,9.006451155,0.227943689,0.639994727,0.007575758,0
6.69093E-5,9.252534046,0.230154054,0.635117321,0.007575758,0
6.7786E-5,9.501659818,0.232788006,0.630239916,0.007575758,0
6.85362E-5,9.753953438,0.235034767,0.62536251,0.007575758,0
6.91887E-5,10.002139792,0.236983419,0.620616926,0.015151515,0
6.99271E-5,10.252400481,0.239182701,0.615871342,0.015151515,0
7.05884E-5,10.505320061,0.241147268,0.611125758,0.015151515,0
7.12284E-5,10.75361717,0.24304335,0.606511996,0.015151515,0
7.17692E-5,11.003968538,0.244641945,0.601898234,0.015151515,0
