Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,226.37500023119378
CHELSA_bio14_1981-2010_V.2.1,false,4.153787895698439
CHELSA_bio15_1981-2010_V.2.1,false,113.22348470398875
CHELSA_bio18_1981-2010_V.2.1,false,152.7901521812786
CHELSA_bio19_1981-2010_V.2.1,false,242.86969743285215
CHELSA_bio2_1981-2010_V.2.1,false,10.638636390368143
CHELSA_bio3_1981-2010_V.2.1,false,0.6422954517783541
CHELSA_bio5_1981-2010_V.2.1,false,33.14621194203695
CHELSA_bio9_1981-2010_V.2.1,false,24.134090864297114
CHELSA_cmi_min_1981-2010_V.2.1,false,-164.65378795970568
CHELSA_gsl_1981-2010_V.2.1,false,198.0530303030303
CHELSA_hurs_max_1981-2010_V.2.1,false,64.35659105127507
CHELSA_hurs_range_1981-2010_V.2.1,false,21.609621241237175
CHELSA_ngd5_1981-2010_V.2.1,false,365.0
CHELSA_scd_1981-2010_V.2.1,false,0.0
