Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.32582E-7,0.000053258,0.003604249,1,0,0
6.39431E-7,0.000117201,0.004325789,0.999908088,0,0
7.07536E-7,0.000252647,0.004785415,0.999724265,0,0
9.32758E-7,0.000514474,0.006303896,0.999448529,0,0
9.89496E-7,0.001097892,0.006686062,0.998897059,0,0
1.08804E-6,0.002555653,0.007349494,0.997610294,0,0
1.26591E-6,0.005058548,0.008545835,0.995680147,0,0
1.47352E-6,0.010134063,0.009940327,0.992279412,0,0
2.22211E-6,0.025216119,0.014952385,0.985110294,0,0
2.93072E-6,0.050021537,0.019673419,0.976194853,0,0
3.47843E-6,0.100036906,0.023306912,0.961856618,0,0
4.30953E-6,0.200385184,0.028794768,0.9390625,0,0
4.85496E-6,0.300362878,0.032379529,0.918841912,0.0003003,0
5.47073E-6,0.400037636,0.0364107,0.901102941,0.000900901,0
5.97708E-6,0.50028499,0.039712899,0.885018382,0.000900901,0
7.14447E-6,0.600307222,0.047283195,0.870680147,0.000900901,0
8.30278E-6,0.700817345,0.054735619,0.858823529,0.000900901,0
8.56993E-6,0.750466395,0.056446105,0.853400735,0.000900901,0
8.82963E-6,0.800001123,0.058106001,0.848161765,0.000900901,0
9.28541E-6,0.90042103,0.061011974,0.837959559,0.001501502,0
1.0136E-5,1.000579992,0.06641107,0.828492647,0.002102102,0
1.10341E-5,1.100849903,0.072078879,0.819761029,0.002102102,0
1.18616E-5,1.200390088,0.077269938,0.811764706,0.002402402,0
1.28668E-5,1.300394757,0.083536921,0.804319853,0.003303303,0
1.35069E-5,1.400613727,0.087505439,0.797334559,0.003303303,0
1.39671E-5,1.500874589,0.090348152,0.790625,0.003303303,0
1.48128E-5,1.750675874,0.095548421,0.774724265,0.003303303,0
1.57582E-5,2.000430004,0.101327161,0.759650735,0.003303303,0
1.65219E-5,2.250968506,0.105968234,0.745404412,0.009309309,0
1.72991E-5,2.501052268,0.110666965,0.731801471,0.009309309,0
1.82203E-5,2.751151067,0.116204029,0.718841912,0.00960961,0
1.91853E-5,3.001400204,0.121967111,0.706525735,0.011711712,0
2.05075E-5,3.251180975,0.129802522,0.694944853,0.012312312,0
2.22016E-5,3.501875374,0.139740116,0.684099265,0.012612613,0
2.39812E-5,3.750696453,0.15005713,0.674172794,0.012912913,0
2.56582E-5,4.001810063,0.159666038,0.664889706,0.014114114,0
2.732E-5,4.250836803,0.169080619,0.65625,0.014714715,0
2.84447E-5,4.50157268,0.175392,0.647977941,0.015015015,0
2.94231E-5,4.751078771,0.180844074,0.640073529,0.022522523,0
3.07715E-5,5.000948695,0.188298563,0.632444853,0.025225225,0
3.22718E-5,5.253112998,0.196512732,0.625091912,0.026426426,0
3.36201E-5,5.500402965,0.203824134,0.618198529,0.026726727,0
3.53293E-5,5.752407147,0.212997173,0.611488971,0.026726727,0
3.66554E-5,6.000672511,0.220041036,0.605147059,0.026726727,0
3.77573E-5,6.253472136,0.225845905,0.598897059,0.027027027,0
3.8708E-5,6.50215499,0.230819893,0.592922794,0.027027027,0
3.96446E-5,6.752948371,0.235688642,0.587040441,0.027327327,0
4.06329E-5,7.002117231,0.240792398,0.581341912,0.027327327,0
4.15582E-5,7.252901752,0.245540335,0.575735294,0.027327327,0
4.26753E-5,7.502012677,0.251232503,0.5703125,0.027627628,0
4.34624E-5,7.751917098,0.255217509,0.564981618,0.029129129,0
4.46446E-5,8.003384452,0.26116345,0.559742647,0.029429429,0
4.57543E-5,8.252403685,0.266700952,0.5546875,0.03033033,0
4.64191E-5,8.501169771,0.269998806,0.549724265,0.03033033,0
4.73194E-5,8.754119439,0.27444117,0.544761029,0.030930931,0
4.79789E-5,9.001831426,0.27767773,0.539981618,0.033633634,0
4.86949E-5,9.253152043,0.281175889,0.535202206,0.036936937,0
4.92191E-5,9.50297362,0.283725679,0.530514706,0.04024024,0
4.98874E-5,9.750540901,0.286963808,0.525919118,0.045345345,0
5.05401E-5,10.0017194,0.290112199,0.521323529,0.048048048,0
5.10308E-5,10.250717423,0.292469826,0.516819853,0.05045045,0
5.19646E-5,10.503107996,0.296935037,0.512316176,0.052252252,0
5.27412E-5,10.754278282,0.300626945,0.507904412,0.053153153,0
5.32599E-5,11.003346917,0.303082289,0.503584559,0.056156156,0
5.40036E-5,11.25536878,0.306587323,0.499264706,0.058558559,0
5.49328E-5,11.500539102,0.310941629,0.495128676,0.059459459,0
5.57596E-5,11.754985156,0.314793644,0.490900735,0.06036036,0
5.64142E-5,12.012983224,0.31782787,0.486580882,0.062762763,0
5.70706E-5,12.251233105,0.320856738,0.4828125,0.065165165,0
5.75694E-5,12.503468044,0.323149758,0.478768382,0.06996997,0
5.81495E-5,12.752157695,0.325806621,0.474816176,0.072372372,0
