Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.89013E-7,0.000048901,0.003307501,1,0,0
4.96794E-7,0.000098581,0.003360042,0.999907647,0,0
6.30411E-7,0.000161622,0.004261826,0.999815294,0,0
7.98287E-7,0.000310475,0.005393667,0.999630587,0,0
8.50325E-7,0.000559947,0.005744247,0.999353528,0,0
9.32474E-7,0.001012855,0.006297446,0.998891762,0,0
1.08284E-6,0.0025192,0.007309217,0.997506465,0,0
1.25635E-6,0.005083135,0.008475417,0.995474695,0,0
1.54506E-6,0.010029152,0.010412929,0.992149982,0,0
2.2788E-6,0.025158883,0.015319947,0.985131141,0,0
2.80015E-6,0.050227229,0.018791771,0.976080532,0,0
3.40274E-6,0.10031052,0.022789286,0.960842261,0,0
4.27366E-6,0.200200552,0.028538203,0.937938678,0,0
5.02981E-6,0.30039712,0.033502088,0.917805689,0.0003003,0
5.64859E-6,0.400563795,0.037545277,0.900628001,0.000900901,0
6.04499E-6,0.500411719,0.040126534,0.884835611,0.000900901,0
7.33333E-6,0.600260147,0.048468103,0.870797931,0.000900901,0
8.00188E-6,0.700572212,0.052768183,0.858792021,0.000900901,0
8.28066E-6,0.750170219,0.054555529,0.853158478,0.000900901,0
8.57873E-6,0.800714748,0.056462791,0.847617289,0.000900901,0
9.36888E-6,0.900845724,0.061500211,0.837273735,0.002102102,0
1.01201E-5,1.000923211,0.06626467,0.827761359,0.002102102,0
1.10445E-5,1.10013722,0.072093617,0.819080163,0.002402402,0
1.23089E-5,1.200153228,0.080008288,0.811230144,0.002702703,0
1.30635E-5,1.300435398,0.084699591,0.803934245,0.002702703,0
1.36791E-5,1.400582982,0.088508785,0.797007758,0.002702703,0
1.42828E-5,1.501149505,0.092229642,0.79035833,0.002702703,0
1.56015E-5,1.75097512,0.100303414,0.774935353,0.003303303,0
1.62784E-5,2.000235724,0.104419481,0.76052826,0.009009009,0
1.69391E-5,2.250622034,0.10841936,0.746582933,0.010810811,0
1.77023E-5,2.501446659,0.113017777,0.733191725,0.010810811,0
1.86963E-5,2.750856246,0.118970579,0.720539342,0.011411411,0
1.97464E-5,3.000509512,0.125216357,0.708533432,0.011711712,0
2.11584E-5,3.250576952,0.133544369,0.697173993,0.011711712,0
2.30796E-5,3.500001087,0.144749424,0.686738086,0.012612613,0
2.48046E-5,3.751595608,0.154685983,0.677041005,0.013813814,0
2.6319E-5,4.000656353,0.163314501,0.668082748,0.014414414,0
2.766E-5,4.251598186,0.170881249,0.659493905,0.015015015,0
2.91517E-5,4.501608205,0.179218214,0.651366827,0.015615616,0
3.03463E-5,4.751510801,0.185834377,0.643609161,0.019219219,0
3.13885E-5,5.000893711,0.191562246,0.636128556,0.026126126,0
3.26995E-5,5.251522011,0.198711352,0.628925009,0.026726727,0
3.40377E-5,5.502200048,0.205942866,0.621998522,0.026726727,0
3.53506E-5,5.752033205,0.212974458,0.615349095,0.027027027,0
3.64829E-5,6.003436382,0.218988529,0.608884374,0.027027027,0
3.75899E-5,6.251146648,0.224824182,0.602696712,0.027327327,0
3.8839E-5,6.503332031,0.231356424,0.596601404,0.027327327,0
3.98328E-5,6.751062341,0.236514352,0.590783155,0.028528529,0
4.05658E-5,7.000128949,0.240296351,0.585057259,0.028528529,0
4.17714E-5,7.251503138,0.246476061,0.579423716,0.029129129,0
4.26915E-5,7.500629691,0.251158473,0.57397488,0.029129129,0
4.34184E-5,7.750469427,0.254837302,0.568618397,0.030630631,0
4.45033E-5,8.001448083,0.260294294,0.563354267,0.030930931,0
4.55917E-5,8.253532912,0.265728161,0.55818249,0.030930931,0
4.65374E-5,8.502280084,0.27041794,0.553195419,0.031231231,0
4.73336E-5,8.751412953,0.274342719,0.548300702,0.032732733,0
4.80194E-5,9.004187047,0.277706231,0.543405984,0.037837838,0
4.84988E-5,9.250218025,0.280048229,0.538695973,0.043543544,0
4.90425E-5,9.50396685,0.28269541,0.533893609,0.045345345,0
