Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.61004E-8,0.00000561,0.000128505,1,0,0
6.47948E-8,0.00001209,0.00014842,0.999868697,0,0
6.76755E-8,0.000025538,0.000155017,0.999606092,0,0
6.9097E-8,0.000052889,0.000158273,0.999080882,0,0
7.20377E-8,0.000102091,0.000165009,0.998161765,0,0
9.8401E-8,0.000255795,0.000225389,0.995798319,0,0
1.28396E-7,0.000502601,0.000294085,0.992909664,0,0
3.02179E-7,0.001010367,0.000691985,0.989758403,0,0
4.13977E-7,0.002520503,0.000947879,0.984375,0,0
5.00651E-7,0.00500415,0.001146222,0.977284664,0,0
6.52518E-7,0.010041524,0.001493657,0.965861345,0,0
1.20485E-6,0.025025858,0.002756239,0.943933824,0,0
1.90056E-6,0.050095561,0.004344303,0.922531513,0,0
3.14521E-6,0.100003059,0.007179086,0.897058824,0,0
4.54598E-6,0.200069702,0.010359787,0.863445378,0,0
5.63826E-6,0.300418781,0.012832946,0.837447479,0.005102041,0
6.4579E-6,0.400398139,0.014684729,0.815782563,0.010204082,0
7.14372E-6,0.500174667,0.016231508,0.796481092,0.010204082,0
7.83251E-6,0.600782166,0.017782542,0.778886555,0.010204082,0
8.56843E-6,0.700821785,0.019436982,0.762867647,0.010204082,0
8.93501E-6,0.750866651,0.020260067,0.755383403,0.010204082,0
9.25302E-6,0.800820788,0.020973546,0.748161765,0.010204082,0
9.93082E-6,0.900719269,0.022492502,0.734506303,0.010204082,0
1.05426E-5,1.000073515,0.023861508,0.721769958,0.010204082,0
1.11509E-5,1.100822513,0.02522078,0.709558824,0.010204082,0
1.18077E-5,1.200744725,0.026686212,0.698135504,0.010204082,0
1.24055E-5,1.30000222,0.028018358,0.687368697,0.010204082,0
1.30909E-5,1.400872608,0.029543155,0.676995798,0.010204082,0
1.37293E-5,1.501237312,0.030961403,0.667148109,0.010204082,0
1.50118E-5,1.750294439,0.03380403,0.644432773,0.010204082,0
1.626E-5,2.001478699,0.036562857,0.62342437,0.010204082,0
1.75878E-5,2.251306761,0.039488957,0.603991597,0.010204082,0
1.89759E-5,2.500302308,0.042538423,0.586134454,0.010204082,0
2.01188E-5,2.750737118,0.045041694,0.569327731,0.010204082,0
2.11976E-5,3.000713877,0.047398968,0.553440126,0.010204082,0
2.22031E-5,3.25216274,0.049590514,0.538209034,0.010204082,0
2.34221E-5,3.500985404,0.0522408,0.523897059,0.010204082,0
2.47981E-5,3.75125384,0.055223509,0.510241597,0.010204082,0
2.61275E-5,4.000638244,0.058096396,0.49737395,0.010204082,0
2.76454E-5,4.250625355,0.061365856,0.485162815,0.010204082,0
2.92146E-5,4.502042676,0.064733947,0.473608193,0.010204082,0
3.05234E-5,4.752966567,0.067533737,0.462578782,0.015306122,0
3.1799E-5,5.002758224,0.070254552,0.45207458,0.015306122,0
3.33166E-5,5.253063027,0.073481107,0.441964286,0.015306122,0
3.44983E-5,5.500594719,0.075985967,0.432379202,0.015306122,0
3.57273E-5,5.750294661,0.078583744,0.423056723,0.015306122,0
3.68665E-5,6.000581559,0.080985068,0.413996849,0.015306122,0
3.80734E-5,6.251173059,0.083522426,0.40519958,0.015306122,0
3.95109E-5,6.502773323,0.086535522,0.396664916,0.015306122,0
4.14817E-5,6.750184759,0.090650211,0.388655462,0.015306122,0
4.35477E-5,7.001189794,0.094943697,0.380908613,0.015306122,0
4.53144E-5,7.250646216,0.098599217,0.373555672,0.015306122,0
4.70531E-5,7.500234738,0.102182291,0.366465336,0.020408163,0
4.91049E-5,7.750431079,0.106392267,0.359637605,0.020408163,0
5.07366E-5,8.000494562,0.109726348,0.353072479,0.020408163,0
5.3706E-5,8.251061035,0.115761604,0.346769958,0.020408163,0
5.59313E-5,8.503271049,0.120257731,0.340730042,0.020408163,0
5.78069E-5,8.7532164,0.124029369,0.334952731,0.020408163,0
5.96372E-5,9.000251538,0.127694431,0.329438025,0.020408163,0
6.10719E-5,9.253952277,0.130556688,0.323923319,0.020408163,0
6.2749E-5,9.501334449,0.133890632,0.318671218,0.020408163,0
6.42964E-5,9.755597263,0.136955217,0.313419118,0.020408163,0
6.58008E-5,10.003171358,0.139924352,0.308429622,0.020408163,0
6.75617E-5,10.256513365,0.143386911,0.303440126,0.020408163,0
6.90318E-5,10.502307428,0.146266836,0.298713235,0.020408163,0
7.0904E-5,10.753762157,0.149920386,0.293986345,0.020408163,0
7.24119E-5,11.0045869,0.152851865,0.289390756,0.020408163,0
7.35472E-5,11.252716775,0.155052021,0.284926471,0.020408163,0
7.50027E-5,11.505520575,0.157864591,0.280462185,0.020408163,0
7.60796E-5,11.754794419,0.159939648,0.276129202,0.025510204,0
7.7379E-5,12.000533655,0.162436531,0.271927521,0.025510204,0
7.9012E-5,12.251184851,0.16556369,0.26772584,0.025510204,0
8.13689E-5,12.500026844,0.170056838,0.263655462,0.025510204,0
8.35708E-5,12.75554123,0.174232535,0.259585084,0.025510204,0
8.56471E-5,13.000712881,0.178150891,0.255777311,0.025510204,0
8.89668E-5,13.253492038,0.184377139,0.251969538,0.025510204,0
9.1845E-5,13.506769812,0.189737071,0.248293067,0.025510204,0
9.40093E-5,13.757971646,0.193744362,0.244747899,0.025510204,0
9.60812E-5,14.004975923,0.197561987,0.241334034,0.025510204,0
9.82788E-5,14.257871505,0.201591561,0.237920168,0.025510204,0
1.00634E-4,14.507070731,0.205888212,0.234637605,0.025510204,0
1.03278E-4,14.7518746,0.210682694,0.231486345,0.025510204,0
1.06231E-4,15.00397805,0.216003553,0.228335084,0.030612245,0
1.0879E-4,15.251771699,0.220586885,0.225315126,0.030612245,0
1.10864E-4,15.504155933,0.224280741,0.222295168,0.030612245,0
1.14458E-4,15.75230497,0.230641822,0.219406513,0.030612245,0
1.17466E-4,16.007965059,0.23592375,0.216517857,0.030612245,0
1.21112E-4,16.258920971,0.242279276,0.213760504,0.030612245,0
1.24922E-4,16.505325147,0.248864043,0.211134454,0.030612245,0
