gbifID,species,decimalLongitude,decimalLatitude
727841622,Anthropoides paradiseus,-89.745941,43.546557
4179640713,Anthropoides paradiseus,-76.087,38.427
1987447061,Anthropoides paradiseus,-83.143127,42.474834
1987561935,Anthropoides paradiseus,-83.143127,42.474834
1987447067,Anthropoides paradiseus,-83.143127,42.474834
1987478735,Anthropoides paradiseus,-83.143127,42.474834
1987443250,Anthropoides paradiseus,-83.143127,42.474834
1987444699,Anthropoides paradiseus,-83.143127,42.474834
668290625,Anthropoides paradiseus,-81.360283,27.208534
668024107,Anthropoides paradiseus,-81.360283,27.208534
668414010,Anthropoides paradiseus,-81.360283,27.208534
668061656,Anthropoides paradiseus,-81.360283,27.208534
727841621,Anthropoides paradiseus,-89.745941,43.546557
727795603,Anthropoides paradiseus,-89.743195,43.545686
1981553901,Anthropoides paradiseus,3.3,6.41
1981553860,Anthropoides paradiseus,3.3,6.41
3919204414,Anthropoides virgo,18.20701,59.59374
3917585418,Anthropoides virgo,18.20701,59.59374
4820652588,Anthropoides virgo,16.837019,47.680878
1775801880,Anthropoides virgo,-121.50436,38.202026
3919576868,Anthropoides virgo,16.48436,59.706
2270327466,Anthropoides virgo,5.02854,50.63302
2270359037,Anthropoides virgo,5.03012,50.62933
2270381512,Anthropoides virgo,4.65928,50.74904
2813022726,Anthropoides virgo,5.02839,50.62512
2270303101,Anthropoides virgo,5.01004,50.62223
4603037427,Anthropoides virgo,5.04854,50.61571
2270298236,Anthropoides virgo,5.00951,50.61919
2270308267,Anthropoides virgo,3.71977,50.41444
2270310781,Anthropoides virgo,3.71909,50.41443
3987797301,Anthropoides virgo,5.00691,50.62278
2270405722,Anthropoides virgo,5.03476,50.62648
3307083477,Anthropoides virgo,5.03031,50.62604
4950894708,Anthropoides virgo,5.05733,50.55557
2270302366,Anthropoides virgo,5.01127,50.6224
2270309875,Anthropoides virgo,3.72608,50.41639
2270309046,Anthropoides virgo,3.73089,50.41393
2270361338,Anthropoides virgo,5.03055,50.63253
2270403698,Anthropoides virgo,5.03835,50.62578
3307067569,Anthropoides virgo,5.03753,50.62199
4073625535,Anthropoides virgo,5.04218,50.62363
2270297097,Anthropoides virgo,5.00573,50.62306
2270307830,Anthropoides virgo,3.71947,50.41437
2270309345,Anthropoides virgo,5.03078,50.62997
2270320981,Anthropoides virgo,5.0058,50.64683
2270352329,Anthropoides virgo,5.0028,50.62788
2270414346,Anthropoides virgo,5.03709,50.62805
4405946616,Anthropoides virgo,5.68645,50.47697
2270305299,Anthropoides virgo,5.85352,50.66772
2270308455,Anthropoides virgo,3.73123,50.41333
2270310444,Anthropoides virgo,5.03155,50.63235
2270322702,Anthropoides virgo,5.03163,50.62613
2270401142,Anthropoides virgo,5.03602,50.62811
2813008295,Anthropoides virgo,5.0314,50.6352
3307077653,Anthropoides virgo,4.62341,50.64398
2270296753,Anthropoides virgo,5.0114,50.62186
2270310558,Anthropoides virgo,3.71844,50.41463
2270348490,Anthropoides virgo,4.14016,50.38444
3307073557,Anthropoides virgo,5.03861,50.6225
4950895687,Anthropoides virgo,5.04083,50.62291
2270308407,Anthropoides virgo,3.7189,50.41499
2270308798,Anthropoides virgo,3.73007,50.4122
2270310431,Anthropoides virgo,5.03266,50.63269
2270318386,Anthropoides virgo,5.04106,50.64078
2270453757,Anthropoides virgo,4.11577,50.39226
2270361331,Anthropoides virgo,5.03657,50.55564
2270360453,Anthropoides virgo,4.9276,50.52465
2813030566,Anthropoides virgo,5.03647,50.62755
2813005969,Anthropoides virgo,5.03504,50.62646
