Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.47007E-10,0.000000095,0.000004322,1,0,0
1.60251E-9,0.000000255,0.000007314,0.999867725,0,0
3.95061E-9,0.000001002,0.000018031,0.999603175,0,0
6.91218E-9,0.000002628,0.000031548,0.999206349,0,0
1.21108E-8,0.000010433,0.000055274,0.998148148,0,0
1.80763E-8,0.000025367,0.0000825,0.996825397,0,0
2.96443E-8,0.000051627,0.000135292,0.99537037,0,0
5.20224E-8,0.000103333,0.00023741,0.993783069,0,0
8.59146E-8,0.000253818,0.000392051,0.990740741,0,0
1.28589E-7,0.000509279,0.000586727,0.987698413,0,0
1.93972E-7,0.001014698,0.000884926,0.983465608,0,0
3.77356E-7,0.002508298,0.001720828,0.976455026,0,0
6.40716E-7,0.005011274,0.002920058,0.969708995,0,0
1.1628E-6,0.010030176,0.005293125,0.962169312,0,0
2.34356E-6,0.025111692,0.010639351,0.950132275,0,0
3.95689E-6,0.05007336,0.017897777,0.93968254,0,0
6.6531E-6,0.100086786,0.029909402,0.927248677,0,0
8.64486E-6,0.200569039,0.038688237,0.909920635,0,0
1.03377E-5,0.30074955,0.046086862,0.896031746,0,0
1.17119E-5,0.400506877,0.0520513,0.883994709,0,0
1.28696E-5,0.500563589,0.057047153,0.873280423,0,0
1.40363E-5,0.600083877,0.062055103,0.863492063,0,0
1.50968E-5,0.700930068,0.066583943,0.854365079,0,0
1.56681E-5,0.750403321,0.069014534,0.850132275,0,0
1.60266E-5,0.801228089,0.070536532,0.845899471,0,0
1.68601E-5,0.901616456,0.074065941,0.837830688,0,0
1.7848E-5,1.000685821,0.078231459,0.830291005,0,0
1.86113E-5,1.100746855,0.081437159,0.823015873,0,0
1.97968E-5,1.200519544,0.086393786,0.816137566,0,0
2.09697E-5,1.300417443,0.091271781,0.809656085,0,0
2.1994E-5,1.401448895,0.09550992,0.803439153,0,0
2.28801E-5,1.500247289,0.0991605,0.797619048,0,0
2.52975E-5,1.751859996,0.109045183,0.783862434,0,0
2.79091E-5,2.002421558,0.119602331,0.771428571,0,0
3.04853E-5,2.252485967,0.129893456,0.76005291,0,0
3.21387E-5,2.502254478,0.136434828,0.749470899,0,0
3.38519E-5,2.752354083,0.143161095,0.739417989,0,0
3.55796E-5,3.002152724,0.149891216,0.72989418,0,0
3.74711E-5,3.253650511,0.157198526,0.720767196,0,0
3.97858E-5,3.501568726,0.166055692,0.712301587,0,0
4.13414E-5,3.752964183,0.171955543,0.704100529,0,0
4.31095E-5,4.001717058,0.178611196,0.696296296,0,0
4.48119E-5,4.251835945,0.184968594,0.688756614,0,0
4.64404E-5,4.503029982,0.191004076,0.681481481,0,0
4.82399E-5,4.750001456,0.197621337,0.674603175,0,0
4.97049E-5,5.004663275,0.202968507,0.667724868,0,0
5.06565E-5,5.250620863,0.206422649,0.661243386,0,0
5.21392E-5,5.502805536,0.211774784,0.654761905,0,0
5.35531E-5,5.751255644,0.21684491,0.648544974,0,0
5.53288E-5,6.001777869,0.223166654,0.642460317,0,0
5.65142E-5,6.254014936,0.227358198,0.636507937,0,0
5.77001E-5,6.505521928,0.231528779,0.630687831,0,0
5.89566E-5,6.750397659,0.23592322,0.625132275,0,0
6.04539E-5,7.001346951,0.241127244,0.61957672,0,0
6.15459E-5,7.251338816,0.244900203,0.614153439,0,0
6.28826E-5,7.50011554,0.249492964,0.608862434,0,0
6.42587E-5,7.754943684,0.254191642,0.603571429,0,0
6.51003E-5,8.000970805,0.257051073,0.598544974,0,0
6.66399E-5,8.251128653,0.262253444,0.593518519,0,0
6.76283E-5,8.505787085,0.265573957,0.588492063,0,0
6.8773E-5,8.751364139,0.269401289,0.583730159,0,0
6.97891E-5,9.000707315,0.272781667,0.578968254,0,0
7.10613E-5,9.254356407,0.276991981,0.574206349,0,0
7.21747E-5,9.505037383,0.28065673,0.56957672,0,0
7.36237E-5,9.752539559,0.285398313,0.565079365,0,0
7.47311E-5,10.005086699,0.289001015,0.560582011,0,0
7.60143E-5,10.253916171,0.293152969,0.556216931,0,0
7.71735E-5,10.506774907,0.296883092,0.551851852,0,0
7.84112E-5,10.755777937,0.30084385,0.547619048,0,0
7.99367E-5,11.001315913,0.305694693,0.543518519,0,0
8.10996E-5,11.250694056,0.309370223,0.539417989,0,0
8.20603E-5,11.503763655,0.312391812,0.53531746,0,0
8.29952E-5,11.751656024,0.315319716,0.531349206,0.015151515,0
8.43435E-5,12.002890127,0.319520061,0.527380952,0.015151515,0
8.54494E-5,12.257537493,0.322946084,0.523412698,0.015151515,0
8.69536E-5,12.507801721,0.327578573,0.51957672,0.015151515,0
