Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,120.81212130459873
CHELSA_bio15_1981-2010_V.2.1,false,45.83787892081521
CHELSA_bio2_1981-2010_V.2.1,false,9.601515119726004
CHELSA_bio4_1981-2010_V.2.1,false,919.2924254446319
CHELSA_bio5_1981-2010_V.2.1,false,27.72424238378352
CHELSA_bio8_1981-2010_V.2.1,false,20.403030265461314
CHELSA_bio9_1981-2010_V.2.1,false,-0.5772728053006253
CHELSA_cmi_min_1981-2010_V.2.1,false,-86.74393937082
CHELSA_hurs_max_1981-2010_V.2.1,false,65.29090887127501
CHELSA_hurs_min_1981-2010_V.2.1,false,54.390303236065485
wc2.1_30s_elev,false,311.40909090909093
