Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.15231E-9,0.000000115,0.000003822,1,0,0
3.86161E-9,0.000000501,0.000012807,0.999869724,0,0
5.43073E-9,0.000001498,0.000018011,0.999609171,0,0
7.49934E-9,0.000002848,0.000024871,0.999348619,0,0
1.57694E-8,0.000010478,0.000052297,0.998436686,0,0
2.20311E-8,0.000026388,0.000073062,0.997394476,0,0
5.16783E-8,0.000054413,0.000171374,0.996352267,0,0
7.6753E-8,0.000101231,0.000254515,0.995440334,0,0
1.34899E-7,0.000252215,0.000447287,0.993616467,0,0
2.048E-7,0.000513366,0.000678977,0.991662324,0,0
3.53168E-7,0.001010191,0.001170576,0.989317353,0,0
6.77744E-7,0.002526126,0.002245177,0.985539343,0,0
1.00988E-6,0.00504003,0.003343595,0.981761334,0,0
1.5021E-6,0.010055527,0.004969238,0.976550287,0,0
2.39067E-6,0.025075733,0.007897163,0.966779573,0,0
3.01111E-6,0.050073789,0.009936489,0.954794164,0,0
3.70065E-6,0.100081936,0.012198001,0.935252736,0,0
4.95961E-6,0.200203605,0.016313735,0.904768108,0,0
6.25673E-6,0.300402557,0.020536314,0.881318395,0,0
7.25648E-6,0.400635319,0.023778449,0.86203752,0,0
8.29137E-6,0.500555116,0.027123266,0.845362168,0,0
9.25546E-6,0.600620535,0.030228913,0.830510683,0.005434783,0
1.00833E-5,0.700224301,0.032887831,0.817092236,0.005434783,0
1.04186E-5,0.750487064,0.033962635,0.810708702,0.005434783,0
1.07866E-5,0.800463775,0.035140969,0.804585722,0.005434783,0
1.13492E-5,0.900344274,0.036939348,0.792860865,0.005434783,0
1.18816E-5,1.00006692,0.0386383,0.781657113,0.005434783,0
1.24911E-5,1.100033408,0.040579762,0.770974466,0.005434783,0
1.29833E-5,1.200716307,0.042144402,0.760682647,0.005434783,0
1.34972E-5,1.3012933,0.043775513,0.750781657,0.010869565,0
1.40139E-5,1.400153462,0.045412889,0.741401772,0.010869565,0
1.47165E-5,1.500738231,0.047634576,0.732282439,0.010869565,0
1.68074E-5,1.751176682,0.054215661,0.711568525,0.010869565,0
1.97823E-5,2.00118137,0.06350095,0.693720688,0.016304348,0
2.30495E-5,2.251724125,0.073593811,0.678478374,0.016304348,0
2.66929E-5,2.500948691,0.084720204,0.665320479,0.02173913,0
3.10421E-5,2.750166479,0.097827546,0.654116727,0.032608696,0
3.38551E-5,3.003382143,0.106204817,0.643955185,0.032608696,0
3.62899E-5,3.252686026,0.113392937,0.634705576,0.032608696,0
3.86189E-5,3.500335597,0.120214855,0.626107348,0.032608696,0
4.06448E-5,3.750422051,0.126106126,0.617899948,0.032608696,0
4.23464E-5,4.004216628,0.131023869,0.609953101,0.032608696,0
4.38615E-5,4.250146577,0.135379215,0.602527358,0.032608696,0
4.49449E-5,4.503041086,0.138480205,0.595101615,0.032608696,0
4.62433E-5,4.75409806,0.142182173,0.587936425,0.032608696,0
4.77063E-5,5.003182106,0.146333961,0.581031787,0.032608696,0
4.90126E-5,5.254865703,0.150024521,0.574257426,0.032608696,0
5.07145E-5,5.50339369,0.154808458,0.567743616,0.032608696,0
5.21821E-5,5.750603588,0.158912222,0.56149036,0.032608696,0
5.31976E-5,6.003626834,0.161739919,0.555237103,0.032608696,0
5.4285E-5,6.251284108,0.164757507,0.549244398,0.032608696,0
5.5497E-5,6.50354982,0.168108191,0.543251694,0.032608696,0
5.65526E-5,6.755506692,0.171015374,0.537389265,0.032608696,0
5.77623E-5,7.001140291,0.174334357,0.531787389,0.032608696,0
5.93996E-5,7.253257011,0.178805695,0.526185513,0.032608696,0
6.07617E-5,7.505636937,0.182506992,0.520713913,0.032608696,0
6.2438E-5,7.751830246,0.18703896,0.515502866,0.032608696,0
6.41605E-5,8.005029847,0.19166996,0.510291819,0.032608696,0
6.62422E-5,8.25338528,0.197231335,0.505341324,0.032608696,0
6.735E-5,8.500763775,0.200175279,0.500521105,0.032608696,0
6.86563E-5,8.752045109,0.203632686,0.495700886,0.032608696,0
6.98337E-5,9.001811343,0.206736365,0.491010943,0.032608696,0
7.13886E-5,9.256450967,0.210816501,0.486321001,0.032608696,0
7.27641E-5,9.501756325,0.21440834,0.48189161,0.032608696,0
7.42269E-5,9.752019085,0.218210302,0.47746222,0.038043478,0
7.57192E-5,10.007026321,0.22206981,0.47303283,0.038043478,0
7.72221E-5,10.251853552,0.225937559,0.468863992,0.043478261,0
7.86901E-5,10.501428698,0.229697193,0.464695154,0.043478261,0
7.97355E-5,10.754772018,0.232363135,0.460526316,0.048913043,0
8.08753E-5,11.003620524,0.235259227,0.456487754,0.048913043,0
8.18058E-5,11.25587853,0.237615772,0.452449192,0.048913043,0
8.2805E-5,11.502846205,0.24013797,0.448540907,0.048913043,0
8.40206E-5,11.752744498,0.243195023,0.444632621,0.048913043,0
8.52288E-5,12.006335758,0.24622152,0.440724336,0.048913043,0
8.66424E-5,12.255161605,0.24974697,0.436946326,0.054347826,0
8.79539E-5,12.508438129,0.25300305,0.433168317,0.054347826,0
8.93338E-5,12.756896173,0.256413745,0.429520584,0.054347826,0
9.06367E-5,13.008800259,0.259620044,0.42587285,0.054347826,0
9.20518E-5,13.255214235,0.263086618,0.422355393,0.054347826,0
9.36057E-5,13.505861534,0.266874404,0.418837936,0.054347826,0
9.47126E-5,13.750665905,0.269560752,0.415450756,0.054347826,0
9.57605E-5,14.007924828,0.272094876,0.411933299,0.054347826,0
9.66066E-5,14.258040285,0.274134376,0.408546118,0.054347826,0
9.73922E-5,14.500605763,0.276023258,0.405289213,0.054347826,0
9.86347E-5,14.755012169,0.279000238,0.401902032,0.054347826,0
9.98877E-5,15.003158957,0.281990166,0.398645128,0.054347826,0
1.01213E-4,15.254493984,0.285140093,0.395388223,0.054347826,0
1.02898E-4,15.509944835,0.289121886,0.392131318,0.054347826,0
1.04812E-4,15.759537105,0.29362103,0.38900469,0.054347826,0
1.06225E-4,16.002069423,0.296922711,0.386008338,0.059782609,0
1.07179E-4,16.258134363,0.299144969,0.382881709,0.059782609,0
1.09339E-4,16.506923703,0.304147185,0.379885357,0.059782609,0
1.11018E-4,16.760200685,0.308010993,0.376889005,0.059782609,0
1.1301E-4,17.006981376,0.312567013,0.374022929,0.059782609,0
1.14595E-4,17.257260632,0.316170563,0.371156853,0.065217391,0
1.15736E-4,17.510597266,0.318754502,0.368290776,0.065217391,0
1.16959E-4,17.754915805,0.321511027,0.365554977,0.065217391,0
1.18043E-4,18.001725355,0.32394668,0.362819177,0.065217391,0
1.19259E-4,18.250922828,0.326667978,0.360083377,0.065217391,0
1.21272E-4,18.503409052,0.331147096,0.357347577,0.070652174,0
1.23002E-4,18.759970996,0.334974689,0.354611777,0.070652174,0
1.24522E-4,19.007515814,0.338318935,0.352006253,0.070652174,0
1.26125E-4,19.258201214,0.34182544,0.34940073,0.081521739,0
1.28035E-4,19.511811522,0.345982805,0.346795206,0.086956522,0
1.30077E-4,19.756928143,0.35039725,0.344319958,0.092391304,0
1.31498E-4,20.005420594,0.353450503,0.341844711,0.092391304,0
1.32895E-4,20.256555895,0.356438807,0.339369463,0.097826087,0
1.3366E-4,20.509877103,0.358069185,0.336894216,0.108695652,0
1.35462E-4,20.751913451,0.361894894,0.334549244,0.108695652,0
1.37071E-4,21.011058605,0.365290163,0.332073997,0.108695652,0
1.38746E-4,21.259688287,0.368806014,0.329729026,0.119565217,0
1.39891E-4,21.510500468,0.371199608,0.327384054,0.125,0
1.41105E-4,21.763425134,0.373725663,0.325039083,0.130434783,0
1.42063E-4,22.004032469,0.37571163,0.322824388,0.130434783,0
1.43741E-4,22.261096384,0.379177942,0.320479416,0.135869565,0
1.45034E-4,22.506609084,0.381833053,0.318264721,0.141304348,0
1.46002E-4,22.754014535,0.383814761,0.316050026,0.14673913,0
1.47272E-4,23.003384217,0.386404472,0.313835331,0.14673913,0
1.48321E-4,23.254760225,0.388535538,0.311620636,0.14673913,0
1.49284E-4,23.507639332,0.390486047,0.309405941,0.14673913,0
1.50247E-4,23.761988523,0.392429084,0.307191245,0.14673913,0
1.52165E-4,24.00410788,0.396280465,0.305106826,0.152173913,0
1.5277E-4,24.26334254,0.397490438,0.302892131,0.157608696,0
1.53956E-4,24.50859586,0.399856304,0.300807712,0.163043478,0
1.54831E-4,24.755750395,0.40159621,0.298723293,0.163043478,0
1.55692E-4,25.004195137,0.40330146,0.296638874,0.163043478,0
1.57191E-4,25.254431244,0.406261315,0.294554455,0.163043478,0
1.5847E-4,25.506888151,0.408773878,0.292470036,0.163043478,0
1.59611E-4,25.761339817,0.411006416,0.290385618,0.163043478,0
1.60556E-4,26.00163444,0.412849727,0.288431475,0.168478261,0
1.61056E-4,26.258938488,0.413822345,0.286347056,0.168478261,0
1.61966E-4,26.501246766,0.415589226,0.284392913,0.168478261,0
1.6281E-4,26.761012739,0.41722372,0.282308494,0.168478261,0
1.63628E-4,27.005988873,0.418801784,0.280354351,0.168478261,0
1.64481E-4,27.252223018,0.420443119,0.278400208,0.168478261,0
1.65298E-4,27.515867986,0.422012558,0.276315789,0.168478261,0
1.66287E-4,27.764459366,0.423903776,0.274361647,0.168478261,0
