Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.51363E-8,0.000007514,0.000379436,1,0,0
7.98801E-8,0.000015502,0.000403388,0.999892265,0,0
8.42388E-8,0.000032002,0.000425394,0.999676794,0,0
8.90527E-8,0.000057828,0.000449698,0.999353588,0,0
9.15969E-8,0.000103095,0.000462543,0.998814911,0,0
1.04257E-7,0.000250536,0.000526457,0.99719888,0,0
1.25818E-7,0.000510531,0.000635296,0.994720965,0,0
2.19817E-7,0.001015087,0.001109662,0.991596639,0,0
3.25974E-7,0.002503263,0.001645119,0.985671192,0,0
4.9744E-7,0.005028786,0.002509379,0.978883861,0,0
6.7264E-7,0.010000147,0.003391692,0.969834087,0,0
1.26949E-6,0.025019557,0.00639158,0.952057746,0,0
1.6294E-6,0.050118745,0.008196209,0.933850463,0,0
2.01253E-6,0.100106652,0.01011365,0.904654169,0,0
2.93037E-6,0.200136148,0.014692119,0.859082094,0,0
3.82871E-6,0.300227924,0.01915278,0.826869209,0,0
4.97645E-6,0.400377809,0.024822428,0.802305538,0,0
5.779E-6,0.500028443,0.028767408,0.782266753,0.000554631,0
7.3261E-6,0.600185734,0.036327364,0.765675501,0.001109262,0
8.84916E-6,0.700058477,0.043712294,0.752424047,0.001109262,0
9.52057E-6,0.750673114,0.046949829,0.746498599,0.001109262,0
1.02514E-5,0.800335559,0.050461294,0.741111829,0.001109262,0
1.15954E-5,0.900148435,0.056885476,0.731307908,0.001663894,0
1.30015E-5,1.00085516,0.063559816,0.722473605,0.001663894,0
1.48676E-5,1.101287507,0.072344651,0.714716656,0.001663894,0
1.67107E-5,1.200400755,0.080940798,0.707929326,0.001663894,0
1.79489E-5,1.300813428,0.086670462,0.701680672,0.001663894,0
2.04261E-5,1.401048168,0.098026869,0.696078431,0.001663894,0
2.17786E-5,1.500105254,0.104167933,0.691014867,0.002218525,0
2.40954E-5,1.750580185,0.11458973,0.679271709,0.002773156,0
2.64519E-5,2.000707719,0.12506598,0.668605904,0.003882418,0
2.84632E-5,2.250016815,0.133909334,0.658801982,0.003882418,0
3.0601E-5,2.50146349,0.143211127,0.649644473,0.004437049,0
3.19609E-5,2.751588748,0.149075725,0.641025641,0.004991681,0
3.27782E-5,3.000807982,0.15258141,0.632730015,0.007210205,0
3.35338E-5,3.252711683,0.155809499,0.624542125,0.010537992,0
3.45043E-5,3.501150528,0.159937312,0.61667744,0.012756517,0
3.52185E-5,3.752357549,0.162962424,0.608920491,0.016084304,0
3.60378E-5,4.001521015,0.166418967,0.601379013,0.017193566,0
3.68616E-5,4.253046728,0.169880297,0.59394527,0.022185247,0
3.76141E-5,4.502440972,0.173029534,0.586726998,0.022739878,0
3.82029E-5,4.752648941,0.17548515,0.579616462,0.02384914,0
3.91834E-5,5.000213889,0.179558241,0.572721396,0.02384914,0
4.00351E-5,5.253694882,0.183080332,0.565826331,0.025513034,0
4.09187E-5,5.500647439,0.186718234,0.559254471,0.027176927,0
4.1681E-5,5.752552464,0.189843467,0.552682612,0.028840821,0
4.26499E-5,6.001260187,0.193798577,0.546326223,0.029950083,0
4.3446E-5,6.250968642,0.197033868,0.540077569,0.032168608,0
4.42713E-5,6.50083451,0.200374214,0.533936652,0.035496395,0
4.51682E-5,6.751369654,0.203988466,0.527903469,0.036605657,0
4.60634E-5,7.002101838,0.20757932,0.521978022,0.040488075,0
4.69873E-5,7.253230302,0.211268543,0.51616031,0.040488075,0
4.80093E-5,7.500279695,0.215329746,0.510558069,0.040488075,0
4.86982E-5,7.751849188,0.218055299,0.504955828,0.041042707,0
4.96552E-5,8.002382455,0.221825841,0.499461323,0.0427066,0
5.03304E-5,8.252428465,0.224475092,0.494074553,0.043261231,0
5.13836E-5,8.501519582,0.228589902,0.488795518,0.043261231,0
5.23991E-5,8.750935805,0.232536233,0.483624219,0.043261231,0
5.36033E-5,9.000140163,0.237190008,0.478560655,0.046034387,0
5.47909E-5,9.254989084,0.241752074,0.473497091,0.046589018,0
5.56355E-5,9.503293698,0.244979822,0.468648998,0.049916805,0
5.67334E-5,9.750671807,0.249155397,0.46390864,0.05213533,0
5.76558E-5,10.002382385,0.25264536,0.459168283,0.056572379,0
5.85536E-5,10.252284382,0.256026631,0.45453566,0.059900166,0
6.01166E-5,10.501260007,0.261876945,0.450010774,0.060454798,0
6.13187E-5,10.750212442,0.266345207,0.445593622,0.060454798,0
6.28676E-5,11.004772063,0.272062155,0.441176471,0.060454798,0
6.38544E-5,11.251976664,0.27568166,0.43697479,0.060454798,0
6.50437E-5,11.503301223,0.280019664,0.432773109,0.062118691,0
6.61295E-5,11.752804818,0.283957238,0.428679164,0.063782585,0
6.72828E-5,12.006553926,0.288116111,0.424585219,0.063782585,0
6.92896E-5,12.252175282,0.295295579,0.420706744,0.065446478,0
7.06982E-5,12.504318517,0.300291644,0.41682827,0.06655574,0
7.19299E-5,12.754246376,0.304631062,0.413057531,0.069883527,0
7.32205E-5,13.000865543,0.309149475,0.409394527,0.072102052,0
7.52585E-5,13.252654076,0.316224431,0.405731523,0.073211314,0
7.67515E-5,13.503408329,0.321361401,0.402176255,0.073211314,0
7.83694E-5,13.751736704,0.326884365,0.398728722,0.077093733,0
8.10101E-5,14.007267158,0.33580277,0.395281189,0.079866889,0
8.27765E-5,14.253021455,0.341702428,0.392049127,0.083194676,0
8.51466E-5,14.505043761,0.349536065,0.388817065,0.089295618,0
8.68901E-5,14.754771037,0.355239064,0.385692739,0.092623405,0
8.91465E-5,15.001033147,0.36254561,0.382676147,0.09484193,0
9.09992E-5,15.253474376,0.368483039,0.379659556,0.096505824,0
9.33234E-5,15.502362003,0.375853462,0.3767507,0.096505824,0
9.62078E-5,15.758691336,0.384880582,0.373841844,0.097060455,0
9.7936E-5,16.001419872,0.390226686,0.371148459,0.097615086,0
9.99403E-5,16.268847611,0.396368677,0.368131868,0.098724348,0
1.02733E-4,16.502534193,0.404823635,0.365761689,0.102052135,0
1.04986E-4,16.752684373,0.411558923,0.36317604,0.102052135,0
1.06422E-4,17.006954724,0.415811346,0.36059039,0.102052135,0
1.08317E-4,17.253704557,0.421374418,0.358112476,0.102052135,0
1.10364E-4,17.505145657,0.427326357,0.355634562,0.103161398,0
1.12075E-4,17.760795825,0.432254726,0.353156647,0.103716029,0
1.1419E-4,18.009657271,0.438286442,0.350786468,0.103716029,0
1.15988E-4,18.251661687,0.443367056,0.348524025,0.105934554,0
1.18362E-4,18.509843366,0.450000781,0.346153846,0.108153078,0
1.19785E-4,18.759787968,0.45394005,0.343891403,0.109262341,0
1.20743E-4,19.000309408,0.456575551,0.341736695,0.109816972,0
1.22186E-4,19.267633833,0.460520488,0.339366516,0.114254021,0
1.23709E-4,19.501341042,0.464655882,0.337319543,0.115917915,0
1.25124E-4,19.75058337,0.46846755,0.335164835,0.118136439,0
1.26648E-4,20.002487969,0.472543695,0.333010127,0.119800333,0
1.27773E-4,20.257063354,0.475534111,0.330855419,0.121464226,0
1.28547E-4,20.500684001,0.477577879,0.328808446,0.123682751,0
1.2936E-4,20.758764442,0.479720972,0.326653738,0.125346644,0
1.30399E-4,21.005624022,0.482443889,0.324606766,0.125901276,0
1.31291E-4,21.25432551,0.484768742,0.322559793,0.125901276,0
1.32169E-4,21.5048532,0.487049681,0.320512821,0.127010538,0
1.33185E-4,21.757188525,0.48967445,0.318465848,0.1281198,0
1.34768E-4,22.011889609,0.493739315,0.316418875,0.130338325,0
1.3584E-4,22.255261559,0.496474237,0.314479638,0.132002219,0
1.37118E-4,22.50105314,0.499714176,0.312540401,0.133111481,0
1.38404E-4,22.762640458,0.502952435,0.310493428,0.133666112,0
1.39496E-4,23.012721568,0.505686095,0.308554191,0.134775374,0
1.40797E-4,23.251067471,0.508924577,0.306722689,0.135330006,0
1.41491E-4,23.505231736,0.510641688,0.304783452,0.135884637,0
1.42378E-4,23.760720606,0.512829945,0.302844215,0.13754853,0
1.43441E-4,24.003930305,0.515438181,0.301012713,0.138103161,0
1.4419E-4,24.262702459,0.517268326,0.299073476,0.141430948,0
1.45451E-4,24.50885903,0.520333106,0.297241974,0.143649473,0
1.46484E-4,24.757115319,0.522829525,0.295410472,0.144204104,0
