Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.87604E-8,0.000008876,0.000445794,1,0,0
9.20925E-8,0.000018085,0.000462526,0.99989275,0,0
9.21628E-8,0.000027302,0.000462879,0.9997855,0,0
9.70609E-8,0.00005567,0.000487473,0.999463749,0,0
1.0313E-7,0.000106026,0.000517946,0.998927499,0,0
1.30966E-7,0.000256062,0.000657701,0.997533248,0,0
1.50815E-7,0.000508772,0.000757343,0.995602746,0,0
1.83704E-7,0.001014129,0.000922424,0.992385242,0,0
2.62542E-7,0.002510586,0.001318028,0.985092235,0,0
4.1925E-7,0.005009415,0.002103912,0.977048477,0,0
7.48667E-7,0.010046041,0.003753914,0.967824968,0,0
1.12157E-6,0.025076724,0.00561842,0.95023595,0,0
1.53786E-6,0.050136805,0.007695761,0.93039468,0,0
1.92026E-6,0.100159946,0.009600158,0.8996139,0,0
2.88862E-6,0.200141219,0.014406412,0.852745603,0,0
3.97254E-6,0.300192305,0.019758503,0.821321321,0,0
4.96014E-6,0.400448537,0.024609697,0.797404547,0,0
5.9078E-6,0.500147034,0.029242143,0.777670528,0.001109262,0
7.68997E-6,0.600249434,0.037894395,0.761583012,0.001109262,0
9.40124E-6,0.700720327,0.046129842,0.748820249,0.001109262,0
1.01185E-5,0.750510715,0.049560865,0.743350493,0.001663894,0
1.10272E-5,0.800457122,0.05388934,0.738309738,0.001663894,0
1.22619E-5,0.90026258,0.059739579,0.729193479,0.001663894,0
1.36357E-5,1.0010284,0.0662063,0.720827971,0.001663894,0
1.47226E-5,1.100362082,0.071290911,0.713320463,0.001663894,0
1.62049E-5,1.200858622,0.078180955,0.706349206,0.001663894,0
1.78183E-5,1.301554631,0.085622114,0.70002145,0.002218525,0
1.93466E-5,1.401872929,0.092615218,0.694229944,0.002773156,0
2.08122E-5,1.502055583,0.099271427,0.688867439,0.002773156,0
2.40128E-5,1.751676119,0.113637862,0.676962677,0.003327787,0
2.64396E-5,2.000545525,0.124378109,0.666344916,0.004991681,0
2.80126E-5,2.25200156,0.131270107,0.656477906,0.004991681,0
2.96663E-5,2.502412545,0.138457168,0.647147147,0.005546312,0
3.07849E-5,2.750575171,0.143284746,0.638352638,0.009983361,0
3.17288E-5,3.000762896,0.147337843,0.62977263,0.012201886,0
3.28873E-5,3.252714594,0.152285645,0.621407121,0.016084304,0
3.38213E-5,3.502780341,0.156253924,0.613363363,0.021075984,0
3.46668E-5,3.753109065,0.159829893,0.605534106,0.022185247,0
3.55467E-5,4.002407219,0.163535556,0.597919348,0.022739878,0
3.63659E-5,4.250489436,0.166970709,0.590519091,0.022739878,0
3.72211E-5,4.500801274,0.170541643,0.583226083,0.024958403,0
3.80185E-5,4.75289701,0.173857611,0.576040326,0.027731559,0
3.87728E-5,5.002493591,0.176982371,0.569069069,0.028840821,0
3.96384E-5,5.261337139,0.180553438,0.561883312,0.028840821,0
4.06016E-5,5.501762008,0.184508782,0.555555556,0.032168608,0
4.12506E-5,5.751408218,0.187163308,0.549013299,0.035496395,0
4.21893E-5,6.001669851,0.190987435,0.542578293,0.036605657,0
4.29704E-5,6.25330973,0.194155673,0.536250536,0.036605657,0
4.40257E-5,6.50140793,0.198416157,0.53013728,0.036605657,0
4.48629E-5,6.750455497,0.201780627,0.524131274,0.036605657,0
4.5864E-5,7.000280664,0.205784715,0.518232518,0.037160288,0
4.70265E-5,7.250555373,0.21040928,0.512441012,0.041042707,0
4.78623E-5,7.501904143,0.213717775,0.506756757,0.043261231,0
4.86698E-5,7.752772467,0.216900876,0.501179751,0.043261231,0
4.96725E-5,8.003526357,0.220835375,0.495709996,0.043261231,0
5.04788E-5,8.253942511,0.223984981,0.49034749,0.043815862,0
5.13829E-5,8.503666639,0.227501621,0.485092235,0.046034387,0
5.21513E-5,8.752149536,0.230477839,0.47994423,0.046589018,0
5.30153E-5,9.004410589,0.233810552,0.474796225,0.048807543,0
5.39181E-5,9.250298946,0.237277359,0.46986272,0.049916805,0
5.47598E-5,9.516968223,0.240495837,0.464607465,0.053799224,0
5.57267E-5,9.754448048,0.244175833,0.45999571,0.057127011,0
5.69004E-5,10.002492726,0.248619131,0.455276705,0.057681642,0
5.84057E-5,10.250611023,0.254279818,0.450664951,0.059345535,0
5.93144E-5,10.504094392,0.25767606,0.446053196,0.059345535,0
6.06884E-5,10.755856718,0.262782281,0.441548692,0.059345535,0
6.17205E-5,11.000540179,0.266594723,0.437258687,0.062118691,0
6.29176E-5,11.255931425,0.270991962,0.432861433,0.062673322,0
6.41372E-5,11.503670334,0.275444879,0.428678679,0.063782585,0
6.52811E-5,11.756172139,0.27959643,0.424495924,0.064891847,0
6.68746E-5,12.000810808,0.285340203,0.420527671,0.065446478,0
6.815E-5,12.250772359,0.289904458,0.416559417,0.066001109,0
6.93256E-5,12.505196986,0.294085701,0.412591163,0.067665003,0
7.03881E-5,12.756789179,0.297843736,0.408730159,0.07099279,0
7.14686E-5,13.005030633,0.301644666,0.404976405,0.072102052,0
7.26366E-5,13.250037387,0.305730142,0.401222651,0.072102052,0
7.43454E-5,13.507186202,0.311664566,0.397576148,0.074875208,0
7.58238E-5,13.754967436,0.316757755,0.394036894,0.078202995,0
7.7297E-5,14.000087484,0.321795641,0.390604891,0.08042152,0
7.85943E-5,14.257696715,0.326201145,0.387065637,0.083194676,0
8.04742E-5,14.512392385,0.33253427,0.383526384,0.083749307,0
8.20179E-5,14.756285604,0.337690329,0.38041613,0.086522463,0
8.41099E-5,15.005802689,0.344614523,0.377198627,0.091514143,0
8.58596E-5,15.251940697,0.350349696,0.374088374,0.09484193,0
8.86143E-5,15.505339647,0.359277832,0.370978121,0.097615086,0
9.09041E-5,15.757300656,0.366605872,0.367975118,0.098169717,0
9.3529E-5,16.006427546,0.374903332,0.365079365,0.098169717,0
9.77218E-5,16.254634905,0.387931774,0.362290862,0.098724348,0
1.00081E-4,16.502239606,0.395144115,0.35960961,0.100942873,0
1.0293E-4,16.755874907,0.403737487,0.356928357,0.102052135,0
1.06469E-4,17.00786532,0.414245929,0.354354354,0.103161398,0
1.09507E-4,17.256099432,0.423116936,0.351887602,0.10427066,0
1.12231E-4,17.500467413,0.430957015,0.3495281,0.106489185,0
1.14143E-4,17.761014691,0.436396593,0.347061347,0.106489185,0
1.15436E-4,18.002246048,0.440046438,0.344809095,0.108153078,0
1.16997E-4,18.25783964,0.444419853,0.342449592,0.109262341,0
1.18366E-4,18.505298911,0.448228622,0.34019734,0.111480865,0
1.19413E-4,18.754785881,0.451120854,0.337945088,0.114254021,0
1.20487E-4,19.006681006,0.454075003,0.335692836,0.115363283,0
1.21534E-4,19.260687954,0.456938888,0.333440583,0.11869107,0
1.228E-4,19.504901112,0.460383215,0.331295581,0.121464226,0
1.242E-4,19.751903771,0.464164705,0.329150579,0.12312812,0
1.25414E-4,20.001481149,0.467420532,0.327005577,0.125901276,0
1.26743E-4,20.253531305,0.470965329,0.324860575,0.126455907,0
1.28009E-4,20.508775315,0.474318447,0.322715573,0.127010538,0
1.2897E-4,20.752701508,0.476852235,0.320677821,0.1281198,0
1.30326E-4,21.012054335,0.480402504,0.318532819,0.1281198,0
1.31489E-4,21.260718673,0.483428603,0.316495066,0.129783694,0
1.32566E-4,21.511344727,0.486216253,0.314457314,0.130892956,0
1.33613E-4,21.751065821,0.488912198,0.312526813,0.133111481,0
1.34982E-4,22.006262787,0.492415944,0.31048906,0.134775374,0
1.3603E-4,22.250246734,0.495080309,0.308558559,0.135884637,0
1.37197E-4,22.509718043,0.498031998,0.306520807,0.136993899,0
1.38359E-4,22.75768186,0.500954107,0.304590305,0.139212424,0
1.40277E-4,23.022299489,0.505738669,0.302552553,0.142540211,0
1.42152E-4,23.262350682,0.51037297,0.300729301,0.143094842,0
1.43767E-4,23.505521811,0.514327728,0.298906049,0.144204104,0
1.45847E-4,23.751771107,0.519376569,0.297082797,0.148086522,0
1.46911E-4,24.000697397,0.521938121,0.295259545,0.151414309,0
1.48377E-4,24.251910258,0.525446579,0.293436293,0.151968941,0
1.49772E-4,24.505280824,0.52876019,0.291613042,0.154187465,0
1.50563E-4,24.760610242,0.530630651,0.28978979,0.15640599,0
1.51894E-4,25.002656166,0.533756524,0.288073788,0.156960621,0
1.53317E-4,25.262061872,0.537077619,0.286250536,0.157515252,0
1.54709E-4,25.508852319,0.540304344,0.284534535,0.158624515,0
1.55959E-4,25.757462957,0.543182801,0.282818533,0.160843039,0
1.5668E-4,26.007752979,0.544833259,0.281102531,0.164170826,0
1.57595E-4,26.259218127,0.546920659,0.279386529,0.16583472,0
1.58407E-4,26.512037786,0.548765029,0.277670528,0.169717138,0
1.59448E-4,26.750647302,0.5511179,0.276061776,0.1708264,0
1.60724E-4,27.006785627,0.55398801,0.274345774,0.172490294,0
1.61852E-4,27.264859242,0.556506356,0.272629773,0.173599556,0
1.6313E-4,27.508906924,0.559344716,0.271021021,0.175818081,0
1.64669E-4,27.755243477,0.562738871,0.269412269,0.179700499,0
1.6593E-4,28.00339296,0.565500847,0.267803518,0.180809762,0
1.67211E-4,28.253412788,0.568288152,0.266194766,0.182473655,0
1.68436E-4,28.505549032,0.570935375,0.264586015,0.186356073,0
1.69535E-4,28.759183391,0.573298054,0.262977263,0.187465336,0
