Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.06305E-6,0.000106305,0.005958863,1,0,0
1.84248E-6,0.000433866,0.010305326,0.999761422,0,0
1.8985E-6,0.000623716,0.010617007,0.999642133,0,0
1.95841E-6,0.001013068,0.010950176,0.999403555,0,0
2.42238E-6,0.002549599,0.013526826,0.998568532,0,0
3.11447E-6,0.00507534,0.017357807,0.99749493,0,0
3.83017E-6,0.010092757,0.021303787,0.995824884,0,0
4.63684E-6,0.025045468,0.025732397,0.991649767,0,0
5.44222E-6,0.050485555,0.030133906,0.985685316,0,0
6.54239E-6,0.100587261,0.036114397,0.975784325,0,0
7.93468E-6,0.200734815,0.043629994,0.959322438,0.00110011,0
8.6582E-6,0.300136198,0.047512407,0.945007754,0.00110011,0
9.42528E-6,0.400256781,0.051611306,0.931766671,0.00110011,0
1.00945E-5,0.500608462,0.055172896,0.9194799,0.00110011,0
1.07107E-5,0.600489671,0.058440737,0.908028152,0.00220022,0
1.13916E-5,0.701094542,0.062038036,0.89717285,0.00220022,0
1.17357E-5,0.750811329,0.06385082,0.892043421,0.00220022,0
1.19666E-5,0.800548665,0.065065503,0.887033282,0.00220022,0
1.25914E-5,0.900061195,0.068343976,0.87737087,0.00220022,0
1.3218E-5,1.000998947,0.071619957,0.868066325,0.00220022,0
1.40823E-5,1.100458942,0.076120725,0.859358225,0.00220022,0
1.4859E-5,1.20045199,0.080145909,0.851127281,0.00220022,0
1.56653E-5,1.300754224,0.084306619,0.843254205,0.00330033,0
1.68894E-5,1.400165066,0.090586813,0.835977574,0.00330033,0
1.82784E-5,1.500346938,0.097660899,0.829178099,0.00330033,0
2.09407E-5,1.752052069,0.111066804,0.813909102,0.00440044,0
2.32982E-5,2.001661889,0.122771053,0.800429441,0.00440044,0
2.53391E-5,2.250820936,0.132778998,0.788261959,0.00550055,0
2.69556E-5,2.501150285,0.140625252,0.776810211,0.00550055,0
2.83189E-5,2.750627941,0.147186531,0.766074198,0.00660066,0
3.01461E-5,3.002406514,0.155902912,0.755815341,0.00990099,0
3.14035E-5,3.251726587,0.161848937,0.746152929,0.01320132,0
3.25748E-5,3.501177649,0.167350457,0.736848384,0.01540154,0
3.37302E-5,3.750319038,0.172741517,0.727901706,0.01980198,0
3.50686E-5,4.00150598,0.178943341,0.719193606,0.0220022,0
3.62524E-5,4.251709871,0.184389753,0.710843373,0.02420242,0
3.7639E-5,4.50303006,0.190723044,0.702731719,0.02530253,0
3.88941E-5,4.751729822,0.196413511,0.694977932,0.02530253,0
4.04379E-5,5.000923659,0.20335815,0.687462722,0.02530253,0
4.17917E-5,5.250953979,0.20939889,0.680186091,0.02750275,0
4.30851E-5,5.501773947,0.215126996,0.673148038,0.02750275,0
4.44137E-5,5.750843933,0.220968075,0.666348563,0.02750275,0
4.57616E-5,6.003662577,0.226849034,0.659668376,0.03080308,0
4.71021E-5,6.254418843,0.232654193,0.653226768,0.03080308,0
4.82015E-5,6.502073526,0.237382512,0.647023739,0.03410341,0
4.93809E-5,6.751049428,0.242422578,0.640939998,0.03520352,0
5.04681E-5,7.000649717,0.247039023,0.634975546,0.03850385,0
5.16399E-5,7.251081968,0.251983395,0.629130383,0.03960396,0
