Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.10443E-7,0.000041044,0.001662741,1,0,0
4.40059E-7,0.00008505,0.00178261,0.999883883,0,0
4.65111E-7,0.000131561,0.001883998,0.999767766,0,0
6.08169E-7,0.000299385,0.002462761,0.999419415,0,0
6.36643E-7,0.000550168,0.002577915,0.998954947,0,0
7.13216E-7,0.001031602,0.002887531,0.998142127,0,0
8.69984E-7,0.002539965,0.003521101,0.995935903,0,0
1.0064E-6,0.005012833,0.004072099,0.99291686,0.000859845,0
1.18673E-6,0.010075907,0.004799986,0.987575476,0.00171969,0
1.6772E-6,0.025041674,0.006777073,0.975383186,0.00171969,0
2.24133E-6,0.050153227,0.009046229,0.960984673,0.00171969,0
2.932E-6,0.100218794,0.011817292,0.938574083,0.002579536,0
3.90546E-6,0.200023107,0.015709837,0.904551788,0.003439381,0
4.89504E-6,0.300336665,0.019651082,0.877960985,0.003439381,0
5.66093E-6,0.40056295,0.022690617,0.855898746,0.005159071,0
6.31074E-6,0.500277812,0.025262076,0.836507199,0.008598452,0
6.88002E-6,0.600081667,0.027509305,0.818973525,0.012897678,0
7.37777E-6,0.700150051,0.029469939,0.802717139,0.013757524,0
7.63861E-6,0.750469585,0.03049576,0.794937297,0.013757524,0
7.93142E-6,0.800296225,0.031646094,0.787505806,0.015477214,0
8.48354E-6,0.900225602,0.033811358,0.773339526,0.017196905,0
8.91288E-6,1.000085936,0.035491799,0.759986066,0.01805675,0
9.3397E-6,1.100446708,0.037159459,0.747213191,0.018916595,0
9.76118E-6,1.200053123,0.038803409,0.735137018,0.018916595,0
1.02272E-5,1.300992422,0.040617694,0.723409196,0.01977644,0
1.08883E-5,1.400072849,0.043186113,0.712494194,0.020636285,0
1.15231E-5,1.500562457,0.045645561,0.70204366,0.022355976,0
1.34395E-5,1.750554515,0.053031865,0.678588017,0.024075666,0
1.54781E-5,2.00118757,0.060826709,0.658499768,0.024935512,0
1.7075E-5,2.251033458,0.066887967,0.64073386,0.024935512,0
1.90005E-5,2.500323217,0.074144063,0.62459359,0.026655202,0
2.0571E-5,2.751303799,0.080020947,0.609846725,0.031814273,0
2.21396E-5,3.001248118,0.085853129,0.596261031,0.0361135,0
2.40058E-5,3.251110779,0.092743958,0.58372039,0.038693035,0
2.5517E-5,3.501874578,0.098285959,0.571992569,0.040412726,0
2.65443E-5,3.751559146,0.102033679,0.560845332,0.042992261,0
2.83042E-5,4.001874208,0.108418211,0.550278681,0.043852107,0
2.98531E-5,4.252454577,0.113999941,0.540292615,0.043852107,0
3.09068E-5,4.50131637,0.11777693,0.530771017,0.044711952,0
3.21158E-5,4.752961897,0.122090951,0.521481654,0.045571797,0
3.34665E-5,5.002722801,0.126885443,0.512656758,0.047291488,0
3.49353E-5,5.252274278,0.132069748,0.504180214,0.049871023,0
3.62664E-5,5.5015891,0.136741222,0.49605202,0.049871023,0
