Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.60516E-8,0.000001605,0.00006559,1,0,0
1.71586E-8,0.000003321,0.000070113,0.999877721,0,0
2.85205E-8,0.000011045,0.000116537,0.999510883,0,0
3.5509E-8,0.000027406,0.00014509,0.998899486,0,0
4.41281E-8,0.000051464,0.000180305,0.998165811,0,0
5.68731E-8,0.000101908,0.000232374,0.996943018,0,0
8.77505E-8,0.000252271,0.000358511,0.994375153,0,0
1.21559E-7,0.000501462,0.000496604,0.991562729,0,0
1.66339E-7,0.001000678,0.000679482,0.987282954,0,0
2.84044E-7,0.002522111,0.001160017,0.978967963,0,0
4.71339E-7,0.005038946,0.001924183,0.970530692,0,0
7.71706E-7,0.010066963,0.003148462,0.960381511,0,0
1.93915E-6,0.025023807,0.007892676,0.946563952,0,0
3.34902E-6,0.050047277,0.013591919,0.93494742,0,0
4.43294E-6,0.100385633,0.017951302,0.919662509,0.001333333,0
5.86008E-6,0.200533947,0.023661666,0.895695769,0.001333333,0
6.82052E-6,0.300289185,0.027485966,0.876375642,0.001333333,0
7.94883E-6,0.400545729,0.031959524,0.859745659,0.001333333,0
8.87143E-6,0.500724821,0.035602215,0.845194424,0.002666667,0
9.6364E-6,0.600852707,0.038612122,0.831988261,0.002666667,0
1.03634E-5,0.700985964,0.041463874,0.819760333,0.004,0
1.075E-5,0.750564129,0.042976878,0.814013206,0.004,0
1.11412E-5,0.801025479,0.044505602,0.808388359,0.004,0
1.18882E-5,0.901121096,0.047417745,0.797750061,0.004,0
1.30388E-5,1.000852994,0.051886046,0.787967718,0.006666667,0
1.40271E-5,1.101295865,0.055707379,0.778919051,0.006666667,0
1.49452E-5,1.201140211,0.059243308,0.77048178,0.006666667,0
1.57961E-5,1.301053587,0.062508687,0.762533627,0.006666667,0
1.64366E-5,1.401193438,0.064959281,0.754952311,0.008,0
1.72357E-5,1.500324319,0.068007586,0.747737833,0.009333333,0
1.90228E-5,1.751122207,0.074788635,0.730863292,0.009333333,0
2.04192E-5,2.000882439,0.080052867,0.715333822,0.009333333,0
2.14826E-5,2.251380822,0.084041649,0.700782587,0.010666667,0
2.23606E-5,2.501458494,0.087322322,0.686842749,0.010666667,0
2.33016E-5,2.751106869,0.090825003,0.673514307,0.012,0
2.40992E-5,3.002245118,0.093783228,0.660552702,0.012,0
2.50546E-5,3.250393974,0.097314358,0.648202494,0.012,0
2.58299E-5,3.502309684,0.100169679,0.636096845,0.012,0
2.67692E-5,3.75208529,0.103616726,0.624480313,0.013333333,0
2.78517E-5,4.000219096,0.107573167,0.613352898,0.016,0
2.87733E-5,4.252143167,0.110927737,0.602470042,0.016,0
2.95149E-5,4.502731354,0.113617872,0.591954023,0.017333333,0
3.03189E-5,4.751176175,0.116525277,0.581804842,0.017333333,0
3.10847E-5,5.002757546,0.11928533,0.571777941,0.018666667,0
3.20975E-5,5.252779068,0.122922975,0.562117877,0.018666667,0
3.32025E-5,5.50075046,0.126874168,0.552824652,0.018666667,0
3.43662E-5,5.750393631,0.131016478,0.543775984,0.02,0
3.54177E-5,6.001995908,0.134742031,0.534971876,0.02,0
3.6657E-5,6.251068573,0.139112842,0.526534605,0.02,0
3.81436E-5,6.502246528,0.144326711,0.518341893,0.022666667,0
3.94584E-5,6.750923037,0.148911683,0.510516019,0.022666667,0
4.06227E-5,7.003022614,0.152951037,0.502812424,0.022666667,0
4.24914E-5,7.252012212,0.159394773,0.495475666,0.025333333,0
4.44083E-5,7.503740004,0.165953496,0.488383468,0.025333333,0
4.5713E-5,7.751275304,0.170388146,0.481658107,0.025333333,0
4.78302E-5,8.003950909,0.177534744,0.475055026,0.026666667,0
5.06705E-5,8.254926197,0.187025313,0.468818782,0.026666667,0
5.30941E-5,8.504219266,0.195037051,0.462949376,0.028,0
5.63439E-5,8.751595365,0.205655843,0.457446809,0.029333333,0
5.99799E-5,9.001337459,0.217370979,0.452188799,0.029333333,0
6.26001E-5,9.253271202,0.225705721,0.447175348,0.029333333,0
6.53546E-5,9.503029971,0.234372299,0.442406456,0.029333333,0
6.78506E-5,9.756496192,0.242141605,0.437759843,0.029333333,0
7.01787E-5,10.005418231,0.249317191,0.433357789,0.029333333,0
7.1818E-5,10.254122821,0.254328988,0.429078014,0.029333333,0
7.29907E-5,10.500552203,0.257893444,0.424920518,0.030666667,0
7.44167E-5,10.751192033,0.262205394,0.420763023,0.030666667,0
7.59299E-5,11.006914546,0.266753309,0.416605527,0.032,0
7.75796E-5,11.252652361,0.27167981,0.41269259,0.032,0
7.88944E-5,11.503051142,0.275582075,0.408779653,0.032,0
8.03194E-5,11.757983134,0.279788313,0.404866716,0.032,0
8.16836E-5,12.001293362,0.28379185,0.401198337,0.032,0
8.28175E-5,12.256567083,0.287102775,0.397407679,0.033333333,0
8.43875E-5,12.507240265,0.291661642,0.393739301,0.034666667,0
8.6098E-5,12.754894352,0.296595338,0.390193201,0.034666667,0
8.75073E-5,13.007065957,0.300634493,0.386647102,0.034666667,0
8.84525E-5,13.25363304,0.303330542,0.383223282,0.034666667,0
8.97581E-5,13.503152935,0.307037556,0.379799462,0.036,0
9.09736E-5,13.756212867,0.310470914,0.376375642,0.037333333,0
9.17635E-5,14.003083005,0.312692808,0.373074101,0.041333333,0
9.283E-5,14.252363471,0.31568172,0.369772561,0.044,0
9.38663E-5,14.504465521,0.318573584,0.36647102,0.045333333,0
9.51296E-5,14.750042399,0.322082033,0.363291758,0.048,0
9.61579E-5,15.008181242,0.324924758,0.359990218,0.049333333,0
9.69833E-5,15.259279592,0.327197782,0.356810956,0.050666667,0
9.78614E-5,15.502880732,0.329607568,0.353753974,0.052,0
9.92117E-5,15.758866354,0.333296484,0.350574713,0.054666667,0
1.00466E-4,16.00834037,0.336706078,0.34751773,0.054666667,0
1.01865E-4,16.251032447,0.340485032,0.344583028,0.054666667,0
1.02879E-4,16.506923071,0.343213893,0.341526045,0.054666667,0
1.04047E-4,16.755151115,0.346340668,0.338591343,0.054666667,0
1.05488E-4,17.006425349,0.350178848,0.33565664,0.057333333,0
1.06749E-4,17.250684806,0.353517272,0.332844216,0.057333333,0
1.08579E-4,17.50946977,0.358333223,0.329909513,0.057333333,0
1.10218E-4,17.750300759,0.36261637,0.327219369,0.06,0
1.11088E-4,18.004800737,0.364880109,0.324406945,0.066666667,0
1.12582E-4,18.250781728,0.368743922,0.321716801,0.068,0
1.13912E-4,18.511116317,0.372167172,0.318904378,0.074666667,0
1.15641E-4,18.751981233,0.376586908,0.316336513,0.077333333,0
1.16921E-4,19.008132704,0.37983779,0.313646368,0.08,0
1.18762E-4,19.255275423,0.384485645,0.311078503,0.082666667,0
1.21003E-4,19.506916684,0.390097698,0.308510638,0.085333333,0
1.22825E-4,19.750754471,0.394621884,0.306065053,0.090666667,0
1.25123E-4,20.01141358,0.400279611,0.303497188,0.096,0
1.27084E-4,20.250910488,0.405066032,0.301173881,0.098666667,0
1.29071E-4,20.50737778,0.409877915,0.298728295,0.1,0
1.30242E-4,20.75356318,0.412693573,0.296404989,0.1,0
1.31147E-4,21.002055469,0.414861988,0.294081683,0.1,0
1.33055E-4,21.253070523,0.419407398,0.291758376,0.105333333,0
1.34465E-4,21.507287754,0.422741418,0.28943507,0.105333333,0
1.36206E-4,21.750843961,0.426834264,0.287234043,0.106666667,0
1.38198E-4,22.011577843,0.431481614,0.284910736,0.108,0
1.40352E-4,22.262674902,0.436462318,0.282709709,0.110666667,0
1.41522E-4,22.502360665,0.439150245,0.280630961,0.110666667,0
1.43336E-4,22.758744941,0.443293406,0.278429934,0.110666667,0
1.44448E-4,23.003301414,0.445817192,0.276351186,0.114666667,0
1.46446E-4,23.250598066,0.450322225,0.274272438,0.114666667,0
1.48503E-4,23.501365952,0.454923435,0.27219369,0.116,0
