Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,104.76133355255922
CHELSA_bio14_1981-2010_V.2.1,false,32.902533346513906
CHELSA_bio15_1981-2010_V.2.1,false,38.675866732915246
CHELSA_bio18_1981-2010_V.2.1,false,181.934266930451
CHELSA_bio19_1981-2010_V.2.1,false,174.9295999862353
CHELSA_bio2_1981-2010_V.2.1,false,8.098266664822896
CHELSA_bio3_1981-2010_V.2.1,false,0.3163933334449927
CHELSA_bio5_1981-2010_V.2.1,false,26.03239997355143
CHELSA_bio8_1981-2010_V.2.1,false,14.27653332388401
CHELSA_bio9_1981-2010_V.2.1,false,11.621599984919031
CHELSA_gsl_1981-2010_V.2.1,false,291.66
CHELSA_hurs_max_1981-2010_V.2.1,false,66.61193342081705
CHELSA_hurs_range_1981-2010_V.2.1,false,11.648653354803724
CHELSA_scd_1981-2010_V.2.1,false,19.070666666666668
wc2.1_30s_elev,false,247.92533333333333
