Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.91094E-6,0.000491094,0.030450237,1,0,0
5.56409E-6,0.001047502,0.0344296,0.999866596,0,0
8.47068E-6,0.002537313,0.051941146,0.999599787,0,0
1.33339E-5,0.006106898,0.080533585,0.999199573,0,0
1.39096E-5,0.01026169,0.083860502,0.99879936,0,0
1.72782E-5,0.026291789,0.103088644,0.997465315,0,0
2.06419E-5,0.050975943,0.121886286,0.995731057,0,0
2.30149E-5,0.101567092,0.134909923,0.992662753,0,0
2.79749E-5,0.201381901,0.161511121,0.987459979,0,0
3.07375E-5,0.301264105,0.17597103,0.982924226,0,0
3.2759E-5,0.40303267,0.186393549,0.978655283,0,0
3.46471E-5,0.50097742,0.196009402,0.974786553,0,0
3.61196E-5,0.603348754,0.203429983,0.970917823,0,0
3.70078E-5,0.702080229,0.20787251,0.967315902,0,0
3.73782E-5,0.750501204,0.209718078,0.965581644,0,0
3.77412E-5,0.803082958,0.211522159,0.963713981,0,0
3.84974E-5,0.902466266,0.215267578,0.960245464,0,0
3.9113E-5,1.003407401,0.21830371,0.956776948,0,0
3.96831E-5,1.102050697,0.221105019,0.953441836,0,0
4.05201E-5,1.202253331,0.225199122,0.950106724,0,0
4.09452E-5,1.300037105,0.227270358,0.946905016,0,0
4.14603E-5,1.402953025,0.229772971,0.943569904,0,0
4.19082E-5,1.502997985,0.231941968,0.940368196,0,0
4.30725E-5,1.753666236,0.237552444,0.932497332,0,0
4.45737E-5,2.003143001,0.244725874,0.924893276,0,0
4.57022E-5,2.251481168,0.250073911,0.91755603,0,0
4.70328E-5,2.50139447,0.256330764,0.910352188,0,0
4.84515E-5,2.754638718,0.262944863,0.90328175,0,0
5.01173E-5,3.001414916,0.270635508,0.896611526,0,0
5.13035E-5,3.255093284,0.276063031,0.889941302,0,0
5.25716E-5,3.504585296,0.281820469,0.883537887,0,0
5.35737E-5,3.753799832,0.286338351,0.877267876,0,0
5.45749E-5,4.00254562,0.290823351,0.87113127,0,0
5.54331E-5,4.255508305,0.294645314,0.864994664,0,0
5.63572E-5,4.501401876,0.298737743,0.859124867,0,0
5.7132E-5,4.751133356,0.302150721,0.853255069,0,0
