Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.15207E-12,0.000000001,0.000000011,0.999471877,0,0
1.04136E-11,0.000000003,0.000000014,0.999207816,0,0
2.92827E-11,0.000000012,0.000000038,0.998679694,0,0
4.71337E-11,0.000000028,0.000000061,0.998151571,0,0
9.98254E-11,0.00000011,0.00000013,0.996699234,0,0
1.49384E-10,0.000000252,0.000000195,0.995246897,0,0
3.24914E-10,0.000001001,0.000000424,0.991153948,0,0
5.013E-10,0.000002538,0.000000654,0.986268814,0,0
9.51861E-10,0.000010015,0.000001241,0.972537629,0,0
1.4105E-9,0.000025001,0.000001839,0.955373647,0,0
2.23494E-9,0.000050019,0.000002914,0.936757328,0,0
4.13163E-9,0.000100396,0.000005388,0.914576182,0,0
1.38922E-8,0.000250168,0.000018116,0.888962239,0,0
2.88465E-8,0.000502232,0.000037617,0.872854502,0,0
7.28906E-8,0.001001891,0.000095049,0.858727225,0,0
1.68716E-7,0.002508993,0.000219992,0.841431212,0,0
2.90931E-7,0.005027241,0.00037932,0.826511751,0,0
4.85624E-7,0.010012069,0.000633083,0.809347769,0,0
8.93405E-7,0.025016492,0.001164377,0.78030103,0,0
1.44307E-6,0.050046549,0.001880087,0.751650383,0,0
2.3992E-6,0.10012891,0.003123816,0.716926327,0,0
4.00967E-6,0.200037663,0.005215208,0.675072617,0,0
5.57343E-6,0.300072398,0.007241744,0.647346184,0.032258065,0
6.9429E-6,0.400232294,0.009013106,0.625957222,0.032258065,0
8.19213E-6,0.50055581,0.010626186,0.608529179,0.032258065,0
9.38873E-6,0.600112692,0.01216884,0.593609717,0.032258065,0
1.06237E-5,0.700325238,0.01375849,0.580406654,0.032258065,0
1.13552E-5,0.750734825,0.014698764,0.574333245,0.032258065,0
1.1987E-5,0.801051176,0.015510248,0.568655928,0.032258065,0
1.31174E-5,0.901272628,0.016960359,0.558093478,0.032258065,0
1.40197E-5,1.000178901,0.018116422,0.548455242,0.032258065,0
1.49588E-5,1.100446241,0.019318166,0.539345128,0.032258065,0
1.6167E-5,1.200113792,0.02086212,0.530895168,0.032258065,0
1.73502E-5,1.300764152,0.022371673,0.52297333,0.032258065,0
1.8543E-5,1.400991977,0.023891187,0.515579614,0.032258065,0
1.94427E-5,1.501542297,0.025035697,0.508581991,0.032258065,0
2.19697E-5,1.75159109,0.028243287,0.492606285,0.032258065,0
2.37542E-5,2.000647009,0.030502059,0.478214946,0.032258065,0
2.60416E-5,2.250688831,0.033389675,0.464879852,0.043010753,0
2.85194E-5,2.502262504,0.036507923,0.452733034,0.043010753,0
3.05942E-5,2.750777534,0.039111332,0.441642461,0.043010753,0
3.25456E-5,3.000089256,0.041553437,0.431212041,0.043010753,0
3.44647E-5,3.251165683,0.043949019,0.421309744,0.043010753,0
3.61303E-5,3.502321498,0.04602345,0.411935569,0.043010753,0
3.76486E-5,3.753415852,0.047910329,0.402957486,0.043010753,0
3.89623E-5,4.002966525,0.049540069,0.394375495,0.043010753,0
4.0467E-5,4.253132663,0.051403175,0.386057565,0.043010753,0
4.2046E-5,4.504018874,0.053354518,0.378003697,0.043010753,0
4.31543E-5,4.751094373,0.054721716,0.37034592,0.043010753,0
4.45003E-5,5.001128711,0.056379484,0.362820174,0.043010753,0
4.58013E-5,5.253842687,0.057978975,0.355426459,0.043010753,0
4.68409E-5,5.503773618,0.059255258,0.348296805,0.043010753,0
4.78792E-5,5.754666498,0.060528207,0.341299181,0.043010753,0
4.88212E-5,6.000911314,0.061681503,0.334565619,0.043010753,0
5.00074E-5,6.252752198,0.063131872,0.327832057,0.043010753,0
5.14316E-5,6.501407714,0.064870184,0.321362556,0.043010753,0
5.26453E-5,6.751158389,0.066349125,0.315025086,0.043010753,0
5.40808E-5,7.002008294,0.068095264,0.308819646,0.043010753,0
5.5143E-5,7.253334254,0.069385274,0.302746237,0.043010753,0
5.63895E-5,7.504501563,0.070896713,0.296804859,0.043010753,0
5.76058E-5,7.75500168,0.072369211,0.290995511,0.043010753,0
5.91093E-5,8.00004155,0.074186264,0.285450224,0.053763441,0
6.04043E-5,8.250623713,0.075748354,0.279904938,0.053763441,0
6.18518E-5,8.501554679,0.077491357,0.274491682,0.053763441,0
6.341E-5,8.752100074,0.079364056,0.269210457,0.053763441,0
6.5747E-5,9.004177613,0.082165441,0.264061262,0.053763441,0
6.71701E-5,9.250069546,0.083867231,0.259176129,0.053763441,0
6.90251E-5,9.502382259,0.086080733,0.254290996,0.053763441,0
7.10412E-5,9.755632963,0.088480364,0.249537893,0.053763441,0
7.27071E-5,10.007016559,0.090458396,0.244916821,0.053763441,0
7.57216E-5,10.251789507,0.094026838,0.24055981,0.053763441,0
7.77412E-5,10.505333418,0.096409793,0.236202799,0.053763441,0
8.09208E-5,10.75190423,0.100148681,0.232109849,0.053763441,0
8.39527E-5,11.007697888,0.103699458,0.2280169,0.053763441,0
8.7553E-5,11.257901119,0.107897766,0.224188012,0.053763441,0
9.12924E-5,11.508644913,0.112237364,0.220491154,0.053763441,0
9.4219E-5,11.750061433,0.115619082,0.217058358,0.053763441,0
9.72242E-5,12.009050861,0.119078131,0.21349353,0.053763441,0
9.99172E-5,12.255651385,0.122166321,0.210192765,0.053763441,0
1.03125E-4,12.509677156,0.125831339,0.206891999,0.053763441,0
1.06102E-4,12.750570511,0.129217522,0.203855294,0.053763441,0
1.09035E-4,13.008921475,0.132541847,0.200686559,0.053763441,0
1.12189E-4,13.252435438,0.136103026,0.197781885,0.053763441,0
1.14641E-4,13.502053402,0.138860416,0.194877212,0.053763441,0
1.17126E-4,13.757532507,0.141646854,0.191972538,0.053763441,0
1.19614E-4,14.006081515,0.144426815,0.189199894,0.053763441,0
1.21597E-4,14.259667153,0.146636642,0.186427251,0.053763441,0
1.22706E-4,14.504051263,0.147870233,0.183786639,0.064516129,0
1.24961E-4,14.751375471,0.150372364,0.181146026,0.064516129,0
1.28103E-4,15.004017156,0.153846359,0.178505413,0.064516129,0
1.30112E-4,15.262197111,0.156060209,0.175864801,0.075268817,0
1.31903E-4,15.510996075,0.158028487,0.173356219,0.075268817,0
1.33881E-4,15.750164253,0.160197662,0.170979667,0.075268817,0
1.35792E-4,16.006474141,0.162287743,0.168471085,0.075268817,0
1.3727E-4,16.25208643,0.163900819,0.166094534,0.086021505,0
1.38513E-4,16.500453,0.165255824,0.163717983,0.086021505,0
1.40046E-4,16.751226888,0.166922627,0.161341431,0.086021505,0
1.41628E-4,17.004770097,0.168639782,0.15896488,0.086021505,0
1.43341E-4,17.261300064,0.170493968,0.156588328,0.086021505,0
1.44767E-4,17.506216375,0.172035497,0.154343808,0.086021505,0
1.46068E-4,17.75348425,0.173439198,0.152099287,0.086021505,0
1.47744E-4,18.003137091,0.175243778,0.149854766,0.086021505,0
1.50039E-4,18.255951096,0.177708458,0.147610246,0.086021505,0
1.52237E-4,18.513023703,0.18006173,0.145365725,0.086021505,0
1.54373E-4,18.758789804,0.182343135,0.143253235,0.086021505,0
1.56382E-4,19.007589198,0.184482,0.141140745,0.086021505,0
1.59797E-4,19.260217149,0.188105779,0.139028255,0.096774194,0
1.61614E-4,19.501829728,0.190027574,0.137047795,0.107526882,0
1.63983E-4,19.7627706,0.192525999,0.134935305,0.107526882,0
1.66325E-4,20.010571271,0.194988467,0.132954846,0.107526882,0
1.68342E-4,20.261408519,0.197103033,0.130974386,0.107526882,0
1.71447E-4,20.516693318,0.200346874,0.128993927,0.107526882,0
1.73667E-4,20.758802219,0.202658429,0.127145498,0.107526882,0
1.78113E-4,21.005820932,0.207268084,0.125297069,0.107526882,0
1.81203E-4,21.257662019,0.210455884,0.12344864,0.107526882,0
1.83465E-4,21.512973115,0.212781344,0.121600211,0.107526882,0
1.85679E-4,21.752942441,0.215051282,0.119883813,0.107526882,0
1.8928E-4,22.015948961,0.218728244,0.118035384,0.107526882,0
1.92753E-4,22.264615978,0.222259362,0.116318986,0.107526882,0
1.957E-4,22.51788469,0.225242674,0.114602588,0.107526882,0
2.00671E-4,22.756371659,0.230248396,0.11301822,0.107526882,0
2.0219E-4,23.018331408,0.231771125,0.111301822,0.107526882,0
2.05623E-4,23.262808882,0.235203036,0.109717454,0.107526882,0
2.09221E-4,23.511992121,0.238783294,0.108133087,0.107526882,0
2.1246E-4,23.765287396,0.241991815,0.106548719,0.107526882,0
2.15821E-4,24.000746178,0.245306832,0.105096382,0.107526882,0
2.2172E-4,24.264286699,0.251090404,0.103512015,0.107526882,0
2.24962E-4,24.509742659,0.254249942,0.102059678,0.107526882,0
2.28963E-4,24.760002786,0.25813015,0.100607341,0.107526882,0
2.32335E-4,25.013773432,0.261385483,0.099155004,0.107526882,0
2.37919E-4,25.272328952,0.266744304,0.097702667,0.107526882,0
2.4249E-4,25.512577468,0.271102386,0.096382361,0.107526882,0
2.4514E-4,25.756933511,0.2736164,0.095062054,0.107526882,0
2.49572E-4,26.003699375,0.277803135,0.093741748,0.11827957,0
2.54171E-4,26.255786917,0.282121368,0.092421442,0.129032258,0
2.58943E-4,26.513182916,0.286574813,0.091101135,0.129032258,0
2.64985E-4,26.775747359,0.292173566,0.089780829,0.129032258,0
2.69189E-4,27.01692429,0.296043675,0.088592553,0.129032258,0
2.73309E-4,27.26154977,0.299815735,0.087404278,0.129032258,0
2.76398E-4,27.508980486,0.302630398,0.086216002,0.129032258,0
2.78608E-4,27.758769653,0.304637742,0.085027726,0.139784946,0
2.84378E-4,28.012449208,0.309849839,0.083839451,0.139784946,0
2.89531E-4,28.270771624,0.314471836,0.082651175,0.139784946,0
2.95135E-4,28.505095528,0.319463714,0.08159493,0.139784946,0
2.99979E-4,28.773077858,0.323748974,0.080406654,0.150537634,0
3.03978E-4,29.014663427,0.327266699,0.079350409,0.150537634,0
3.08188E-4,29.259796699,0.330949649,0.078294164,0.150537634,0
3.16732E-4,29.510425775,0.338362934,0.077237919,0.150537634,0
3.2222E-4,29.766348306,0.343081321,0.076181674,0.161290323,0
3.25737E-4,30.025992948,0.346086693,0.075125429,0.172043011,0
3.2988E-4,30.255482301,0.349610894,0.074201215,0.193548387,0
3.33545E-4,30.520644262,0.352711133,0.07314497,0.193548387,0
3.3683E-4,30.755836648,0.355478387,0.072220755,0.215053763,0
3.40015E-4,31.027190393,0.358150214,0.07116451,0.215053763,0
3.46945E-4,31.268434426,0.36392455,0.070240296,0.225806452,0
3.50133E-4,31.512540428,0.366563308,0.069316081,0.23655914,0
3.52386E-4,31.758403892,0.368421377,0.068391867,0.23655914,0
3.55773E-4,32.006625366,0.371204973,0.067467652,0.23655914,0
3.58276E-4,32.256487846,0.373253789,0.066543438,0.23655914,0
3.72113E-4,32.514887094,0.384462184,0.065619224,0.23655914,0
3.80207E-4,32.778826714,0.39092469,0.064695009,0.23655914,0
3.84691E-4,33.008296296,0.394476063,0.063902825,0.23655914,0
3.91679E-4,33.279876791,0.39996897,0.062978611,0.23655914,0
3.95713E-4,33.516331375,0.403117302,0.062186427,0.23655914,0
4.04005E-4,33.757646925,0.409536703,0.061394243,0.23655914,0
4.08357E-4,34.001173979,0.412877707,0.06060206,0.23655914,0
4.15954E-4,34.290509896,0.418666192,0.059677845,0.23655914,0
4.21697E-4,34.541956852,0.423003127,0.058885661,0.23655914,0
4.25058E-4,34.754145151,0.425526789,0.058225508,0.23655914,0
4.31742E-4,35.011373909,0.430512168,0.057433325,0.23655914,0
4.34422E-4,35.271512627,0.432499056,0.056641141,0.23655914,0
4.44473E-4,35.53551977,0.439888733,0.055848957,0.247311828,0
4.50917E-4,35.75917852,0.444576357,0.055188804,0.247311828,0
4.56757E-4,36.032328185,0.448790001,0.05439662,0.247311828,0
4.61306E-4,36.262247693,0.452049878,0.053736467,0.247311828,0
4.69679E-4,36.541600858,0.458000461,0.052944283,0.247311828,0
4.78426E-4,36.778942326,0.46414795,0.05228413,0.247311828,0
4.8493E-4,37.020619298,0.468673354,0.051623977,0.247311828,0
4.88944E-4,37.264239552,0.47144721,0.050963824,0.247311828,0
4.99842E-4,37.511583342,0.478905942,0.05030367,0.247311828,0
5.05545E-4,37.762978225,0.482767286,0.049643517,0.258064516,0
5.0967E-4,38.016890676,0.485541665,0.048983364,0.268817204,0
5.12463E-4,38.272504299,0.487412133,0.048323211,0.268817204,0
5.20268E-4,38.531446579,0.492603245,0.047663058,0.268817204,0
5.26783E-4,38.793810795,0.496895431,0.047002905,0.268817204,0
5.38685E-4,39.007707012,0.504643938,0.046474782,0.268817204,0
5.55047E-4,39.281942128,0.515101546,0.045814629,0.268817204,0
5.64474E-4,39.506696099,0.521026154,0.045286506,0.268817204,0
5.71227E-4,39.79054339,0.525225245,0.044626353,0.268817204,0
5.74501E-4,40.019961004,0.527248015,0.044098231,0.268817204,0
5.87542E-4,40.25252396,0.535219956,0.043570108,0.268817204,0
5.99114E-4,40.549085153,0.542181035,0.042909955,0.268817204,0
6.05378E-4,40.789935698,0.545905864,0.042381833,0.268817204,0
6.23215E-4,41.036736448,0.55634601,0.04185371,0.268817204,0
6.34149E-4,41.288487728,0.562627426,0.041325588,0.268817204,0
6.41102E-4,41.543514484,0.566574872,0.040797465,0.279569892,0
6.55836E-4,41.804649852,0.574823451,0.040269342,0.279569892,0
6.66457E-4,42.003231736,0.580671776,0.039873251,0.279569892,0
6.76219E-4,42.272297363,0.585975955,0.039345128,0.279569892,0
6.80873E-4,42.543952335,0.588481102,0.038817006,0.279569892,0
6.9612E-4,42.751893951,0.596582566,0.038420914,0.279569892,0
7.07012E-4,43.033026884,0.602271974,0.037892791,0.279569892,0
7.14169E-4,43.317840232,0.605966789,0.037364669,0.279569892,0
7.18688E-4,43.532923485,0.60828209,0.036968577,0.279569892,0
7.22462E-4,43.821057127,0.610205452,0.036440454,0.279569892,0
7.2801E-4,44.039061054,0.613015053,0.036044362,0.290322581,0
7.34978E-4,44.25889602,0.616515564,0.03564827,0.290322581,0
7.39184E-4,44.554160223,0.618613122,0.035120148,0.311827957,0
7.45161E-4,44.777539575,0.621574234,0.034724056,0.311827957,0
7.55889E-4,45.003148659,0.62683179,0.034327964,0.311827957,0
7.73877E-4,45.309988668,0.635483592,0.033799842,0.311827957,0
7.8874E-4,45.546009847,0.642480348,0.03340375,0.322580645,0
8.04319E-4,45.784824785,0.649670436,0.033007658,0.322580645,0
8.17895E-4,46.028429065,0.65581807,0.032611566,0.344086022,0
8.20792E-4,46.274541842,0.657116011,0.032215474,0.365591398,0
8.3315E-4,46.522730958,0.662597405,0.031819382,0.365591398,0
8.37507E-4,46.773478917,0.66450929,0.03142329,0.365591398,0
8.5249E-4,47.027513883,0.67100077,0.031027198,0.365591398,0
8.54163E-4,47.283608773,0.67171753,0.030631106,0.365591398,0
8.64481E-4,47.542194423,0.676105204,0.030235015,0.376344086,0
8.79171E-4,47.803488784,0.682250896,0.029838923,0.376344086,0
9.07683E-4,48.074216731,0.69384822,0.029442831,0.387096774,0
9.36963E-4,48.259913768,0.705317793,0.029178769,0.387096774,0
9.40269E-4,48.54171757,0.706585371,0.028782678,0.387096774,0
9.668E-4,48.830180975,0.71656339,0.028386586,0.387096774,0
9.91586E-4,49.026650261,0.725578171,0.028122524,0.387096774,0
1.00908E-3,49.327339952,0.731768627,0.027726433,0.387096774,0
1.01175E-3,49.529535953,0.732699135,0.027462371,0.387096774,0
1.02041E-3,49.834743445,0.73570189,0.027066279,0.387096774,0
1.03462E-3,50.041228173,0.740553367,0.026802218,0.387096774,0
1.04692E-3,50.354683559,0.744683777,0.026406126,0.397849462,0
1.05408E-3,50.5654828,0.747054945,0.026142065,0.397849462,0
1.05645E-3,50.776583894,0.747836639,0.025878004,0.397849462,0
1.10287E-3,51.104530555,0.762647939,0.025481912,0.397849462,0
1.10817E-3,51.325755011,0.764281537,0.025217851,0.397849462,0
1.11488E-3,51.548231389,0.766337588,0.024953789,0.408602151,0
1.12175E-3,51.772261484,0.768421478,0.024689728,0.408602151,0
1.16008E-3,52.114722298,0.77971171,0.024293636,0.408602151,0
1.20139E-3,52.351848398,0.791264813,0.024029575,0.408602151,0
1.2097E-3,52.593744619,0.793513163,0.023765514,0.408602151,0
1.22645E-3,52.838042485,0.79797565,0.023501452,0.408602151,0
1.23804E-3,53.084514379,0.801005213,0.023237391,0.408602151,0
1.25453E-3,53.334665916,0.805239833,0.02297333,0.408602151,0
1.2679E-3,53.587481137,0.808606346,0.022709269,0.408602151,0
1.27278E-3,53.841586033,0.809820535,0.022445207,0.408602151,0
1.28821E-3,54.099052377,0.813609473,0.022181146,0.408602151,0
1.29923E-3,54.358254553,0.816267839,0.021917085,0.408602151,0
1.31069E-3,54.619885747,0.818992331,0.021653024,0.408602151,0
1.31096E-3,54.750981257,0.81905574,0.021520993,0.408602151,0
1.31663E-3,55.013909268,0.820388767,0.021256932,0.408602151,0
1.32871E-3,55.278958137,0.823197106,0.02099287,0.408602151,0
1.34616E-3,55.546594186,0.8271749,0.020728809,0.408602151,0
1.36275E-3,55.81778735,0.830874523,0.020464748,0.408602151,0
1.36983E-3,56.091372314,0.83242777,0.020200687,0.408602151,0
1.37882E-3,56.366563525,0.834380848,0.019936625,0.408602151,0
1.38541E-3,56.50510471,0.835798747,0.019804595,0.408602151,0
1.39734E-3,56.783948359,0.838332525,0.019540533,0.408602151,0
1.40644E-3,57.064846015,0.840241008,0.019276472,0.408602151,0
1.43172E-3,57.350869088,0.845422058,0.019012411,0.408602151,0
1.44736E-3,57.640296036,0.848541928,0.01874835,0.408602151,0
1.46512E-3,57.786808257,0.852009865,0.018616319,0.408602151,0
1.48195E-3,58.082283377,0.855222355,0.018352258,0.408602151,0
1.50999E-3,58.382889627,0.860419526,0.018088196,0.408602151,0
1.51067E-3,58.533956528,0.860543912,0.017956166,0.408602151,0
1.53734E-3,58.839261406,0.865311487,0.017692105,0.408602151,0
1.55324E-3,59.148962806,0.868075482,0.017428043,0.408602151,0
1.56344E-3,59.305307217,0.869818739,0.017296013,0.408602151,0
1.58105E-3,59.621400319,0.872774109,0.017031951,0.408602151,0
1.58587E-3,59.779987721,0.873571389,0.016899921,0.419354839,0
1.60579E-3,60.09943387,0.876813,0.01663586,0.419354839,0
1.63261E-3,60.262694765,0.88104651,0.016503829,0.419354839,0
1.64234E-3,60.590877067,0.882546247,0.016239768,0.419354839,0
1.65016E-3,60.755893551,0.88373889,0.016107737,0.419354839,0
1.65369E-3,61.086315277,0.884272524,0.015843676,0.419354839,0
1.65509E-3,61.251824677,0.884483812,0.015711645,0.419354839,0
1.67859E-3,61.587307468,0.887969603,0.015447584,0.419354839,0
1.68248E-3,61.755555384,0.888536326,0.015315553,0.430107527,0
1.70177E-3,62.094354554,0.891304976,0.015051492,0.430107527,0
1.70351E-3,62.264705143,0.891551155,0.014919461,0.430107527,0
1.77684E-3,62.614572852,0.901442304,0.0146554,0.430107527,0
1.78149E-3,62.792722119,0.902038061,0.014523369,0.430107527,0
1.81477E-3,63.152628191,0.90619809,0.014259308,0.440860215,0
1.85973E-3,63.338601519,0.911540179,0.014127278,0.451612903,0
1.8673E-3,63.525331167,0.912408359,0.013995247,0.462365591,0
1.91529E-3,63.907737465,0.917722858,0.013731186,0.47311828,0
1.94005E-3,64.101742514,0.920336632,0.013599155,0.483870968,0
1.95984E-3,64.29772606,0.922365723,0.013467124,0.483870968,0
1.97228E-3,64.691385495,0.923615798,0.013203063,0.483870968,0
1.99275E-3,64.890660887,0.925627866,0.013071032,0.483870968,0
1.99413E-3,65.090074016,0.92576133,0.012939002,0.483870968,0
1.99983E-3,65.290057374,0.926311333,0.012806971,0.494623656,0
2.01728E-3,65.693405418,0.927969006,0.01254291,0.505376344,0
2.10531E-3,65.903936295,0.935780759,0.012410879,0.505376344,0
2.12387E-3,66.11632374,0.937316887,0.012278849,0.505376344,0
2.12687E-3,66.32901071,0.937561249,0.012146818,0.516129032,0
2.15767E-3,66.544777344,0.940019148,0.012014787,0.516129032,0
2.17397E-3,66.762173878,0.941280582,0.011882757,0.516129032,0
2.18148E-3,67.197978573,0.941853234,0.011618696,0.516129032,0
2.18291E-3,67.416269102,0.941961172,0.011486665,0.516129032,0
2.2166E-3,67.637928626,0.944455836,0.011354634,0.516129032,0
2.2175E-3,67.859678418,0.944521181,0.011222604,0.516129032,0
2.24925E-3,68.084603103,0.946771246,0.011090573,0.52688172,0
2.27709E-3,68.312311685,0.948668992,0.010958542,0.52688172,0
2.29576E-3,68.541887981,0.949904115,0.010826512,0.52688172,0
2.30359E-3,68.772246801,0.950412724,0.010694481,0.52688172,0
2.32384E-3,69.004630853,0.951705195,0.01056245,0.52688172,0
2.34576E-3,69.47160046,0.953066109,0.010298389,0.537634409,0
2.35231E-3,69.706831001,0.953465032,0.010166359,0.537634409,0
2.36218E-3,69.943048571,0.954060167,0.010034328,0.537634409,0
2.43257E-3,70.18630562,0.958089625,0.009902297,0.537634409,0
2.49257E-3,70.435562521,0.961243765,0.009770267,0.548387097,0
2.53245E-3,70.68880708,0.963207643,0.009638236,0.559139785,0
2.56108E-3,71.198159307,0.96455602,0.009374175,0.580645161,0
2.58104E-3,71.456263451,0.965466905,0.009242144,0.591397849,0
2.58104E-3,72.230575884,0.965466905,0.008714022,0.591397849,0
2.58997E-3,72.489573339,0.965866858,0.008714022,0.634408602,0
2.62052E-3,72.751624999,0.96719962,0.008581991,0.634408602,0
2.62092E-3,73.013717343,0.967217017,0.00844996,0.634408602,0
2.68706E-3,73.282423552,0.96992601,0.00831793,0.634408602,0
2.68882E-3,73.551305338,0.969994789,0.008185899,0.634408602,0
2.74524E-3,73.825829726,0.972123388,0.008053868,0.634408602,0
2.74907E-3,74.100736946,0.972262212,0.007921838,0.64516129,0
2.76741E-3,74.37747844,0.972917829,0.007789807,0.64516129,0
2.78999E-3,74.65647725,0.973703422,0.007657777,0.655913978,0
2.7947E-3,74.935947303,0.973864527,0.007525746,0.655913978,0
2.79555E-3,75.215502657,0.973893583,0.007393715,0.655913978,0
2.8184E-3,75.497343007,0.97466002,0.007261685,0.655913978,0
2.8337E-3,75.780712538,0.975160331,0.007129654,0.655913978,0
2.87597E-3,76.068310028,0.9764928,0.006997623,0.666666667,0
2.90815E-3,76.359125288,0.977458794,0.006865593,0.666666667,0
2.9088E-3,76.650005,0.977477731,0.006733562,0.666666667,0
2.9555E-3,76.945554631,0.978808378,0.006601532,0.666666667,0
2.97533E-3,77.243087483,0.979349418,0.006469501,0.677419355,0
3.06227E-3,77.549314549,0.981562888,0.00633747,0.688172043,0
3.09974E-3,77.85928871,0.98244215,0.00620544,0.698924731,0
3.12028E-3,78.171316399,0.982906097,0.006073409,0.698924731,0
3.14076E-3,78.485392172,0.983356602,0.005941378,0.709677419,0
3.18174E-3,78.803565773,0.984222649,0.005809348,0.709677419,0
3.22874E-3,79.12643973,0.985160688,0.005677317,0.709677419,0
3.28478E-3,79.454917785,0.986206479,0.005545287,0.720430108,0
3.45779E-3,79.80069674,0.988992415,0.005413256,0.731182796,0
3.45779E-3,80.146475695,0.988992415,0.005149195,0.731182796,0
