Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.33333E-10,0.000000063,0.000000071,1,0,0
1.05378E-9,0.000000169,0.000000118,0.999867216,0,0
1.45337E-9,0.000000314,0.000000162,0.999734431,0,0
1.89128E-9,0.000001156,0.000000211,0.999070509,0,0
2.19128E-9,0.000002611,0.000000245,0.998141017,0,0
3.69618E-9,0.000010345,0.000000413,0.99468862,0,0
6.90588E-9,0.000025419,0.000000772,0.99083787,0,0
1.1429E-8,0.000050131,0.000001278,0.987385473,0,0
2.02484E-8,0.000101364,0.000002264,0.982870801,0,0
2.88798E-8,0.000251239,0.000003229,0.9751693,0,0
3.60274E-8,0.000500776,0.000004028,0.965210463,0,0
4.2243E-8,0.001001282,0.000004723,0.948346833,0,0
5.61992E-8,0.002501579,0.000006283,0.90744921,0,0
9.51197E-8,0.005005209,0.000010635,0.861240207,0,0
1.84736E-7,0.010003458,0.000020654,0.812375515,0,0
3.72261E-7,0.025017448,0.000041619,0.740804674,0,0
7.46351E-7,0.050007437,0.000083442,0.678927101,0,0
1.28019E-6,0.100030741,0.00014312,0.613597132,0,0
1.96705E-6,0.200013843,0.0002199,0.53193467,0,0
2.52335E-6,0.300245525,0.000282081,0.472314434,0,0
3.03187E-6,0.400144819,0.000338918,0.424644801,0,0
3.42441E-6,0.50022007,0.00038279,0.383481609,0,0
3.91059E-6,0.600266725,0.000437125,0.347098659,0,0
4.38106E-6,0.700257755,0.000489701,0.314964812,0,0
4.66306E-6,0.750346989,0.000521214,0.300225734,0,0
4.91504E-6,0.800151804,0.000549371,0.286416147,0,0
5.35581E-6,0.900321112,0.000598623,0.260523171,0,0
5.87935E-6,1.000532091,0.00065712,0.236887532,0,0
6.37796E-6,1.100338828,0.000712829,0.21524366,0,0
6.92204E-6,1.200049397,0.000773614,0.195325986,0,0
7.5413E-6,1.300564811,0.000842794,0.176868942,0,0
8.29203E-6,1.400685707,0.000926655,0.160005311,0,0
9.14794E-6,1.50070574,0.001022256,0.144735095,0,0
1.16101E-5,1.750187733,0.001297213,0.112734033,0,0
1.50181E-5,2.000811056,0.001677683,0.08723941,0,0
1.9038E-5,2.250511678,0.002126261,0.067587306,0,0
2.35361E-5,2.501289114,0.002627972,0.051785951,0,0
2.86698E-5,2.751430878,0.003200277,0.03903864,0,0
4.75384E-5,3.000001347,0.005300893,0.02987651,0,0
6.33758E-5,3.253083964,0.007060637,0.023901208,0,0
7.51061E-5,3.503968537,0.008362022,0.019120967,0,0
8.7369E-5,3.755554992,0.009720667,0.015004647,0,0
5.6964E-4,4.056670477,0.061702448,0.011552251,0,0
1.70253E-3,4.352143206,0.173330364,0.011286682,0.022988506,0
2.29168E-3,4.581311096,0.22602784,0.011153897,0.034482759,0
2.41116E-3,4.822426793,0.236297929,0.011021113,0.045977011,0
2.91805E-3,5.114231585,0.278375295,0.010888328,0.057471264,0
4.63996E-3,5.57822765,0.404746067,0.010755544,0.068965517,0
5.89002E-3,6.16723005,0.4823881,0.010622759,0.08045977,0
6.01854E-3,6.769084327,0.489772455,0.010489975,0.091954023,0
6.07156E-3,7.376240335,0.492787913,0.01035719,0.103448276,0
6.0765E-3,7.983889936,0.493067744,0.010224406,0.114942529,0
7.91034E-3,8.774923551,0.587041829,0.010091621,0.126436782,0
8.56381E-3,10.422337667,0.616136995,0.009826052,0.149425287,0
9.37205E-3,11.35954243,0.649303634,0.009693268,0.16091954,0
9.37983E-3,12.297525271,0.649608581,0.009560483,0.172413793,0
9.38319E-3,13.235843804,0.649740064,0.009427699,0.183908046,0
1.02233E-2,14.258172505,0.681141115,0.009294914,0.195402299,0
1.07893E-2,15.337102275,0.700694062,0.00916213,0.206896552,0
1.09032E-2,16.427421295,0.70448116,0.009029345,0.218390805,0
1.13313E-2,17.560547259,0.718291564,0.008896561,0.229885057,0
1.13408E-2,18.694625459,0.718591322,0.008763776,0.24137931,0
1.14095E-2,19.83557557,0.720745125,0.008630992,0.252873563,0
1.14834E-2,20.983913791,0.723042331,0.008498207,0.264367816,0
1.15056E-2,22.134471902,0.723728868,0.008365423,0.275862069,0
1.15428E-2,23.288751244,0.724875904,0.008232638,0.287356322,0
1.16031E-2,24.449065913,0.726726124,0.008099854,0.298850575,0
1.16777E-2,25.616839261,0.728995511,0.007967069,0.310344828,0
1.17723E-2,26.794070343,0.731846054,0.007834285,0.32183908,0
1.18657E-2,29.157873304,0.734631923,0.007568716,0.344827586,0
1.18689E-2,31.531333949,0.734725924,0.007303147,0.367816092,0
1.18726E-2,36.279259298,0.734835724,0.006772009,0.413793103,0
1.1982E-2,37.477458603,0.738059369,0.006639225,0.425287356,0
1.19862E-2,38.676078719,0.738182578,0.00650644,0.436781609,0
1.2049E-2,41.079597668,0.740014067,0.006240871,0.459770115,0
1.20617E-2,42.285768321,0.740383491,0.006108087,0.471264368,0
1.20838E-2,43.494150939,0.741024748,0.005975302,0.482758621,0
1.20912E-2,44.703272156,0.741238517,0.005842518,0.494252874,0
1.21768E-2,47.130071085,0.743702162,0.005576949,0.517241379,0
1.2199E-2,48.349966985,0.744337,0.005444164,0.528735632,0
1.22279E-2,50.792647937,0.745161509,0.005178595,0.551724138,0
1.22279E-2,52.015432989,0.745161509,0.004913026,0.551724138,0
1.22335E-2,53.238785296,0.74532308,0.004913026,0.574712644,0
1.22735E-2,54.466134389,0.746458584,0.004780242,0.586206897,0
1.2295E-2,55.695635022,0.747067748,0.004647457,0.597701149,0
1.22977E-2,56.925409689,0.74714523,0.004514673,0.609195402,0
1.22981E-2,58.155222633,0.747156051,0.004381888,0.620689655,0
1.23082E-2,59.386047548,0.747441963,0.004249104,0.632183908,0
1.23127E-2,61.848142225,0.747567543,0.003983535,0.655172414,0
1.23319E-2,63.081332376,0.748108954,0.00385075,0.666666667,0
1.23433E-2,64.31566261,0.748429825,0.003717966,0.67816092,0
1.23557E-2,65.551232919,0.748778374,0.003585181,0.689655172,0
1.23872E-2,66.789949262,0.749660469,0.003452397,0.701149425,0
1.24163E-2,68.031580803,0.750475076,0.003319612,0.712643678,0
1.24292E-2,71.75776513,0.750834617,0.002921259,0.747126437,0
1.24542E-2,73.003181594,0.75152876,0.002788474,0.75862069,0
1.24873E-2,74.251912233,0.752447739,0.00265569,0.770114943,0
1.24996E-2,75.501868708,0.752786786,0.002522905,0.781609195,0
1.24997E-2,76.751838345,0.752790424,0.002390121,0.793103448,0
1.26403E-2,78.015873326,0.756647547,0.002257336,0.804597701,0
1.26945E-2,79.285324005,0.758116589,0.002124552,0.816091954,0
1.27669E-2,80.562016964,0.760067253,0.001991767,0.827586207,0
1.27785E-2,81.839862427,0.760376219,0.001858983,0.83908046,0
1.27785E-2,83.11770789,0.760376219,0.001593414,0.83908046,0
1.28803E-2,84.405739331,0.763089659,0.001593414,0.862068966,0
1.29227E-2,85.698007571,0.764209231,0.001460629,0.873563218,0
1.29354E-2,86.991549951,0.764544886,0.001327845,0.885057471,0
1.30706E-2,88.298609114,0.76807641,0.00119506,0.896551724,0
1.3089E-2,89.607513728,0.768554443,0.001062276,0.908045977,0
1.30926E-2,90.91677811,0.76864752,0.000929491,0.91954023,0
1.32893E-2,92.245709141,0.773679012,0.000796707,0.931034483,0
1.33603E-2,93.581737785,0.77546786,0.000663922,0.942528736,0
1.42639E-2,95.008125444,0.797043094,0.000531138,0.954022989,0
1.63587E-2,96.64399938,0.839422102,0.000398353,0.965517241,0
1.65457E-2,98.298573042,0.842744466,0.000265569,0.977011494,0
1.70143E-2,100,0.850770092,0.000132784,0.988505747,0
1.70143E-2,100,0.850770092,0.000132784,1,0
