Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.28488E-11,0.000000003,0.000000173,1,0,0
4.18269E-11,0.000000011,0.000000221,0.999731074,0,0
6.78172E-11,0.000000028,0.000000358,0.999327686,0,0
9.45667E-11,0.000000103,0.000000499,0.998117521,0,0
1.22819E-10,0.00000026,0.000000648,0.996235041,0,0
2.37372E-10,0.000001013,0.000001252,0.990856528,0,0
4.17175E-10,0.000002512,0.0000022,0.984671238,0,0
2.20709E-9,0.00001005,0.000011637,0.971359419,0,0
1.38817E-8,0.000026008,0.000073191,0.968132311,0,0
2.80045E-8,0.00005155,0.000147648,0.96665322,0,0
4.961E-8,0.000103531,0.000261544,0.964770741,0,0
5.42511E-7,0.000283674,0.002856402,0.963022724,0,0
1.05193E-6,0.000579892,0.005531159,0.962619336,0,0
1.23013E-6,0.001053561,0.006465094,0.962081484,0,0
1.8866E-6,0.002597603,0.00989812,0.960736856,0,0
2.39701E-6,0.005102232,0.012559136,0.959123302,0,0
3.47101E-6,0.010316938,0.018135108,0.956837434,0,0
5.34387E-6,0.025148485,0.027783293,0.952265699,0,0
7.51992E-6,0.050546199,0.038874425,0.946887186,0,0
9.9549E-6,0.100854372,0.051135341,0.939222805,0,0
1.27398E-5,0.201012493,0.064966676,0.927390077,0,0
1.53226E-5,0.301326709,0.077613587,0.917708754,0,0
1.70916E-5,0.400364878,0.086177406,0.909506521,0,0
1.85713E-5,0.500505473,0.09327895,0.901976603,0,0
1.92909E-5,0.601061299,0.096713139,0.894850074,0,0
2.02742E-5,0.700104284,0.101383829,0.888126933,0,0
2.09469E-5,0.751542219,0.104565786,0.884765362,0,0
2.17255E-5,0.800770685,0.108234174,0.881672717,0,0
2.27644E-5,0.901157408,0.113106008,0.875621891,0,0
2.35798E-5,1.00096265,0.116910853,0.869839989,0,0
2.49528E-5,1.100111183,0.123280845,0.864327014,0,0
2.63461E-5,1.202583646,0.129697945,0.858948501,0.038461538,0
2.7654E-5,1.302384804,0.135678688,0.853973376,0.038461538,0
2.8564E-5,1.400781804,0.139816101,0.849267178,0.038461538,0
2.96503E-5,1.502329891,0.144728764,0.844560979,0.038461538,0
3.14678E-5,1.75296853,0.152885813,0.833535028,0.038461538,0
3.3466E-5,2.002808613,0.161764338,0.82318139,0.038461538,0
3.52933E-5,2.250305849,0.169801754,0.813500067,0.038461538,0
3.70651E-5,2.500561811,0.177521238,0.804222133,0.038461538,0
3.87282E-5,2.75096323,0.184702271,0.795347586,0.038461538,0
4.05482E-5,3.000549271,0.192488441,0.786876429,0.038461538,0
4.19613E-5,3.25250616,0.198482773,0.778674197,0.038461538,0
4.37223E-5,3.501026129,0.20589061,0.770875353,0.038461538,0
4.53989E-5,3.750364592,0.212879791,0.763345435,0.038461538,0
4.6757E-5,4.003394274,0.218496096,0.75594998,0.038461538,0
4.79888E-5,4.25440286,0.223555481,0.74882345,0.038461538,0
4.94379E-5,4.502810987,0.22946544,0.741965846,0.038461538,0
5.03889E-5,4.752324648,0.233319298,0.735242705,0.038461538,0
5.16722E-5,5.002488367,0.238489598,0.728654027,0.076923077,0
5.31271E-5,5.254130794,0.244308994,0.722199812,0.076923077,0
5.41428E-5,5.501107948,0.248345063,0.716014522,0.076923077,0
5.51092E-5,5.752324615,0.252165559,0.709829232,0.076923077,0
5.65858E-5,6.003313804,0.25796513,0.703778405,0.076923077,0
5.78012E-5,6.255139942,0.262705344,0.697862041,0.076923077,0
5.92066E-5,6.500405292,0.268148879,0.692214603,0.076923077,0
6.05118E-5,6.751732965,0.273168158,0.686567164,0.076923077,0
6.16429E-5,7.002115504,0.277489799,0.681054189,0.076923077,0
6.29146E-5,7.251364281,0.282318427,0.675675676,0.076923077,0
6.4208E-5,7.505905847,0.287196073,0.670297163,0.076923077,0
6.52181E-5,7.752366896,0.290982354,0.665187576,0.076923077,0
6.63633E-5,8.002216985,0.295250485,0.660077988,0.076923077,0
6.77259E-5,8.250242325,0.300295634,0.655102864,0.076923077,0
6.89379E-5,8.50297161,0.30475299,0.65012774,0.076923077,0
6.9912E-5,8.753059685,0.308314791,0.645287078,0.076923077,0
7.0983E-5,9.00667386,0.312209737,0.640446417,0.076923077,0
7.18576E-5,9.256458137,0.315374262,0.635740218,0.076923077,0
7.2972E-5,9.502644397,0.319385116,0.631168482,0.076923077,0
7.42421E-5,9.752704458,0.323927908,0.626596746,0.076923077,0
7.55485E-5,10.007100414,0.328568837,0.62202501,0.076923077,0
7.64319E-5,10.250336813,0.331689145,0.6177222,0.076923077,0
7.78468E-5,10.504988859,0.336656309,0.613284927,0.076923077,0
7.90229E-5,10.756125839,0.34075714,0.608982116,0.076923077,0
7.97554E-5,11.002400594,0.343298371,0.604813769,0.076923077,0
8.09293E-5,11.251225721,0.347350599,0.600645422,0.076923077,0
8.17913E-5,11.503383352,0.350309899,0.596477074,0.076923077,0
8.2683E-5,11.750134664,0.353357396,0.592443189,0.076923077,0
8.34658E-5,12.007647718,0.356020918,0.588274842,0.076923077,0
8.41756E-5,12.250858485,0.358426604,0.58437542,0.076923077,0
8.48981E-5,12.504528805,0.360866096,0.580341536,0.076923077,0
8.56785E-5,12.751915264,0.36349065,0.576442114,0.076923077,0
8.64996E-5,13.001542356,0.366240381,0.572542692,0.076923077,0
8.74798E-5,13.25385075,0.369507482,0.56864327,0.076923077,0
8.81243E-5,13.508560957,0.371646385,0.564743848,0.076923077,0
8.9118E-5,13.756683022,0.374929885,0.560978889,0.076923077,0
8.98681E-5,14.007165872,0.377397028,0.55721393,0.076923077,0
9.06355E-5,14.250910573,0.379911337,0.553583434,0.076923077,0
9.1421E-5,14.505953931,0.38247407,0.549818475,0.076923077,0
