Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.60769E-12,0.000000001,0.000000024,0.999868835,0,0
4.07416E-11,0.000000006,0.000000101,0.999606506,0,0
7.44434E-11,0.000000014,0.000000185,0.999475341,0,0
1.26382E-10,0.000000035,0.000000313,0.999213012,0,0
2.60577E-10,0.000000125,0.000000646,0.998688353,0,0
4.13109E-10,0.000000256,0.000001024,0.998163694,0,0
1.04789E-9,0.00000101,0.000002598,0.996852046,0,0
1.51962E-9,0.000002517,0.000003767,0.995278069,0,0
2.4533E-9,0.000010179,0.000006082,0.990162644,0,0
3.50944E-9,0.000025258,0.0000087,0.983866737,0,0
5.02141E-9,0.000050154,0.000012448,0.976259182,0,0
6.98824E-9,0.000100097,0.000017323,0.965241343,0,0
1.28101E-8,0.000250748,0.000031755,0.945304302,0,0
1.95952E-8,0.00050008,0.000048574,0.925104932,0,0
3.31737E-8,0.001000973,0.000082232,0.899658972,0,0
7.20097E-8,0.002503131,0.000178492,0.860440714,0,0
1.48873E-7,0.005012442,0.000368981,0.828961175,0,0
3.82682E-7,0.010023942,0.000948199,0.802072403,0,0
1.12912E-6,0.025015604,0.002795113,0.774134313,0,0
2.09346E-6,0.050121132,0.005176139,0.753541448,0,0
3.46384E-6,0.100037387,0.008549924,0.729144806,0.043956044,0
5.83907E-6,0.200156495,0.0143705,0.700288562,0.043956044,0
7.90998E-6,0.300024665,0.019417433,0.68113851,0.043956044,0
9.49343E-6,0.400539512,0.023258965,0.6659234,0.043956044,0
1.12744E-5,0.500769787,0.027561782,0.65320042,0.043956044,0
1.30432E-5,0.600618304,0.031816384,0.642444911,0.043956044,0
1.44344E-5,0.700864336,0.035149468,0.632869885,0.043956044,0
1.51153E-5,0.75128681,0.036776729,0.628410283,0.043956044,0
1.59506E-5,0.80101505,0.038769079,0.624213012,0.043956044,0
1.70817E-5,0.90154023,0.041460638,0.616211962,0.043956044,0
1.8207E-5,1.000388363,0.044130719,0.608866737,0.043956044,0
1.93056E-5,1.101600355,0.046730439,0.601783841,0.043956044,0
2.02369E-5,1.200630174,0.048928687,0.595225603,0.043956044,0
2.1333E-5,1.300681755,0.051509352,0.588929696,0.043956044,0
2.25622E-5,1.401684625,0.054395082,0.582896118,0.043956044,0
2.34738E-5,1.500595538,0.056529598,0.577256034,0.043956044,0
2.60227E-5,1.750441797,0.062472258,0.564008395,0.043956044,0
2.79106E-5,2.000805294,0.066849556,0.551810073,0.043956044,0
2.9783E-5,2.251672331,0.071170977,0.540398741,0.043956044,0
3.16233E-5,2.500012695,0.075398613,0.529774397,0.043956044,0
3.33374E-5,2.750380881,0.07931908,0.519674711,0.043956044,0
3.50461E-5,3.000042778,0.083210598,0.510099685,0.043956044,0
3.66691E-5,3.251269002,0.086891807,0.500918153,0.043956044,0
3.81321E-5,3.501436844,0.090197362,0.492130115,0.043956044,0
3.97351E-5,3.75055132,0.093805437,0.483735572,0.043956044,0
4.16172E-5,4.001937163,0.098023574,0.475603358,0.043956044,0
4.38825E-5,4.250139096,0.103074447,0.467995803,0.043956044,0
4.55377E-5,4.500628586,0.106747179,0.460650577,0.043956044,0
4.70052E-5,4.754464534,0.109990812,0.453436516,0.043956044,0
4.82839E-5,5.002327409,0.112807386,0.44661595,0.043956044,0
4.96215E-5,5.251671511,0.115744419,0.439926548,0.043956044,0
5.09683E-5,5.503249072,0.118691665,0.433368311,0.043956044,0
5.22165E-5,5.750740419,0.121414495,0.427072403,0.043956044,0
5.38551E-5,6.005088137,0.124976101,0.420776495,0.043956044,0
5.55021E-5,6.251182651,0.128541418,0.414874082,0.043956044,0
5.78399E-5,6.505655493,0.133577118,0.408971668,0.043956044,0
5.95912E-5,6.752444587,0.137330476,0.403462749,0.043956044,0
6.11249E-5,7.005951188,0.140603997,0.39795383,0.043956044,0
6.25293E-5,7.253637019,0.143590622,0.39270724,0.043956044,0
6.45222E-5,7.500933441,0.147811176,0.387591815,0.043956044,0
6.64151E-5,7.756094031,0.151800592,0.38247639,0.043956044,0
6.81518E-5,8.005378844,0.155444534,0.377623295,0.043956044,0
6.94388E-5,8.253305627,0.158134724,0.372901364,0.043956044,0
7.09712E-5,8.506058726,0.161326665,0.368179433,0.043956044,0
7.24576E-5,8.757171999,0.164411162,0.363588667,0.043956044,0
7.40142E-5,9.005840683,0.167629277,0.359129066,0.043956044,0
7.58655E-5,9.253035919,0.171440444,0.35480063,0.043956044,0
7.79515E-5,9.506817719,0.175714082,0.350472193,0.043956044,0
8.00006E-5,9.751596631,0.179890515,0.346406086,0.043956044,0
8.1839E-5,10.002456538,0.183619367,0.342339979,0.043956044,0
8.31459E-5,10.250183875,0.186260041,0.338405037,0.043956044,0
8.49585E-5,10.502374681,0.18990814,0.334470094,0.043956044,0
8.68073E-5,10.751377977,0.193612524,0.330666317,0.043956044,0
8.86187E-5,11.005566328,0.197225214,0.326862539,0.043956044,0
9.0065E-5,11.255769172,0.20009842,0.323189927,0.043956044,0
9.22401E-5,11.502045117,0.204399684,0.319648478,0.043956044,0
9.43768E-5,11.754145848,0.20860264,0.31610703,0.043956044,0
9.61679E-5,12.002495271,0.21210873,0.312696747,0.043956044,0
9.76517E-5,12.254788205,0.215001548,0.309286464,0.043956044,0
9.89615E-5,12.500823059,0.217546245,0.306007345,0.043956044,0
1.00407E-4,12.759936804,0.220345481,0.302597062,0.043956044,0
1.01898E-4,13.00277846,0.223220628,0.299449108,0.043956044,0
1.03484E-4,13.259639162,0.226268824,0.29616999,0.043956044,0
1.05285E-4,13.510361673,0.229716003,0.293022036,0.043956044,0
1.06512E-4,13.75404155,0.232055521,0.290005247,0.043956044,0
1.09004E-4,14.001255952,0.236785152,0.286988458,0.043956044,0
1.10751E-4,14.254069325,0.240082651,0.283971668,0.065934066,0
1.12332E-4,14.510646448,0.243055764,0.280954879,0.065934066,0
1.13878E-4,14.75955804,0.245950659,0.278069255,0.065934066,0
1.15394E-4,15.00029,0.248779248,0.275314795,0.065934066,0
1.17212E-4,15.256175626,0.252157572,0.272429171,0.065934066,0
1.18894E-4,15.504063021,0.25526863,0.269674711,0.065934066,0
1.20896E-4,15.756039135,0.258954865,0.266920252,0.065934066,0
1.23251E-4,16.000640854,0.263268648,0.264296957,0.065934066,0
1.24599E-4,16.260681285,0.265726674,0.261542497,0.065934066,0
1.26773E-4,16.512116565,0.269674164,0.258919203,0.065934066,0
1.28485E-4,16.754661617,0.27276676,0.256427072,0.065934066,0
1.29923E-4,17.000483553,0.275353595,0.253934942,0.065934066,0
1.3148E-4,17.261959814,0.27814538,0.251311647,0.065934066,0
1.33792E-4,17.500735787,0.28227181,0.248950682,0.087912088,0
1.34973E-4,17.75630364,0.284368779,0.246458552,0.087912088,0
1.36111E-4,18.000281052,0.286385418,0.244097587,0.098901099,0
1.38127E-4,18.261339662,0.289942485,0.241605456,0.098901099,0
1.3953E-4,18.511093114,0.292407642,0.239244491,0.098901099,0
1.41572E-4,18.750094151,0.295980271,0.23701469,0.098901099,0
1.44036E-4,19.00758284,0.300268257,0.234653725,0.098901099,0
1.45931E-4,19.253964149,0.303547845,0.232423924,0.098901099,0
1.48754E-4,19.504552315,0.308404025,0.230194124,0.098901099,0
1.50892E-4,19.759582155,0.312059708,0.227964323,0.098901099,0
1.53133E-4,20.002653977,0.315870844,0.225865687,0.098901099,0
1.54369E-4,20.264295827,0.317963137,0.223635887,0.098901099,0
1.56721E-4,20.513063152,0.321928871,0.221537251,0.098901099,0
1.58876E-4,20.765532195,0.325541091,0.219438615,0.098901099,0
1.61929E-4,21.006414983,0.330627036,0.217471144,0.098901099,0
1.63486E-4,21.25047128,0.333205406,0.215503673,0.098901099,0
1.65093E-4,21.513585639,0.335856825,0.213405037,0.098901099,0
1.67061E-4,21.763069642,0.339088251,0.211437566,0.098901099,0
1.68494E-4,22.014963116,0.341432088,0.209470094,0.098901099,0
1.7007E-4,22.252198808,0.344000176,0.207633788,0.098901099,0
1.72171E-4,22.508883054,0.347408496,0.205666317,0.098901099,0
1.73545E-4,22.750999978,0.349626143,0.20383001,0.098901099,0
1.75137E-4,23.012260106,0.352189007,0.201862539,0.098901099,0
1.76589E-4,23.258540925,0.35451658,0.200026233,0.10989011,0
1.78893E-4,23.507448844,0.358192862,0.198189927,0.10989011,0
1.80692E-4,23.759452566,0.361048721,0.19635362,0.10989011,0
1.83954E-4,24.015298876,0.366194138,0.194517314,0.10989011,0
1.8521E-4,24.255153779,0.368164939,0.192812172,0.10989011,0
1.87985E-4,24.516353155,0.372495656,0.190975866,0.10989011,0
1.89164E-4,24.761666457,0.374327569,0.189270724,0.10989011,0
1.91333E-4,25.009184883,0.377681985,0.187565582,0.10989011,0
1.93457E-4,25.259408837,0.380949656,0.185860441,0.10989011,0
1.96406E-4,25.513307407,0.385459508,0.184155299,0.10989011,0
1.98109E-4,25.769803372,0.388048724,0.182450157,0.10989011,0
2.0046E-4,26.008769529,0.391604253,0.18087618,0.10989011,0
2.03111E-4,26.250904696,0.395589922,0.179302204,0.10989011,0
2.06265E-4,26.517136644,0.400296435,0.177597062,0.10989011,0
2.07978E-4,26.765666551,0.402837686,0.176023085,0.10989011,0
2.099E-4,27.016653223,0.405676404,0.174449108,0.10989011,0
2.11178E-4,27.269399327,0.407556217,0.172875131,0.10989011,0
2.14582E-4,27.504173867,0.412534966,0.171432319,0.10989011,0
2.17141E-4,27.763276247,0.41624988,0.169858342,0.10989011,0
2.18522E-4,28.002991317,0.418244991,0.16841553,0.10989011,0
2.20713E-4,28.266767722,0.421396131,0.166841553,0.10989011,0
2.22579E-4,28.510521999,0.4240656,0.165398741,0.10989011,0
2.23963E-4,28.756418403,0.426038018,0.163955929,0.131868132,0
2.26057E-4,29.004295245,0.429009661,0.162513116,0.142857143,0
2.28241E-4,29.254223973,0.432092589,0.161070304,0.142857143,0
2.303E-4,29.50668709,0.434984406,0.159627492,0.142857143,0
2.31494E-4,29.760483684,0.436654167,0.15818468,0.142857143,0
2.32866E-4,30.015812781,0.438567068,0.156741868,0.142857143,0
2.34868E-4,30.273235596,0.441346339,0.155299056,0.142857143,0
2.36544E-4,30.508853201,0.44366258,0.153987408,0.142857143,0
2.39552E-4,30.770910192,0.447795105,0.152544596,0.142857143,0
2.41911E-4,31.011754529,0.451015971,0.151232949,0.142857143,0
2.44031E-4,31.254834738,0.453892976,0.149921301,0.142857143,0
2.46491E-4,31.500290552,0.457213046,0.148609654,0.142857143,0
2.48724E-4,31.773189608,0.460209515,0.147166842,0.142857143,0
2.50604E-4,32.022864224,0.462719415,0.145855194,0.142857143,0
2.52447E-4,32.274245579,0.465167827,0.144543547,0.142857143,0
2.53434E-4,32.502043595,0.46647573,0.143363064,0.142857143,0
2.55315E-4,32.756488802,0.4689578,0.142051417,0.142857143,0
2.57336E-4,33.012788733,0.471611103,0.140739769,0.142857143,0
2.59367E-4,33.271131402,0.474264538,0.139428122,0.142857143,0
2.6176E-4,33.505829526,0.477373622,0.138247639,0.142857143,0
2.63022E-4,33.768310929,0.479007228,0.136935992,0.142857143,0
2.64283E-4,34.005618895,0.480632799,0.135755509,0.142857143,0
2.65788E-4,34.270634378,0.482566856,0.134443861,0.142857143,0
2.67438E-4,34.510663663,0.48467838,0.133263379,0.142857143,0
2.68866E-4,34.751950508,0.486499577,0.132082896,0.142857143,0
2.71614E-4,35.022349557,0.489986058,0.130771249,0.142857143,0
2.74961E-4,35.268451908,0.494199631,0.129590766,0.153846154,0
2.77856E-4,35.516869811,0.497817459,0.128410283,0.153846154,0
2.79672E-4,35.768109503,0.500072254,0.127229801,0.153846154,0
2.81692E-4,36.020890411,0.502569994,0.126049318,0.153846154,0
2.8373E-4,36.275502147,0.505076963,0.124868835,0.153846154,0
2.86177E-4,36.503392065,0.508068991,0.123819517,0.153846154,0
2.88394E-4,36.762381999,0.510765276,0.122639035,0.175824176,0
2.90809E-4,37.023282551,0.513686155,0.121458552,0.186813187,0
2.92941E-4,37.257153431,0.516249824,0.120409234,0.186813187,0
2.95303E-4,37.521976516,0.519073907,0.119228751,0.186813187,0
2.97335E-4,37.759401199,0.521490133,0.118179433,0.186813187,0
2.99342E-4,38.027675321,0.523864841,0.116998951,0.186813187,0
3.01016E-4,38.267671585,0.525836533,0.115949633,0.197802198,0
3.03121E-4,38.509348972,0.528304395,0.114900315,0.197802198,0
3.05491E-4,38.753154649,0.531067326,0.113850997,0.197802198,0
3.09662E-4,39.030097394,0.535890515,0.112670514,0.197802198,0
3.12069E-4,39.278942264,0.538652513,0.111621196,0.197802198,0
3.15628E-4,39.529969679,0.542704274,0.110571878,0.197802198,0
3.1702E-4,39.751360267,0.544280037,0.109653725,0.197802198,0
3.19369E-4,40.006299087,0.546925613,0.108604407,0.197802198,0
3.20716E-4,40.262386516,0.548436467,0.107555089,0.197802198,0
3.22012E-4,40.51950904,0.549884852,0.106505771,0.230769231,0
3.24705E-4,40.777985943,0.552878948,0.105456453,0.230769231,0
3.27843E-4,41.006706818,0.556343531,0.1045383,0.230769231,0
3.29714E-4,41.269913082,0.558396552,0.103488982,0.230769231,0
3.31783E-4,41.501438799,0.560655658,0.102570829,0.241758242,0
3.34596E-4,41.768171694,0.563708782,0.101521511,0.252747253,0
3.38982E-4,42.003352526,0.568426718,0.100603358,0.263736264,0
3.40795E-4,42.275355517,0.570362216,0.09955404,0.274725275,0
3.43041E-4,42.514784386,0.572747806,0.098635887,0.274725275,0
3.4574E-4,42.755929013,0.575597198,0.097717733,0.285714286,0
3.48693E-4,43.033671757,0.578692735,0.096668416,0.296703297,0
3.52549E-4,43.279571551,0.582700702,0.095750262,0.296703297,0
3.54463E-4,43.527148953,0.584675113,0.094832109,0.296703297,0
3.56659E-4,43.776208941,0.586930239,0.093913956,0.296703297,0
3.60287E-4,44.027222451,0.59062854,0.092995803,0.296703297,0
3.6385E-4,44.280926235,0.594228098,0.09207765,0.296703297,0
3.66716E-4,44.500232933,0.597101495,0.091290661,0.296703297,0
3.7144E-4,44.758886356,0.60179234,0.090372508,0.307692308,0
3.7371E-4,45.019854357,0.604026034,0.089454355,0.307692308,0
3.74768E-4,45.281793722,0.605063244,0.088536201,0.307692308,0
3.79616E-4,45.508674899,0.609781563,0.087749213,0.307692308,0
3.82589E-4,45.77587318,0.612646405,0.08683106,0.307692308,0
3.86958E-4,46.007286911,0.616819488,0.086044071,0.307692308,0
3.89352E-4,46.279539253,0.619086624,0.085125918,0.307692308,0
3.92869E-4,46.514517651,0.622392827,0.08433893,0.307692308,0
3.9704E-4,46.751410445,0.626277772,0.083551941,0.307692308,0
4.01233E-4,47.030417418,0.630141496,0.082633788,0.318681319,0
4.03578E-4,47.271834319,0.632285853,0.0818468,0.318681319,0
4.07542E-4,47.515373015,0.635881527,0.081059811,0.318681319,0
4.10585E-4,47.760752888,0.638617567,0.080272823,0.32967033,0
4.13186E-4,48.008223675,0.640940467,0.079485834,0.32967033,0
4.17253E-4,48.25764589,0.644542451,0.078698846,0.32967033,0
4.22326E-4,48.509325131,0.648984079,0.077911857,0.32967033,0
4.26139E-4,48.763974347,0.65228681,0.077124869,0.340659341,0
4.27567E-4,49.020207325,0.653515327,0.07633788,0.340659341,0
4.31334E-4,49.278186821,0.656735881,0.075550892,0.340659341,0
4.36828E-4,49.538410075,0.661379063,0.074763903,0.340659341,0
4.38244E-4,49.757230318,0.662565327,0.07410808,0.340659341,0
4.40455E-4,50.020957888,0.664410035,0.073321091,0.340659341,0
4.44457E-4,50.287049796,0.667723124,0.072534103,0.340659341,0
4.49531E-4,50.510906179,0.671876095,0.071878279,0.340659341,0
4.53853E-4,50.782248604,0.675372493,0.071091291,0.340659341,0
4.5628E-4,51.010092553,0.677319772,0.070435467,0.340659341,0
4.58768E-4,51.28456191,0.679304015,0.069648478,0.340659341,0
4.60457E-4,51.514406745,0.680643685,0.068992655,0.340659341,0
4.62351E-4,51.791510554,0.682139968,0.068205666,0.340659341,0
4.65346E-4,52.023558308,0.684491247,0.067549843,0.340659341,0
4.68788E-4,52.257559411,0.687171509,0.066894019,0.340659341,0
4.76149E-4,52.541073708,0.692828135,0.06610703,0.340659341,0
4.81569E-4,52.780861039,0.69692754,0.065451207,0.351648352,0
4.86795E-4,53.022987823,0.700828659,0.064795383,0.362637363,0
4.90301E-4,53.267439003,0.703417462,0.064139559,0.362637363,0
4.9453E-4,53.513921317,0.70651079,0.063483736,0.362637363,0
4.97101E-4,53.761750531,0.708375504,0.062827912,0.362637363,0
4.99174E-4,54.010812044,0.709869988,0.062172088,0.362637363,0
5.03854E-4,54.261858275,0.713216622,0.061516264,0.362637363,0
5.08747E-4,54.515084847,0.716674292,0.060860441,0.362637363,0
5.118E-4,54.770533181,0.718810447,0.060204617,0.362637363,0
5.13811E-4,55.027086685,0.720208685,0.059548793,0.373626374,0
5.16142E-4,55.28469065,0.721820996,0.05889297,0.373626374,0
5.19086E-4,55.543759631,0.723843718,0.058237146,0.384615385,0
5.21234E-4,55.751804547,0.725309842,0.057712487,0.384615385,0
5.24117E-4,56.013149601,0.727265821,0.057056663,0.384615385,0
5.29383E-4,56.277071072,0.730803139,0.056400839,0.384615385,0
5.30999E-4,56.542194444,0.73187944,0.055745016,0.384615385,0
5.35329E-4,56.755781285,0.734741901,0.055220357,0.384615385,0
5.37681E-4,57.024542684,0.736284235,0.054564533,0.417582418,0
5.40059E-4,57.293912495,0.737834144,0.053908709,0.428571429,0
5.4747E-4,57.511728807,0.742606457,0.05338405,0.428571429,0
5.51536E-4,57.787021018,0.745187926,0.052728227,0.428571429,0
5.55842E-4,58.009135695,0.747893444,0.052203568,0.428571429,0
5.61236E-4,58.288493078,0.751241978,0.051547744,0.428571429,0
5.63322E-4,58.513461964,0.752525152,0.051023085,0.428571429,0
5.70248E-4,58.796989595,0.756738027,0.050367261,0.428571429,0
5.71804E-4,59.025434998,0.757674031,0.049842602,0.428571429,0
5.76773E-4,59.254994314,0.760640989,0.049317943,0.428571429,0
5.81508E-4,59.544354558,0.763433913,0.04866212,0.428571429,0
5.84984E-4,59.777978741,0.765463558,0.048137461,0.428571429,0
5.89321E-4,60.01289855,0.767971514,0.047612802,0.428571429,0
5.935E-4,60.308954153,0.770363219,0.046956978,0.428571429,0
6.00015E-4,60.547464596,0.774042229,0.046432319,0.43956044,0
6.02582E-4,60.788169912,0.775475449,0.04590766,0.43956044,0
6.06906E-4,61.030216932,0.777869295,0.045383001,0.43956044,0
6.09155E-4,61.273654438,0.779103924,0.044858342,0.43956044,0
6.13053E-4,61.518302386,0.781228187,0.044333683,0.43956044,0
6.17015E-4,61.764559864,0.783366474,0.043809024,0.43956044,0
6.30946E-4,62.014588546,0.790720148,0.043284365,0.43956044,0
6.37392E-4,62.269117963,0.794037616,0.042759706,0.43956044,0
6.45099E-4,62.52639741,0.797935166,0.042235047,0.43956044,0
6.51855E-4,62.786027683,0.801291402,0.041710388,0.43956044,0
6.5605E-4,63.047851729,0.803347031,0.041185729,0.43956044,0
6.58481E-4,63.311045735,0.80452817,0.04066107,0.43956044,0
6.64341E-4,63.509662355,0.807347381,0.040267576,0.43956044,0
6.67427E-4,63.776412772,0.808815618,0.039742917,0.43956044,0
6.75457E-4,64.045742127,0.812583715,0.039218258,0.43956044,0
6.77213E-4,64.31633486,0.813397597,0.038693599,0.450549451,0
6.85016E-4,64.520835685,0.816972604,0.038300105,0.461538462,0
6.91639E-4,64.796462728,0.819952773,0.037775446,0.461538462,0
6.97726E-4,65.005419358,0.822649457,0.037381952,0.461538462,0
7.02335E-4,65.285518687,0.824664123,0.036857293,0.461538462,0
7.1114E-4,65.568322584,0.828449624,0.036332634,0.461538462,0
7.15193E-4,65.782662468,0.830164642,0.03593914,0.461538462,0
7.17376E-4,66.069288668,0.831081165,0.035414481,0.461538462,0
7.25394E-4,66.285970336,0.834405808,0.035020986,0.461538462,0
7.27323E-4,66.503912361,0.835195735,0.034627492,0.461538462,0
7.3747E-4,66.796710653,0.839289276,0.034102833,0.472527473,0
7.42249E-4,67.018879223,0.84118204,0.033709339,0.472527473,0
7.47107E-4,67.316567694,0.843083042,0.03318468,0.472527473,0
7.49424E-4,67.541159255,0.843981835,0.032791186,0.472527473,0
7.52199E-4,67.766497195,0.84505148,0.032397692,0.472527473,0
7.6004E-4,68.06990723,0.848034129,0.031873033,0.472527473,0
7.65749E-4,68.299511149,0.850169594,0.031479538,0.472527473,0
7.75056E-4,68.531218807,0.853586798,0.031086044,0.472527473,0
7.82089E-4,68.765311944,0.856117414,0.03069255,0.472527473,0
7.8873E-4,69.001790885,0.858466784,0.030299056,0.483516484,0
7.97819E-4,69.319995073,0.861620096,0.029774397,0.494505495,0
8.102E-4,69.562752028,0.865802715,0.029380902,0.505494505,0
8.13203E-4,69.806399153,0.866798069,0.028987408,0.505494505,0
8.17967E-4,70.051247923,0.868361695,0.028593914,0.505494505,0
8.24999E-4,70.298102219,0.870636483,0.02820042,0.505494505,0
8.27488E-4,70.545947841,0.871432454,0.027806925,0.516483516,0
8.28766E-4,70.794499519,0.871839095,0.027413431,0.527472527,0
8.35379E-4,71.044565976,0.873922946,0.027019937,0.527472527,0
8.41877E-4,71.296077114,0.875937458,0.026626443,0.527472527,0
8.48573E-4,71.549476429,0.877979682,0.026232949,0.538461538,0
8.53018E-4,71.805103691,0.879316946,0.025839454,0.538461538,0
8.62403E-4,72.062503169,0.88209214,0.02544596,0.56043956,0
8.67315E-4,72.322043105,0.883519076,0.025052466,0.571428571,0
8.71936E-4,72.583097974,0.884845779,0.024658972,0.582417582,0
8.78008E-4,72.758280437,0.886566199,0.024396642,0.582417582,0
8.89975E-4,73.024328627,0.889881826,0.024003148,0.593406593,0
8.96425E-4,73.292038339,0.891628487,0.023609654,0.604395604,0
9.02192E-4,73.562377779,0.893166921,0.023216159,0.615384615,0
