Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.85469E-9,0.000000485,0.000010073,1,0,0
1.24992E-8,0.000001735,0.000025934,0.999869041,0,0
1.6622E-8,0.000003398,0.000034489,0.999738083,0,0
8.92718E-8,0.000016707,0.000185214,0.999476166,0,0
9.87473E-8,0.000026581,0.00020487,0.999345207,0,0
1.35215E-7,0.000050566,0.000280518,0.99908329,0,0
1.73985E-7,0.000112419,0.000360937,0.998559455,0,0
2.181E-7,0.000256111,0.000452436,0.997642745,0,0
3.34687E-7,0.000519738,0.000694204,0.996464117,0,0
4.17907E-7,0.001010897,0.000866742,0.994761655,0,0
6.0428E-7,0.002547045,0.001253039,0.990832897,0,0
7.2543E-7,0.005025848,0.001504067,0.985987428,0,0
9.26724E-7,0.010065591,0.001921019,0.977998952,0,0
1.36811E-6,0.025095547,0.002834684,0.960712415,0,0
1.81378E-6,0.050104717,0.003756357,0.940151912,0,0
2.6128E-6,0.100009353,0.005406648,0.910555265,0,0
3.90113E-6,0.200031118,0.008061804,0.870089052,0,0
4.85273E-6,0.300165036,0.010018442,0.840230487,0,0
5.54731E-6,0.400355583,0.011444173,0.815086433,0,0
6.08964E-6,0.500596611,0.012555951,0.792561551,0,0
6.63696E-6,0.60053041,0.0136767,0.772001048,0.007092199,0
7.25707E-6,0.700266464,0.014944956,0.753143007,0.014184397,0
7.47502E-6,0.750426053,0.015390313,0.744237821,0.014184397,0
7.7807E-6,0.800767817,0.016014624,0.735594552,0.014184397,0
8.41796E-6,0.900603643,0.01731483,0.719486642,0.014184397,0
9.10716E-6,1.000636031,0.018719094,0.70455736,0.014184397,0
9.71557E-6,1.100440464,0.019957085,0.690675746,0.014184397,0
1.031E-5,1.200426997,0.021165061,0.677579885,0.014184397,0
1.09466E-5,1.300085229,0.022457214,0.665269775,0.014184397,0
1.14678E-5,1.400952338,0.023513718,0.653483499,0.021276596,0
1.21056E-5,1.501156515,0.024805181,0.642352017,0.021276596,0
1.38222E-5,1.750879115,0.028272419,0.616946045,0.028368794,0
1.54113E-5,2.000395611,0.031471163,0.594552122,0.028368794,0
1.69867E-5,2.250742088,0.034631959,0.574253536,0.028368794,0
1.89809E-5,2.500743356,0.038618223,0.556050288,0.028368794,0
2.0592E-5,2.750292477,0.041826566,0.539549502,0.035460993,0
2.23481E-5,3.001169597,0.045311553,0.524227344,0.035460993,0
2.40071E-5,3.251982715,0.048592237,0.510083814,0.035460993,0
2.58246E-5,3.50221152,0.052173375,0.496987952,0.035460993,0
2.76083E-5,3.750644976,0.055674715,0.4848088,0.035460993,0
2.93223E-5,4.000622351,0.059027161,0.473284442,0.035460993,0
3.13022E-5,4.252253814,0.062884913,0.462414877,0.035460993,0
3.33653E-5,4.501660273,0.066887844,0.452331063,0.035460993,0
3.50367E-5,4.75145262,0.070118283,0.442771084,0.035460993,0
3.67032E-5,5.003246891,0.073328191,0.433603981,0.035460993,0
3.84282E-5,5.25016201,0.076638988,0.424960712,0.035460993,0
4.006E-5,5.501373723,0.079760032,0.416579361,0.035460993,0
4.16636E-5,5.750619047,0.082816909,0.408590885,0.035460993,0
4.34287E-5,6.000747996,0.0861698,0.400864327,0.035460993,0
4.49993E-5,6.252480503,0.089143114,0.393399686,0.04964539,0
4.66058E-5,6.504449501,0.092174192,0.386196962,0.04964539,0
4.84917E-5,6.75256521,0.095719609,0.379387114,0.056737589,0
4.99932E-5,7.004317873,0.098532435,0.372708224,0.056737589,0
5.1822E-5,7.254177292,0.101946716,0.366291252,0.056737589,0
5.36908E-5,7.501405151,0.105422243,0.360136197,0.063829787,0
5.51419E-5,7.751896084,0.108111611,0.354112101,0.063829787,0
5.68253E-5,8.003592571,0.111221511,0.348218963,0.063829787,0
5.86134E-5,8.251130889,0.114512988,0.342587742,0.063829787,0
5.99327E-5,8.500086292,0.116933572,0.33708748,0.063829787,0
6.23719E-5,8.750859873,0.12139157,0.331718177,0.063829787,0
6.40709E-5,9.003174412,0.124483388,0.326479832,0.063829787,0
6.60582E-5,9.250637088,0.128086108,0.321503405,0.063829787,0
6.78863E-5,9.505100073,0.131387185,0.316526977,0.063829787,0
6.92704E-5,9.751830804,0.133878273,0.311812467,0.063829787,0
7.1008E-5,10.004909824,0.136995237,0.307097957,0.063829787,0
7.26676E-5,10.256261466,0.139961898,0.302514405,0.063829787,0
7.4791E-5,10.507053978,0.143742765,0.298061812,0.063829787,0
7.62339E-5,10.755977537,0.146302495,0.293740178,0.063829787,0
7.82399E-5,11.003019581,0.149848345,0.289549502,0.063829787,0
7.97863E-5,11.256246034,0.152571854,0.285358827,0.070921986,0
8.12732E-5,11.506246766,0.155182395,0.281299109,0.070921986,0
8.32632E-5,11.75273774,0.158663476,0.277370351,0.070921986,0
8.50383E-5,12.005439103,0.161756521,0.273441592,0.070921986,0
8.69891E-5,12.255173831,0.165142724,0.269643793,0.078014184,0
8.88746E-5,12.501749944,0.168402471,0.265976951,0.078014184,0
9.06852E-5,12.753057188,0.171520771,0.26231011,0.078014184,0
9.22691E-5,13.009070254,0.17423898,0.258643269,0.078014184,0
9.4753E-5,13.252324025,0.178483863,0.255238345,0.078014184,0
9.65514E-5,13.501243537,0.181543761,0.251833421,0.092198582,0
9.91106E-5,13.755304334,0.185878231,0.248428497,0.092198582,0
1.02047E-4,14.007658495,0.190823843,0.245154531,0.092198582,0
1.03965E-4,14.254558301,0.194037302,0.242011524,0.092198582,0
1.06214E-4,14.506778658,0.197789846,0.238868518,0.09929078,0
1.09303E-4,14.754998367,0.202914252,0.235856469,0.09929078,0
1.12127E-4,15.009943366,0.20757158,0.232844421,0.09929078,0
1.14712E-4,15.25986556,0.211810039,0.229963332,0.09929078,0
1.16869E-4,15.503036353,0.215330107,0.227213201,0.09929078,0
1.19452E-4,15.751292834,0.219525176,0.22446307,0.09929078,0
1.22057E-4,16.005101174,0.22373137,0.221712939,0.09929078,0
1.23858E-4,16.251136791,0.226627049,0.219093766,0.09929078,0
1.25333E-4,16.500565459,0.228990171,0.216474594,0.09929078,0
1.27772E-4,16.753826599,0.232882157,0.213855422,0.09929078,0
1.29644E-4,17.011725026,0.23585644,0.211236249,0.09929078,0
1.32512E-4,17.260714959,0.240390537,0.208748036,0.09929078,0
1.35034E-4,17.501809468,0.244354491,0.206390781,0.09929078,0
1.37032E-4,17.760116165,0.247480407,0.203902567,0.09929078,0
1.39975E-4,18.009272786,0.252062054,0.201545312,0.106382979,0
1.42669E-4,18.264124607,0.256231671,0.199188057,0.106382979,0
1.44487E-4,18.50829425,0.259030911,0.19696176,0.106382979,0
1.46838E-4,18.756127643,0.262637627,0.194735464,0.106382979,0
1.48463E-4,19.007186781,0.26511854,0.192509167,0.106382979,0
1.50388E-4,19.261222979,0.268049105,0.190282871,0.106382979,0
1.52123E-4,19.502681939,0.270678838,0.188187533,0.106382979,0
1.54764E-4,19.76355057,0.274664786,0.185961236,0.106382979,0
1.57951E-4,20.013982221,0.279445482,0.183865898,0.106382979,0
1.61207E-4,20.253240424,0.284296497,0.181901519,0.106382979,0
1.63479E-4,20.513179802,0.287662351,0.179806181,0.106382979,0
1.65962E-4,20.760399587,0.291323138,0.177841802,0.106382979,0
1.68328E-4,21.011065467,0.294793437,0.175877423,0.106382979,0
1.70683E-4,21.265166479,0.298230909,0.173913043,0.106382979,0
1.74037E-4,21.506840066,0.303098261,0.172079623,0.113475177,0
1.75448E-4,21.751469235,0.305135516,0.170246202,0.113475177,0
1.79551E-4,22.01758567,0.311025614,0.168281823,0.113475177,0
1.8173E-4,22.252719445,0.31413381,0.166579361,0.113475177,0
1.83068E-4,22.508065895,0.316035845,0.16474594,0.113475177,0
1.85507E-4,22.766873705,0.319488729,0.16291252,0.113475177,0
1.87888E-4,23.009641706,0.322842142,0.161210058,0.113475177,0
1.90478E-4,23.256218422,0.326470588,0.159507596,0.113475177,0
1.93194E-4,23.50613319,0.330255509,0.157805134,0.113475177,0
1.95794E-4,23.759446556,0.333859554,0.156102672,0.113475177,0
1.97575E-4,24.015090748,0.336317101,0.15440021,0.113475177,0
1.98902E-4,24.253137651,0.338141819,0.152828706,0.113475177,0
2.01065E-4,24.513274613,0.341105757,0.151126244,0.113475177,0
2.04353E-4,24.75643855,0.345585501,0.149554741,0.120567376,0
2.07383E-4,25.003582718,0.349686944,0.147983237,0.120567376,0
2.0916E-4,25.253623839,0.352080072,0.146411734,0.120567376,0
2.11692E-4,25.506357028,0.355474456,0.14484023,0.127659574,0
2.13579E-4,25.762080733,0.357993476,0.143268727,0.134751773,0
2.17596E-4,26.020713945,0.36332214,0.141697224,0.134751773,0
2.19604E-4,26.261258582,0.365969627,0.140256679,0.134751773,0
2.22533E-4,26.504310736,0.369811661,0.138816134,0.134751773,0
2.26021E-4,26.751308087,0.374355133,0.137375589,0.134751773,0
2.28843E-4,27.001822094,0.378008282,0.135935045,0.134751773,0
2.31696E-4,27.255336222,0.381679436,0.1344945,0.134751773,0
2.33666E-4,27.511443625,0.384201732,0.133053955,0.134751773,0
2.37503E-4,27.77100216,0.389084981,0.13161341,0.134751773,0
2.40267E-4,28.009938334,0.392578475,0.130303824,0.134751773,0
2.4416E-4,28.252421493,0.397464752,0.128994238,0.134751773,0
2.47965E-4,28.523305816,0.402202935,0.127553693,0.134751773,0
2.50167E-4,28.772311867,0.404927838,0.126244107,0.134751773,0
2.52747E-4,29.024077303,0.408105103,0.124934521,0.134751773,0
2.55177E-4,29.252797603,0.411082688,0.123755893,0.134751773,0
2.57087E-4,29.508938427,0.413411185,0.122446307,0.134751773,0
2.59602E-4,29.767605076,0.416464345,0.121136721,0.134751773,0
2.62067E-4,30.002913898,0.419441741,0.119958093,0.134751773,0
2.6447E-4,30.266695423,0.422328939,0.118648507,0.134751773,0
2.68023E-4,30.5061031,0.42657188,0.11746988,0.134751773,0
2.71309E-4,30.775857359,0.430468457,0.116160293,0.134751773,0
2.72946E-4,31.020880894,0.432400061,0.114981666,0.134751773,0
2.77087E-4,31.268476295,0.43725555,0.113803038,0.134751773,0
2.78763E-4,31.518998561,0.439209108,0.112624411,0.134751773,0
2.83667E-4,31.771609935,0.44488627,0.111445783,0.134751773,0
2.88251E-4,32.028614775,0.450141121,0.110267156,0.134751773,0
2.92771E-4,32.261085661,0.455274241,0.109219487,0.134751773,0
2.95011E-4,32.525803806,0.457799894,0.108040859,0.134751773,0
2.99418E-4,32.763626755,0.462735803,0.10699319,0.134751773,0
3.00681E-4,33.003524372,0.46414154,0.105945521,0.141843972,0
3.05063E-4,33.276516198,0.468991931,0.104766894,0.141843972,0
3.07472E-4,33.521655806,0.471639037,0.103719225,0.141843972,0
3.1147E-4,33.769240284,0.476004074,0.102671556,0.14893617,0
