Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.48639E-6,0.000148639,0.013145391,1,0,0
1.49272E-6,0.000297911,0.013200983,0.999910193,0,0
1.49649E-6,0.000597161,0.013234152,0.999730579,0,0
1.499E-6,0.001046458,0.013256137,0.999461159,0,0
1.86771E-6,0.002604239,0.016489724,0.998563089,0,0
2.0204E-6,0.005192924,0.017825775,0.997395599,0,0
2.57096E-6,0.010025161,0.022627918,0.995509654,0,0
3.47303E-6,0.025471023,0.030445502,0.990660081,0,0
3.8754E-6,0.050002541,0.033912289,0.984643018,0,0
8.84168E-6,0.101323127,0.075694631,0.977907499,0,0
1.04564E-5,0.204431958,0.088886168,0.968747194,0,0
1.45074E-5,0.301399117,0.121159731,0.961472833,0,0
1.75247E-5,0.400087106,0.14445238,0.955814998,0,0
1.8648E-5,0.501814678,0.152965262,0.950785811,0,0
2.10255E-5,0.600764478,0.170704948,0.946295465,0,0
2.12857E-5,0.700247453,0.172623557,0.94207454,0,0
2.15455E-5,0.753770652,0.17453456,0.939829367,0,0
2.19212E-5,0.80158841,0.177290898,0.937853615,0,0
2.22793E-5,0.901005582,0.179910014,0.933812304,0,0
2.33353E-5,1.00173891,0.187583063,0.929860799,0,0
2.35492E-5,1.1001605,0.189129026,0.926088909,0,0
2.37459E-5,1.201850314,0.190547464,0.922227211,0,0
2.40961E-5,1.302208322,0.193067251,0.918455321,0.000270563,0
2.43278E-5,1.401568739,0.194729657,0.914773238,0.000270563,0
2.44891E-5,1.501652628,0.195885164,0.911091154,0.000270563,0
2.5046E-5,1.751790306,0.199862139,0.902020656,0.000811688,0
2.56057E-5,2.002503261,0.203839202,0.893129771,0.000811688,0
2.59673E-5,2.258121128,0.206397688,0.884238886,0.001082251,0
2.62211E-5,2.500588113,0.208189258,0.875886843,0.001352814,0
2.67987E-5,2.751886066,0.212250117,0.867355186,0.001352814,0
2.74567E-5,3.004384134,0.216850968,0.859003143,0.001623377,0
2.78986E-5,3.253575848,0.219925961,0.850920521,0.001893939,0
2.8823E-5,3.502756286,0.226319512,0.843017512,0.001893939,0
3.00542E-5,3.752731528,0.234752737,0.835383925,0.003787879,0
3.08761E-5,4.002697854,0.240331909,0.828019758,0.003787879,0
3.15698E-5,4.252418263,0.245009127,0.820835204,0.003787879,0
3.20009E-5,4.500936294,0.247901117,0.813830265,0.005140693,0
3.21423E-5,4.754213182,0.24884723,0.806735519,0.006222944,0
3.26832E-5,5.000123192,0.252455469,0.799910193,0.006493506,0
3.35495E-5,5.254979744,0.258198346,0.792995061,0.006493506,0
3.39756E-5,5.501295938,0.261007247,0.786439156,0.007575758,0
3.42921E-5,5.754123139,0.263085948,0.779703637,0.013798701,0
3.49007E-5,6.002782556,0.267068408,0.773327346,0.016774892,0
3.58123E-5,6.253083842,0.272991929,0.766951055,0.019751082,0
3.6557E-5,6.503326126,0.27779596,0.760754378,0.019751082,0
3.70107E-5,6.753346934,0.280707126,0.754647508,0.021103896,0
3.73511E-5,7.002501854,0.282883616,0.748630445,0.023538961,0
3.779E-5,7.250363899,0.285680117,0.742703188,0.024080087,0
3.82577E-5,7.504986697,0.288648046,0.736686125,0.024350649,0
