Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.83944E-6,0.000183944,0.016397125,1,0,0
1.84129E-6,0.000368073,0.016413482,0.999910714,0,0
1.84358E-6,0.000552431,0.016433764,0.999821429,0,0
1.84509E-6,0.001105881,0.016447097,0.999553571,0,0
2.25691E-6,0.002573897,0.020080988,0.998928571,0,0
2.26458E-6,0.005287862,0.020148544,0.997857143,0,0
2.92237E-6,0.010213662,0.025924596,0.996071429,0,0
3.3271E-6,0.025043773,0.029461569,0.991875,0,0
4.07051E-6,0.050147544,0.035924907,0.985803571,0,0
8.31602E-6,0.100639386,0.07202011,0.978839286,0,0
1.09743E-5,0.200625379,0.093929213,0.969821429,0,0
1.35944E-5,0.300932719,0.115017971,0.962678571,0,0
1.61429E-5,0.400715966,0.135059068,0.956875,0,0
1.78723E-5,0.500204345,0.148399969,0.951607143,0,0
2.02972E-5,0.601044622,0.16675961,0.946875,0,0
2.1912E-5,0.702140259,0.178765801,0.942589286,0,0
2.20501E-5,0.750502922,0.179784555,0.940625,0,0
2.21859E-5,0.801342347,0.180785093,0.938571429,0,0
2.26055E-5,0.900089868,0.183869287,0.934642857,0,0
2.27888E-5,1.002249999,0.185212293,0.930625,0,0
2.33258E-5,1.103613132,0.189135624,0.926696429,0,0
2.34835E-5,1.20174743,0.190284057,0.922946429,0.000270563,0
2.37664E-5,1.300977143,0.192340427,0.919196429,0.000270563,0
2.43591E-5,1.402146618,0.196631539,0.915446429,0.000270563,0
2.45865E-5,1.500027892,0.198271987,0.911875,0.000270563,0
2.51634E-5,1.751434776,0.202417987,0.902857143,0.000541126,0
2.61768E-5,2.000150232,0.209650297,0.894196429,0.001082251,0
2.64665E-5,2.250442512,0.211705117,0.885714286,0.001352814,0
2.67917E-5,2.500342521,0.214005966,0.877321429,0.001352814,0
2.7801E-5,2.752376513,0.221104541,0.869107143,0.001623377,0
2.8052E-5,3.001085329,0.222859534,0.861160714,0.002435065,0
2.82967E-5,3.251721276,0.224566458,0.853214286,0.002435065,0
2.86016E-5,3.502010782,0.226688683,0.845357143,0.002705628,0
2.89429E-5,3.752455447,0.229057287,0.837589286,0.00297619,0
2.92165E-5,4.002539998,0.230951103,0.829910714,0.005140693,0
