Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.76671E-12,0.000000001,0.000000013,0.999868577,0,0
4.00799E-11,0.000000006,0.000000077,0.99960573,0,0
5.6624E-11,0.000000012,0.000000109,0.999474307,0,0
1.0042E-10,0.000000028,0.000000194,0.99921146,0,0
3.59037E-10,0.000000125,0.000000693,0.998554344,0,0
5.37318E-10,0.000000256,0.000001037,0.998160074,0,0
1.09522E-9,0.000001021,0.000002113,0.99684584,0,0
1.68691E-9,0.000002506,0.000003255,0.995531607,0,0
3.3028E-9,0.00001,0.000006373,0.991720331,0,0
5.26228E-9,0.000025164,0.000010155,0.987120515,0,0
6.83685E-9,0.000050621,0.000013193,0.981600736,0,0
8.78122E-9,0.000100242,0.000016945,0.973321067,0,0
1.42128E-8,0.000250233,0.000027427,0.95597319,0,0
2.37896E-8,0.000501954,0.000045906,0.937968196,0,0
3.98261E-8,0.001003195,0.000076851,0.916414772,0,0
8.826E-8,0.00250151,0.000170303,0.88461033,0,0
1.52172E-7,0.005004937,0.000293607,0.856485741,0,0
2.82486E-7,0.010009503,0.000544972,0.824549875,0,0
8.16904E-7,0.025048504,0.00157516,0.784334341,0,0
1.69687E-6,0.050100698,0.003269136,0.757261138,0,0
3.13335E-6,0.100258988,0.00602826,0.729267972,0,0
5.43844E-6,0.200291064,0.010439835,0.6978578,0.037037037,0
7.29415E-6,0.300567687,0.01397712,0.677092916,0.064814815,0
9.07436E-6,0.400868434,0.017358606,0.661059272,0.064814815,0
1.03724E-5,0.500316633,0.019816995,0.647654094,0.064814815,0
1.17271E-5,0.600778199,0.022376042,0.635694572,0.064814815,0
1.2966E-5,0.700493379,0.024710338,0.625049284,0.064814815,0
1.33874E-5,0.750666188,0.025503262,0.620055198,0.064814815,0
1.42041E-5,0.800404181,0.027037807,0.615323958,0.064814815,0
1.53711E-5,0.900361085,0.029226356,0.606387173,0.064814815,0
1.67962E-5,1.000580092,0.031892397,0.598238928,0.064814815,0
1.78445E-5,1.101098054,0.033848935,0.590616375,0.064814815,0
1.89698E-5,1.200363372,0.035944695,0.583519516,0.064814815,0
1.98378E-5,1.301469535,0.037558115,0.576685504,0.064814815,0
2.05996E-5,1.400686345,0.038971959,0.570245762,0.064814815,0
2.16554E-5,1.500073,0.040927818,0.564068866,0.064814815,0
2.41297E-5,1.750728145,0.045496361,0.549612301,0.064814815,0
2.65525E-5,2.002230737,0.049948419,0.536601393,0.064814815,0
2.87734E-5,2.250513482,0.054011512,0.524773295,0.064814815,0
3.1058E-5,2.501631434,0.058172835,0.513733736,0.064814815,0
3.30959E-5,2.751862818,0.061869431,0.503482718,0.064814815,0
3.50484E-5,3.00067827,0.065397382,0.493888816,0.064814815,0
3.70705E-5,3.253254292,0.069037159,0.484689184,0.064814815,0
3.89638E-5,3.500623587,0.072432246,0.476146668,0.064814815,0
4.07408E-5,3.751636116,0.075607694,0.467867,0.064814815,0
4.25194E-5,4.001592922,0.078774942,0.459981601,0.064814815,0
4.40022E-5,4.25213381,0.081407096,0.452359048,0.064814815,0
4.60467E-5,4.503934531,0.085024197,0.444999343,0.064814815,0
4.82502E-5,4.754629572,0.088906541,0.438033907,0.064814815,0
4.98035E-5,5.004547043,0.091633337,0.431331318,0.064814815,0
5.10166E-5,5.251884677,0.09375731,0.424891576,0.064814815,0
5.25147E-5,5.500429743,0.096373346,0.418583257,0.064814815,0
5.45144E-5,5.751940907,0.099853652,0.412406361,0.064814815,0
5.6293E-5,6.001218199,0.102937845,0.406492312,0.064814815,0
5.77982E-5,6.252260594,0.105539792,0.400709686,0.064814815,0
5.98306E-5,6.50523066,0.109040824,0.395058483,0.064814815,0
6.13874E-5,6.753663458,0.111713493,0.389670127,0.064814815,0
6.28315E-5,7.001706935,0.114185432,0.384413195,0.064814815,0
6.47742E-5,7.250186465,0.11750005,0.379287686,0.064814815,0
6.61351E-5,7.505653321,0.119814537,0.374162176,0.064814815,0
6.78696E-5,7.753480557,0.122755742,0.369299514,0.064814815,0
6.89814E-5,8.00673451,0.124635787,0.364436851,0.064814815,0
7.08973E-5,8.25169971,0.127866281,0.359837035,0.064814815,0
7.29267E-5,8.503582477,0.131275028,0.355237219,0.064814815,0
7.45252E-5,8.754589257,0.133950623,0.350768826,0.064814815,0
7.66442E-5,9.003995792,0.137484726,0.346431857,0.064814815,0
7.77943E-5,9.251375146,0.139396915,0.342226311,0.064814815,0
7.94695E-5,9.502853252,0.14217448,0.338020765,0.064814815,0
8.12712E-5,9.75204783,0.145151781,0.333946642,0.074074074,0
8.25686E-5,10.005839756,0.147289318,0.329872519,0.074074074,0
8.42637E-5,10.255950201,0.150073926,0.32592982,0.083333333,0
8.5661E-5,10.502690725,0.15236259,0.322118544,0.083333333,0
8.71531E-5,10.753664376,0.154799754,0.318307268,0.083333333,0
8.93979E-5,11.001226108,0.158453211,0.314627415,0.083333333,0
9.05107E-5,11.25300656,0.160258266,0.310947562,0.083333333,0
9.21806E-5,11.508492418,0.162960082,0.307267709,0.083333333,0
9.33771E-5,11.759061142,0.164890442,0.30371928,0.083333333,0
9.45525E-5,12.003256331,0.166782509,0.300302274,0.083333333,0
9.55484E-5,12.250535266,0.168382268,0.296885267,0.083333333,0
9.66207E-5,12.500505614,0.170101301,0.293468261,0.083333333,0
9.75279E-5,12.752936326,0.171552829,0.290051255,0.083333333,0
9.90576E-5,13.008813543,0.173994756,0.286634249,0.092592593,0
1.00633E-4,13.258374134,0.176501928,0.283348666,0.092592593,0
1.01691E-4,13.50126331,0.178180883,0.280194507,0.092592593,0
1.03424E-4,13.757833777,0.180926008,0.276908924,0.092592593,0
1.04934E-4,14.007879984,0.183308563,0.273754764,0.092592593,0
1.06479E-4,14.250906877,0.185740599,0.270732028,0.092592593,0
1.07516E-4,14.507601154,0.187367483,0.267577868,0.092592593,0
1.08662E-4,14.756211296,0.189163098,0.264555132,0.092592593,0
1.10753E-4,15.008501701,0.192427545,0.261532396,0.092592593,0
1.12328E-4,15.254082851,0.194878302,0.258641083,0.092592593,0
1.14037E-4,15.50304493,0.197529794,0.25574977,0.092592593,0
1.15094E-4,15.755146206,0.199164697,0.252858457,0.092592593,0
1.16175E-4,16.009361347,0.200834356,0.249967144,0.092592593,0
1.17202E-4,16.254458488,0.202416579,0.247207255,0.092592593,0
1.18906E-4,16.501981996,0.205034682,0.244447365,0.092592593,0
1.20212E-4,16.753285317,0.207034609,0.241687475,0.101851852,0
1.21411E-4,17.007284172,0.208868219,0.238927586,0.101851852,0
1.22716E-4,17.251547605,0.210857208,0.236299119,0.101851852,0
1.24364E-4,17.511026959,0.213363314,0.23353923,0.101851852,0
1.25623E-4,17.761200373,0.215271491,0.230910764,0.101851852,0
1.27738E-4,18.002195986,0.218468048,0.228413721,0.101851852,0
1.29059E-4,18.25898461,0.220458491,0.225785254,0.101851852,0
1.30262E-4,18.50534089,0.222265269,0.223288211,0.101851852,0
1.31438E-4,18.753820091,0.224028566,0.220791168,0.101851852,0
1.32639E-4,19.004709094,0.225824264,0.218294125,0.111111111,0
1.34166E-4,19.258276068,0.228102096,0.215797082,0.12037037,0
1.36038E-4,19.501473426,0.230886616,0.213431463,0.12037037,0
1.37064E-4,19.761109423,0.232407071,0.21093442,0.12037037,0
1.38602E-4,20.009198664,0.234682194,0.2085688,0.12037037,0
1.39627E-4,20.259638187,0.23619492,0.20620318,0.12037037,0
1.40887E-4,20.511794875,0.238049809,0.203837561,0.12037037,0
1.4248E-4,20.75292669,0.24038861,0.201603364,0.12037037,0
1.44207E-4,21.011110228,0.242915088,0.199237745,0.12037037,0
1.45329E-4,21.257320743,0.244552521,0.197003548,0.12037037,0
1.46689E-4,21.505381814,0.24653317,0.194769352,0.12037037,0
1.4809E-4,21.755778601,0.248567056,0.192535156,0.12037037,0
1.49724E-4,22.009089174,0.250933353,0.190300959,0.12037037,0
1.51206E-4,22.264641392,0.253071394,0.188066763,0.12037037,0
1.52549E-4,22.507547767,0.255005779,0.18596399,0.12037037,0
1.53845E-4,22.752817638,0.256865824,0.183861217,0.12037037,0
1.54748E-4,23.015279687,0.258160382,0.181627021,0.12037037,0
1.56213E-4,23.264328523,0.260254648,0.179524248,0.12037037,0
1.57079E-4,23.515062187,0.261489564,0.177421475,0.12037037,0
1.59227E-4,23.752569648,0.264544048,0.175450125,0.12037037,0
1.61011E-4,24.009374936,0.267071368,0.173347352,0.12037037,0
1.63315E-4,24.253012437,0.270323209,0.171376002,0.12037037,0
1.64969E-4,24.516120918,0.272648264,0.169273229,0.148148148,0
1.66755E-4,24.764660473,0.275150242,0.167301879,0.148148148,0
1.68927E-4,25.016381934,0.278182963,0.16533053,0.148148148,0
1.70782E-4,25.254165673,0.280762305,0.163490603,0.148148148,0
1.73262E-4,25.512412238,0.284196098,0.161519254,0.148148148,0
1.74821E-4,25.756167433,0.286346507,0.159679327,0.148148148,0
1.76585E-4,26.002283717,0.288770483,0.157839401,0.148148148,0
1.7816E-4,26.25085309,0.290928892,0.155999474,0.148148148,0
1.79187E-4,26.500995838,0.292333572,0.154159548,0.148148148,0
1.81117E-4,26.753475517,0.294963581,0.152319622,0.148148148,0
1.83868E-4,27.008998107,0.298697575,0.150479695,0.148148148,0
1.85972E-4,27.268060053,0.301539097,0.148639769,0.148148148,0
1.87116E-4,27.510692328,0.303078196,0.146931266,0.148148148,0
1.90118E-4,27.755493818,0.307104093,0.145222763,0.148148148,0
1.91124E-4,28.003127396,0.308448594,0.143514259,0.148148148,0
1.93095E-4,28.253310549,0.311074157,0.141805756,0.148148148,0
1.95375E-4,28.505893687,0.31409826,0.140097253,0.157407407,0
1.97052E-4,28.760817092,0.316313642,0.13838875,0.194444444,0
1.98536E-4,29.018011386,0.318268975,0.136680247,0.194444444,0
2.00127E-4,29.257460233,0.320358946,0.135103167,0.194444444,0
2.03393E-4,29.520337696,0.324629276,0.133394664,0.194444444,0
2.05642E-4,29.765798597,0.327553229,0.131817584,0.194444444,0
2.0863E-4,30.014332168,0.33141957,0.130240505,0.194444444,0
2.10985E-4,30.266351964,0.334451816,0.128663425,0.194444444,0
2.12737E-4,30.520317947,0.336697784,0.127086345,0.194444444,0
2.14738E-4,30.755547302,0.339254183,0.125640689,0.194444444,0
2.17621E-4,31.015899586,0.342919478,0.124063609,0.194444444,0
2.20293E-4,31.256994526,0.346299165,0.122617952,0.194444444,0
2.2298E-4,31.500823482,0.349680402,0.121172296,0.194444444,0
2.25232E-4,31.769724975,0.352499785,0.119595216,0.194444444,0
2.28461E-4,32.019674137,0.356522403,0.11814956,0.203703704,0
2.31196E-4,32.272714553,0.359909663,0.116703903,0.203703704,0
2.34259E-4,32.505851642,0.363681352,0.11538967,0.203703704,0
2.3627E-4,32.764600406,0.366145611,0.113944014,0.203703704,0
2.38622E-4,33.002090062,0.369016406,0.112629781,0.203703704,0
2.40498E-4,33.265489515,0.371297061,0.111184124,0.203703704,0
2.42585E-4,33.507180317,0.373823045,0.109869891,0.203703704,0
2.44485E-4,33.75101347,0.376115644,0.108555658,0.203703704,0
2.47246E-4,34.021628346,0.379430424,0.107110001,0.212962963,0
2.50017E-4,34.270668903,0.382739559,0.105795768,0.212962963,0
2.54232E-4,34.523534964,0.387740201,0.104481535,0.212962963,0
2.58361E-4,34.754372292,0.392599385,0.103298725,0.212962963,0
2.60961E-4,35.013984222,0.395638622,0.101984492,0.212962963,0
2.62663E-4,35.275774257,0.397620656,0.100670259,0.212962963,0
2.64668E-4,35.513045157,0.399946573,0.099487449,0.212962963,0
2.6934E-4,35.753577593,0.405332766,0.098304639,0.212962963,0
2.73081E-4,36.024795474,0.40960968,0.096990406,0.212962963,0
2.77926E-4,36.273701266,0.415104482,0.095807596,0.212962963,0
2.79762E-4,36.524722914,0.417173171,0.094624786,0.212962963,0
2.82646E-4,36.777620404,0.420407731,0.093441977,0.222222222,0
2.86929E-4,37.006078958,0.425177734,0.09239059,0.222222222,0
2.89243E-4,37.265339737,0.427739095,0.09120778,0.222222222,0
2.93177E-4,37.52765615,0.43206734,0.09002497,0.222222222,0
2.98063E-4,37.764197182,0.437396751,0.088973584,0.222222222,0
2.99365E-4,38.003374078,0.438808214,0.087922197,0.222222222,0
3.02692E-4,38.274203883,0.442399564,0.086739388,0.222222222,0
3.05584E-4,38.517520937,0.445503411,0.085688001,0.222222222,0
3.10287E-4,38.763706235,0.450512124,0.084636615,0.222222222,0
3.13029E-4,39.013220313,0.453412884,0.083585228,0.222222222,0
3.14673E-4,39.264429622,0.455143141,0.082533842,0.222222222,0
3.17666E-4,39.517637691,0.458281637,0.081482455,0.222222222,0
3.20395E-4,39.773524664,0.461126572,0.080431068,0.222222222,0
3.22908E-4,40.030895708,0.463734123,0.079379682,0.222222222,0
3.26389E-4,40.258381177,0.467323511,0.078459719,0.222222222,0
3.30045E-4,40.521138692,0.471068287,0.077408332,0.222222222,0
3.33657E-4,40.754195776,0.474742383,0.076488369,0.222222222,0
3.39126E-4,41.023511291,0.480257395,0.075436983,0.231481481,0
3.41088E-4,41.262069006,0.48222098,0.074517019,0.259259259,0
3.45294E-4,41.50209308,0.486406309,0.073597056,0.259259259,0
3.48251E-4,41.779864794,0.489328993,0.07254567,0.259259259,0
3.52743E-4,42.025404736,0.493735961,0.071625706,0.259259259,0
3.56897E-4,42.273846133,0.497778618,0.070705743,0.259259259,0
3.62199E-4,42.525293079,0.502890794,0.06978578,0.259259259,0
3.68453E-4,42.78041188,0.508853833,0.068865817,0.259259259,0
3.70768E-4,43.002560787,0.511043048,0.068077277,0.268518519,0
3.74183E-4,43.26329681,0.514254689,0.067157314,0.268518519,0
3.77206E-4,43.526584845,0.517080311,0.066237351,0.268518519,0
3.81424E-4,43.75453079,0.520994734,0.065448811,0.268518519,0
3.84467E-4,44.023195864,0.523799736,0.064528847,0.268518519,0
3.87273E-4,44.254871917,0.526370919,0.063740308,0.268518519,0
3.95108E-4,44.528480426,0.53347849,0.062820344,0.268518519,0
3.99212E-4,44.766504197,0.537158037,0.062031804,0.268518519,0
4.06151E-4,45.009219559,0.543314792,0.061243265,0.268518519,0
4.16337E-4,45.257238302,0.552203972,0.060454725,0.268518519,0
4.22002E-4,45.509197906,0.557072342,0.059666185,0.268518519,0
4.30043E-4,45.765028816,0.563892127,0.058877645,0.268518519,0
4.35463E-4,46.02542959,0.568429837,0.058089105,0.268518519,0
4.42274E-4,46.289601783,0.574065125,0.057300565,0.268518519,0
4.48433E-4,46.512165221,0.579097461,0.056643449,0.268518519,0
4.58059E-4,46.78333837,0.586843861,0.055854909,0.268518519,0
4.63859E-4,47.014445713,0.591441942,0.055197792,0.268518519,0
4.6693E-4,47.293637224,0.593855698,0.054409252,0.268518519,0
4.70098E-4,47.528073114,0.596331732,0.053752136,0.277777778,0
4.75685E-4,47.764815837,0.600660497,0.053095019,0.277777778,0
4.80634E-4,48.004015851,0.60445547,0.052437902,0.277777778,0
4.8835E-4,48.295226111,0.610301708,0.051649363,0.287037037,0
4.91747E-4,48.540667232,0.612847996,0.050992246,0.287037037,0
4.96591E-4,48.78821856,0.616450086,0.050335129,0.287037037,0
5.00309E-4,49.03756793,0.619192184,0.049678013,0.287037037,0
5.05496E-4,49.28881069,0.622984407,0.049020896,0.287037037,0
5.13304E-4,49.544018743,0.628622545,0.04836378,0.287037037,0
5.1684E-4,49.801263053,0.631148338,0.047706663,0.287037037,0
5.19708E-4,50.008734403,0.63318375,0.04718097,0.287037037,0
5.27056E-4,50.270934286,0.63834832,0.046523853,0.287037037,0
5.34128E-4,50.536846288,0.643250255,0.045866737,0.287037037,0
5.37527E-4,50.751265075,0.645583056,0.045341044,0.287037037,0
5.41405E-4,51.021305362,0.648224906,0.044683927,0.287037037,0
5.4525E-4,51.292900273,0.650825397,0.04402681,0.287037037,0
5.50312E-4,51.512722002,0.654220188,0.043501117,0.287037037,0
5.56878E-4,51.790625167,0.658573478,0.042844001,0.305555556,0
5.70505E-4,52.016591407,0.667434917,0.042318307,0.305555556,0
5.78025E-4,52.304043929,0.672225871,0.041661191,0.305555556,0
5.80011E-4,52.535648513,0.673479814,0.041135497,0.305555556,0
5.84847E-4,52.768964328,0.67651275,0.040609804,0.305555556,0
5.9591E-4,53.006254022,0.683345368,0.040084111,0.305555556,0
6.01727E-4,53.305901617,0.686880395,0.039426994,0.305555556,0
6.13327E-4,53.549545808,0.693811099,0.038901301,0.305555556,0
6.1852E-4,53.796533031,0.696864622,0.038375608,0.305555556,0
6.29623E-4,54.046169464,0.703290411,0.037849915,0.305555556,0
6.37037E-4,54.299984384,0.707504859,0.037324221,0.314814815,0
6.44177E-4,54.556495961,0.711507533,0.036798528,0.314814815,0
6.517E-4,54.751549561,0.715665556,0.036404258,0.314814815,0
6.57449E-4,55.013455692,0.718802559,0.035878565,0.314814815,0
6.64233E-4,55.278206859,0.722459526,0.035352872,0.314814815,0
6.90765E-4,55.551211757,0.736311747,0.034827178,0.314814815,0
6.965E-4,55.759139363,0.739214116,0.034432908,0.314814815,0
7.15838E-4,56.043074623,0.748766508,0.033907215,0.324074074,0
7.18401E-4,56.258427508,0.750005932,0.033512945,0.324074074,0
7.28286E-4,56.547317921,0.754729433,0.032987252,0.324074074,0
7.35975E-4,56.767403376,0.758341899,0.032592982,0.324074074,0
7.41686E-4,57.063883089,0.760990578,0.031935865,0.324074074,0
7.53095E-4,57.289000838,0.766195194,0.031673019,0.361111111,0
7.62513E-4,57.516866126,0.770405913,0.031278749,0.361111111,0
7.8242E-4,57.827534254,0.779058627,0.030753056,0.361111111,0
7.89774E-4,58.063760086,0.782171929,0.030358786,0.361111111,0
7.99803E-4,58.302838868,0.786346902,0.029964516,0.361111111,0
8.04529E-4,58.543886738,0.788286397,0.029570246,0.361111111,0
8.12459E-4,58.787310408,0.791501779,0.029175976,0.361111111,0
8.39106E-4,59.034234016,0.801951968,0.028781706,0.361111111,0
8.59687E-4,59.289995048,0.80966353,0.028387436,0.361111111,0
8.67378E-4,59.549629704,0.812467443,0.027993166,0.361111111,0
8.78825E-4,59.811819409,0.816564533,0.027598896,0.37037037,0
8.81179E-4,60.075942122,0.817396043,0.027073203,0.37037037,0
8.93004E-4,60.253740051,0.821515488,0.026941779,0.388888889,0
8.99264E-4,60.522432052,0.823658633,0.02654751,0.388888889,0
9.07711E-4,60.793730706,0.82650976,0.02615324,0.398148148,0
9.19277E-4,61.067847189,0.830339205,0.02575897,0.416666667,0
9.26614E-4,61.252992493,0.832724419,0.025496123,0.416666667,0
9.36706E-4,61.532487623,0.835950612,0.025101853,0.425925926,0
9.50529E-4,61.815177796,0.840268756,0.024707583,0.435185185,0
9.54528E-4,62.005954186,0.841496609,0.024444736,0.435185185,0
9.85192E-4,62.300134588,0.850603615,0.024050467,0.435185185,0
1.00194E-3,62.5987232,0.855355511,0.023656197,0.444444444,0
1.00614E-3,62.799911276,0.856523082,0.02339335,0.444444444,0
1.02017E-3,63.003215451,0.860353911,0.023130503,0.444444444,0
1.02316E-3,63.309667456,0.861157833,0.022736233,0.444444444,0
1.02878E-3,63.51499745,0.862655789,0.022473387,0.444444444,0
1.03712E-3,63.82483964,0.864848464,0.022079117,0.444444444,0
1.04728E-3,64.033395599,0.86747182,0.02181627,0.444444444,0
1.05083E-3,64.348149263,0.868377208,0.021422,0.444444444,0
1.05798E-3,64.559200779,0.870180363,0.021159154,0.444444444,0
1.06178E-3,64.771366019,0.871129034,0.020896307,0.444444444,0
1.06875E-3,65.09135826,0.872851814,0.020502037,0.444444444,0
1.07371E-3,65.305640326,0.874063225,0.02023919,0.444444444,0
1.08057E-3,65.521195214,0.875718934,0.019976344,0.444444444,0
1.08977E-3,65.847532144,0.87790595,0.019582074,0.444444444,0
1.10411E-3,66.067137101,0.881237369,0.019319227,0.444444444,0
1.11382E-3,66.289406536,0.883441538,0.019056381,0.444444444,0
1.13303E-3,66.515881438,0.887682943,0.018793534,0.444444444,0
1.14354E-3,66.857593557,0.889937981,0.018399264,0.453703704,0
1.15676E-3,67.088090866,0.892711995,0.018136417,0.453703704,0
1.16563E-3,67.321118547,0.89453255,0.017873571,0.453703704,0
1.17657E-3,67.55609681,0.89673557,0.017610724,0.453703704,0
1.18572E-3,67.79289348,0.89854344,0.017347878,0.462962963,0
1.20868E-3,68.033309628,0.902940594,0.017085031,0.472222222,0
1.23941E-3,68.281145001,0.908528273,0.016822184,0.472222222,0
1.27385E-3,68.535608234,0.914409203,0.016559338,0.472222222,0
1.29471E-3,68.793234917,0.917786066,0.016296491,0.472222222,0
1.30591E-3,69.053997,0.919544071,0.016033644,0.472222222,0
1.31962E-3,69.317799543,0.921645208,0.015770798,0.472222222,0
1.33246E-3,69.583938059,0.923562849,0.015507951,0.472222222,0
1.34212E-3,69.852303094,0.924974198,0.015245104,0.481481481,0
1.35459E-3,70.122438486,0.926757531,0.014982258,0.481481481,0
1.35993E-3,70.258431826,0.927509573,0.014850835,0.481481481,0
1.37868E-3,70.53305339,0.930084667,0.014587988,0.481481481,0
1.38606E-3,70.809855895,0.931074053,0.014325141,0.481481481,0
1.39304E-3,71.087781985,0.931995732,0.014062295,0.481481481,0
1.4096E-3,71.369464579,0.934134293,0.013799448,0.490740741,0
1.42892E-3,71.512356205,0.936544658,0.013668025,0.5,0
1.46041E-3,71.804285436,0.940285707,0.013405178,0.509259259,0
1.47816E-3,72.099662993,0.942296973,0.013142331,0.509259259,0
1.50356E-3,72.39805213,0.945056901,0.012879485,0.527777778,0
1.50926E-3,72.548978141,0.94565815,0.012748062,0.537037037,0
1.53678E-3,72.855080747,0.948468991,0.012485215,0.546296296,0
1.56986E-3,73.012066614,0.951655331,0.012353792,0.546296296,0
1.58657E-3,73.32825557,0.953189284,0.012090945,0.555555556,0
1.58803E-3,73.645851178,0.95332093,0.011828098,0.555555556,0
1.59773E-3,73.805624037,0.954186692,0.011696675,0.555555556,0
1.61675E-3,74.128532765,0.955837825,0.011433828,0.564814815,0
1.65257E-3,74.293789806,0.958787367,0.011302405,0.574074074,0
1.65559E-3,74.624865744,0.959027054,0.011039558,0.574074074,0
1.66136E-3,74.791001725,0.959480486,0.010908135,0.574074074,0
1.7298E-3,75.130817025,0.964493368,0.010645288,0.574074074,0
1.73463E-3,75.304279879,0.96482291,0.010513865,0.583333333,0
1.75269E-3,75.654166724,0.966027965,0.010251019,0.583333333,0
1.75361E-3,75.829527523,0.966087969,0.010119595,0.592592593,0
1.81085E-3,76.01061215,0.969634242,0.009988172,0.592592593,0
1.81567E-3,76.555314224,0.969915798,0.009462479,0.592592593,0
1.84971E-3,76.922497367,0.971828107,0.009331055,0.62037037,0
1.85625E-3,77.108122166,0.972181462,0.009199632,0.62037037,0
1.86015E-3,77.29413727,0.972390199,0.009068209,0.62037037,0
1.92567E-3,77.675763717,0.975669484,0.008805362,0.62037037,0
1.93429E-3,77.869192802,0.976070759,0.008673939,0.62962963,0
2.04695E-3,78.073888204,0.980746517,0.008542515,0.62962963,0
2.05017E-3,78.278905496,0.980865741,0.008411092,0.638888889,0
2.22058E-3,78.5009631,0.986227845,0.008279669,0.638888889,0
2.22547E-3,78.945953114,0.986357274,0.008016822,0.648148148,0
2.2622E-3,79.172173186,0.987290821,0.007885399,0.657407407,0
2.32683E-3,79.40485652,0.988781085,0.007753976,0.657407407,0
2.34252E-3,79.63910804,0.989115503,0.007622552,0.666666667,0
2.345E-3,79.873608516,0.989167669,0.007491129,0.675925926,0
2.3586E-3,80.109468262,0.989448109,0.007359706,0.675925926,0
2.39712E-3,80.349179861,0.990203993,0.007228282,0.685185185,0
2.39712E-3,80.588891459,0.990203993,0.006965436,0.685185185,0
2.4117E-3,80.830061495,0.990475847,0.006965436,0.703703704,0
2.42579E-3,81.072640443,0.990731303,0.006834012,0.712962963,0
2.48545E-3,81.321185552,0.991739277,0.006702589,0.712962963,0
2.50557E-3,81.571742822,0.992053887,0.006571166,0.722222222,0
2.50793E-3,81.822536117,0.992089996,0.006439742,0.731481481,0
2.53044E-3,82.075580028,0.99242618,0.006308319,0.731481481,0
2.54631E-3,82.330211216,0.99265465,0.006176896,0.731481481,0
2.59235E-3,82.589446464,0.993279103,0.006045472,0.740740741,0
2.63351E-3,82.852797071,0.993792201,0.005914049,0.75,0
2.66532E-3,83.119329201,0.994161863,0.005782626,0.759259259,0
2.75335E-3,83.394664578,0.995073972,0.005651203,0.759259259,0
2.78948E-3,83.673612601,0.995405689,0.005519779,0.768518519,0
2.83015E-3,83.956627883,0.995752495,0.005388356,0.768518519,0
2.83341E-3,84.239968911,0.995779111,0.005256933,0.777777778,0
2.97109E-3,84.537078095,0.996763936,0.005125509,0.777777778,0
2.98632E-3,84.835710343,0.996857663,0.004994086,0.777777778,0
3.04984E-3,85.140694703,0.997220174,0.004862663,0.777777778,0
3.13801E-3,85.454495421,0.997655067,0.004731239,0.787037037,0
3.18592E-3,85.773087418,0.997862155,0.004599816,0.796296296,0
3.24402E-3,86.09748972,0.998088907,0.004468393,0.796296296,0
3.24402E-3,86.421892023,0.998088907,0.004205546,0.796296296,0
3.3346E-3,86.755352119,0.998395384,0.004205546,0.814814815,0
3.37483E-3,87.092835173,0.998515241,0.004074123,0.814814815,0
3.41376E-3,87.43421081,0.998622685,0.003942699,0.824074074,0
